"","language","numeral","morphemes","frequency"
"1","barlowpacific-anga1293-1","1","1",3831
"2","barlowpacific-anga1293-1","2","1",3828
"3","barlowpacific-anga1293-1","3","1",3826
"4","barlowpacific-anga1293-1","4","1",3825
"5","barlowpacific-anga1293-1","5","1",3830
"6","barlowpacific-anga1293-1","6","1",3640
"7","barlowpacific-anga1293-1","7","1",3591
"8","barlowpacific-anga1293-1","8","1",3610
"9","barlowpacific-anga1293-1","9","1",3571
"10","barlowpacific-anga1293-1","10","1",3807
"11","barlowpacific-anga1293-1","11","1",2147
"12","barlowpacific-anga1293-1","12","1",1905
"13","barlowpacific-anga1293-1","13","1",1781
"14","barlowpacific-anga1293-1","14","1",1789
"15","barlowpacific-anga1293-1","15","1",1834
"16","barlowpacific-anga1293-1","16","1",1683
"17","barlowpacific-anga1293-1","17","2",1670
"18","barlowpacific-anga1293-1","18","2",1638
"19","barlowpacific-anga1293-1","19","2",1654
"20","barlowpacific-anga1293-1","20","1",3399
"21","barlowpacific-anga1293-1","21","2",1478
"22","barlowpacific-anga1293-1","22","2",1869
"23","barlowpacific-anga1293-1","23","2",1448
"24","barlowpacific-anga1293-1","24","1",1095
"25","barlowpacific-anga1293-1","25","1",1092
"26","barlowpacific-anga1293-1","26","1",991
"27","barlowpacific-anga1293-1","27","1",966
"28","barlowpacific-anga1293-1","28","1",973
"29","barlowpacific-anga1293-1","29","1",960
"30","barlowpacific-anga1293-1","30","1",2860
"31","barlowpacific-bant1286-1","17","1",1568
"32","barlowpacific-bant1286-1","18","1",1615
"33","barlowpacific-bant1286-1","19","1",1635
"34","barlowpacific-bant1286-1","21","1",1338
"35","barlowpacific-bant1286-1","22","1",1302
"36","barlowpacific-bant1286-1","23","1",1105
"37","barlowpacific-bata1289-7","11","2",1614
"38","barlowpacific-bata1289-7","12","2",1751
"39","barlowpacific-bata1289-7","13","2",1845
"40","barlowpacific-bata1289-7","14","2",1834
"41","barlowpacific-bata1289-7","15","2",1814
"42","barlowpacific-bata1289-7","16","2",1706
"43","barlowpacific-bata1289-7","24","2",1448
"44","barlowpacific-bata1289-7","25","2",1454
"45","barlowpacific-bata1289-7","26","2",1402
"46","barlowpacific-bata1289-7","27","2",1305
"47","barlowpacific-bata1289-7","28","2",1342
"48","barlowpacific-bata1289-7","29","2",1362
"49","barlowpacific-coas1295-3","18","3",314
"50","barlowpacific-coas1295-3","21","3",659
"51","barlowpacific-coas1295-3","23","3",863
"52","barlowpacific-coas1295-3","24","3",873
"53","barlowpacific-coas1295-3","25","3",860
"54","barlowpacific-coas1295-3","26","3",804
"55","barlowpacific-coas1295-3","27","3",856
"56","barlowpacific-coas1295-3","28","3",810
"57","barlowpacific-coas1295-3","29","3",793
"58","barlowpacific-enga1252-3","10","2",23
"59","barlowpacific-kapp1237-1","7","2",221
"60","barlowpacific-kapp1237-1","8","2",206
"61","barlowpacific-kapp1237-1","9","2",233
"62","barlowpacific-kapp1237-1","17","4",118
"63","barlowpacific-kapp1237-1","18","4",117
"64","barlowpacific-kapp1237-1","20","3",18
"65","barlowpacific-kapp1237-1","21","4",244
"66","barlowpacific-kapp1237-1","22","4",163
"67","barlowpacific-kapp1237-1","23","5",122
"68","barlowpacific-kapp1237-1","24","5",128
"69","barlowpacific-kapp1237-1","25","4",298
"70","barlowpacific-kapp1237-1","26","5",236
"71","barlowpacific-kapp1237-1","27","5",250
"72","barlowpacific-kapp1237-1","28","7",20
"73","barlowpacific-kapp1237-1","29","7",32
"74","barlowpacific-kapp1237-1","30","3",116
"75","barlowpacific-melp1238-1","6","2",188
"76","barlowpacific-melp1238-1","13","3",176
"77","barlowpacific-melp1238-1","14","3",176
"78","barlowpacific-melp1238-1","15","3",162
"79","barlowpacific-melp1238-1","16","3",228
"80","barlowpacific-melp1238-1","17","3",318
"81","barlowpacific-melp1238-1","19","3",275
"82","barlowpacific-melp1238-1","27","4",365
"83","barlowpacific-melp1238-1","29","4",355
"84","barlowpacific-nucl1593-3","30","2",828
"85","barlowpacific-umbu1258-1","13","4",23
"86","barlowpacific-umbu1258-1","14","4",24
"87","barlowpacific-umbu1258-1","15","4",15
"88","numerals-aari1239-1","20","2",411
"89","numerals-abad1241-1","19","5",122
"90","numerals-abad1241-1","26","4",326
"91","numerals-abad1241-1","28","4",361
"92","numerals-abad1241-1","29","6",80
"93","numerals-abro1238-1","22","3",484
"94","numerals-abui1241-2","12","3",157
"95","numerals-abui1241-2","17","6",12
"96","numerals-abui1241-2","18","6",19
"97","numerals-abui1241-2","19","6",25
"98","numerals-abui1241-2","28","6",85
"99","numerals-adan1248-1","23","4",284
"100","numerals-adan1248-1","24","4",278
"101","numerals-aikl1237-1","28","5",222
"102","numerals-aime1238-1","7","3",17
"103","numerals-aime1238-1","9","3",23
"104","numerals-ainu1240-2","11","4",10
"105","numerals-ainu1240-2","19","4",105
"106","numerals-akeu1235-1","21","5",111
"107","numerals-alut1245-1","16","4",98
"108","numerals-amar1272-1","16","5",98
"109","numerals-amar1272-1","26","6",47
"110","numerals-ambu1247-1","9","4",2
"111","numerals-ambu1247-1","11","5",2
"112","numerals-ambu1247-1","12","4",15
"113","numerals-ambu1247-1","13","5",3
"114","numerals-ambu1247-1","14","7",2
"115","numerals-ambu1247-1","17","5",131
"116","numerals-ambu1247-1","19","8",3
"117","numerals-ambu1247-1","20","4",2
"118","numerals-ambu1247-1","21","8",1
"119","numerals-ambu1247-1","22","7",1
"120","numerals-ambu1247-1","23","8",1
"121","numerals-ambu1247-1","24","10",1
"122","numerals-ambu1247-1","25","5",118
