a,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-duwe1237-1-one-1,numerals-duwe1237-1,Chan2019,one,1,taɡine,tagine,,FALSE,1{?},,
2,numerals-duwe1237-1-one-2,numerals-duwe1237-1,Chan2019,one,1,taine,taine,,FALSE,1{?},,
3,numerals-duwe1237-1-one-3,numerals-duwe1237-1,Chan2019,one,1,ta,ta,,FALSE,1,,
4,numerals-duwe1237-1-two-1,numerals-duwe1237-1,Chan2019,two,2,seik,seik,,FALSE,2,Innovative (?); prefix (?),
5,numerals-duwe1237-1-three-1,numerals-duwe1237-1,Chan2019,three,3,seik ba ta,seikbata,( 2 + 1),FALSE,2{and}+1,,
6,numerals-duwe1237-1-four-1,numerals-duwe1237-1,Chan2019,four,4,seik ba seik,seikbaseik,( 2 + 2 ),FALSE,2{and}+2,,
7,numerals-duwe1237-1-five-1,numerals-duwe1237-1,Chan2019,five,5,limaŋɡa arinaŋ,limanggaarinang,( litː one hand ),FALSE,5[⋅]1′,‘hand-1POSS half?’ (?),
8,numerals-duwe1237-1-six-1,numerals-duwe1237-1,Chan2019,six,6,limaŋɡa arinaŋ anau na ta,limanggaarinanganaunata,,FALSE,(5[⋅]1′)+{+}1,,
9,numerals-duwe1237-1-seven-1,numerals-duwe1237-1,Chan2019,seven,7,limaŋɡa arinaŋ anau na seik,limanggaarinanganaunaseik,,FALSE,(5[⋅]1′)+{+}2,,
10,numerals-duwe1237-1-eight-1,numerals-duwe1237-1,Chan2019,eight,8,limaŋɡa arinaŋ anau na seik ba ta,limanggaarinanganaunaseikbata,,FALSE,(5[⋅]1′)+{+}2{and}+1,,
11,numerals-duwe1237-1-nine-1,numerals-duwe1237-1,Chan2019,nine,9,limaŋɡa arinaŋ anau na seik ba seik,limanggaarinanganaunaseikbaseik,,FALSE,(5[⋅]1′)+{+}2{and}+2,,
12,numerals-duwe1237-1-ten-1,numerals-duwe1237-1,Chan2019,ten,10,limaŋ seik,limangseik,(litː 'two hands'),FALSE,5[⋅]2,‘hand-1POSS two’,
13,numerals-duwe1237-1-eleven-1,numerals-duwe1237-1,Chan2019,eleven,11,limaŋ seik anau na ta,limangseikanaunata,,FALSE,(5[⋅]2)+{+}1,,
14,numerals-duwe1237-1-twelve-1,numerals-duwe1237-1,Chan2019,twelve,12,limaŋ seik anau na seik,limangseikanaunaseik,,FALSE,(5[⋅]2)+{+}2,,
15,numerals-duwe1237-1-thirteen-1,numerals-duwe1237-1,Chan2019,thirteen,13,limaŋ seik anau na seik ba ta,limangseikanaunaseikbata,,FALSE,(5[⋅]2)+{+}2{and}+1,,
16,numerals-duwe1237-1-fourteen-1,numerals-duwe1237-1,Chan2019,fourteen,14,limaŋ seik anau na seik ba seik,limangseikanaunaseikbaseik,,FALSE,(5[⋅]2)+{+}2{and}+2,,
17,numerals-duwe1237-1-fifteen-1,numerals-duwe1237-1,Chan2019,fifteen,15,limaŋ seik ambeŋɡa arinaŋ,limangseikambenggaarinang,(litː 'two hands and one foot'),FALSE,(5[⋅]2)[+](5′[⋅]1′),‘hand-1POSS two foot-1POSS half?’ (?),
18,numerals-duwe1237-1-sixteen-1,numerals-duwe1237-1,Chan2019,sixteen,16,limaŋ seik ambeŋɡa arinaŋ ta,limangseikambenggaarinangta,,FALSE,(5[⋅]2)[+](5′[⋅]1′)[+]1,,
19,numerals-duwe1237-1-seventeen-1,numerals-duwe1237-1,Chan2019,seventeen,17,limaŋ seik ambeŋɡa arinaŋ seik,limangseikambenggaarinangseik,,FALSE,(5[⋅]2)[+](5′[⋅]1′)[+]2,,
20,numerals-duwe1237-1-eighteen-1,numerals-duwe1237-1,Chan2019,eighteen,18,limaŋ seik ambeŋɡa arinaŋ seik ba ta,limangseikambenggaarinangseikbata,,FALSE,(5[⋅]2)[+](5′[⋅]1′)[+]2{and}+1,,
21,numerals-duwe1237-1-nineteen-1,numerals-duwe1237-1,Chan2019,nineteen,19,limaŋ seik ambeŋɡa arinaŋ seik ba seik,limangseikambenggaarinangseikbaseik,,FALSE,(5[⋅]2)[+](5′[⋅]1′)[+]2{and}+2,,
22,numerals-duwe1237-1-twenty-1,numerals-duwe1237-1,Chan2019,twenty,20,ambeŋ seik limaŋ seik,ambengseiklimangseik,( litː 'two feet and two hands' ),FALSE,(5[⋅]2)[+](5′[⋅]2),‘hand-1POSS two foot-1POSS two’,
