,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,numerals-nali1244-1-one-1,numerals-nali1244-1,Chan2019,one,1,azaxe,azaxe,,FALSE,1,,,
2,numerals-nali1244-1-two-1,numerals-nali1244-1,Chan2019,two,2,uru,uru,,FALSE,2,,,
3,numerals-nali1244-1-three-1,numerals-nali1244-1,Chan2019,three,3,orol,orol,,FALSE,3,,,
4,numerals-nali1244-1-four-1,numerals-nali1244-1,Chan2019,four,4,orolavaat,orolavaat,,FALSE,{3}4,Sequential number word formation,,
5,numerals-nali1244-1-five-1,numerals-nali1244-1,Chan2019,five,5,kavitmit,kavitmit,,FALSE,{it?}{4}5,"Possibly derived historically via sequential number word formation with preceding 4, and 5 meaning ‘hand’ (from POc *minV- ‘hand’), i.e., ‘four hand’ (?); alternatively, possibly formed with implied subtraction, i.e., ‘3PERS NEG hand’",[1]−5,
6,numerals-nali1244-1-six-1,numerals-nali1244-1,Chan2019,six,6,ka-vizik-saxei,kaviziksaxei,( 5 + 1 ),FALSE,{it?}[5]{go}+1,,,
7,numerals-nali1244-1-seven-1,numerals-nali1244-1,Chan2019,seven,7,ka-vizik-uru,kavizikuru,( 5 + 2 ),FALSE,{it?}[5]{go}+2,,,
8,numerals-nali1244-1-eight-1,numerals-nali1244-1,Chan2019,eight,8,ka-vizik-tal,kaviziktal,( 5 + 3 ),FALSE,{it?}[5]{go}+3,,,
9,numerals-nali1244-1-nine-1,numerals-nali1244-1,Chan2019,nine,9,ka-vizik-faat,kavizikfaat,( 5 + 4 ),FALSE,{it?}[5]{go}+4,,,
10,numerals-nali1244-1-ten-1,numerals-nali1244-1,Chan2019,ten,10,saŋaflu,sangaflu,,FALSE,10,Historically 1⋅10 (?),,
11,numerals-nali1244-1-eleven-1,numerals-nali1244-1,Chan2019,eleven,11,saŋaflu ma zaxei,sangaflumazaxei,,FALSE,10{and}+1,,,
12,numerals-nali1244-1-twelve-1,numerals-nali1244-1,Chan2019,twelve,12,saŋaflu ma urul,sangaflumaurul,,FALSE,10{and}+2,,,
13,numerals-nali1244-1-thirteen-1,numerals-nali1244-1,Chan2019,thirteen,13,saŋaflu ma orol,sangaflumaorol,,FALSE,10{and}+3,,,
14,numerals-nali1244-1-fourteen-1,numerals-nali1244-1,Chan2019,fourteen,14,saŋaflu ma orolavaat,sangaflumaorolavaat,,FALSE,10{and}+{3}4,,,
15,numerals-nali1244-1-fifteen-1,numerals-nali1244-1,Chan2019,fifteen,15,saŋaflu ma kavimit,sangaflumakavimit,,FALSE,10{and}+{it?}{4}5,,10{and}+{it?}([1]−5),
16,numerals-nali1244-1-sixteen-1,numerals-nali1244-1,Chan2019,sixteen,16,saŋaflu ma ka-vizik-saxei,sangaflumakaviziksaxei,,FALSE,10{and}+{it?}[5]{go}+1,,,
17,numerals-nali1244-1-seventeen-1,numerals-nali1244-1,Chan2019,seventeen,17,saŋaflu ma ka-vizik-uru,sangaflumakavizikuru,,FALSE,10{and}+{it?}[5]{go}+2,,,
18,numerals-nali1244-1-eighteen-1,numerals-nali1244-1,Chan2019,eighteen,18,saŋaflu ma ka-vizik-tal,sangaflumakaviziktal,,FALSE,10{and}+{it?}[5]{go}+3,,,
19,numerals-nali1244-1-nineteen-1,numerals-nali1244-1,Chan2019,nineteen,19,saŋaflu ma ka-vizik-faat,sangaflumakavizikfaat,,FALSE,10{and}+{it?}[5]{go}+4,,,
20,numerals-nali1244-1-twenty-1,numerals-nali1244-1,Chan2019,twenty,20,saŋaflu varaʔuru,sangafluvarauru,,FALSE,(10{RECP}⋅2),,,
21,numerals-nali1244-1-twentyone-1,numerals-nali1244-1,Chan2019,twentyone,21,saŋaflu varaʔuru ma zaxei,sangafluvaraurumazaxei,,FALSE,(10{RECP}⋅2){and}+1,,,
22,numerals-nali1244-1-twentytwo-1,numerals-nali1244-1,Chan2019,twentytwo,22,saŋaflu varaʔuru ma uru,sangafluvaraurumauru,,FALSE,(10{RECP}⋅2){and}+2,,,
23,numerals-nali1244-1-twentythree-1,numerals-nali1244-1,Chan2019,twentythree,23,saŋaflu varaʔuru ma orol,sangafluvaraurumaorol,,FALSE,(10{RECP}⋅2){and}+3,,,
24,numerals-nali1244-1-twentyfour-1,numerals-nali1244-1,Chan2019,twentyfour,24,saŋaflu varaʔuru ma orolavaat,sangafluvaraurumaorolavaat,,FALSE,(10{RECP}⋅2){and}+{3}4,,,
25,numerals-nali1244-1-twentyfive-1,numerals-nali1244-1,Chan2019,twentyfive,25,saŋaflu varaʔuru ma kavitmit,sangafluvaraurumakavitmit,,FALSE,(10{RECP}⋅2){and}+{it?}{4}5,,,
26,numerals-nali1244-1-twentysix-1,numerals-nali1244-1,Chan2019,twentysix,26,saŋaflu varaʔuru ma ka-vizik-saxei,sangafluvaraurumakaviziksaxei,,FALSE,(10{RECP}⋅2){and}+{it?}[5]{go}+1,,(10{RECP}⋅2){and}+{it?}([1]−5),
27,numerals-nali1244-1-twentyseven-1,numerals-nali1244-1,Chan2019,twentyseven,27,saŋaflu varaʔuru ma ka-vizik-uru,sangafluvaraurumakavizikuru,,FALSE,(10{RECP}⋅2){and}+{it?}[5]{go}+2,,,
