,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,,
1,numerals-bwat1240-1-one-1,numerals-bwat1240-1,Chan2019,one,1,θaːŋ,thang,,FALSE,1,,,,
2,numerals-bwat1240-1-one-2,numerals-bwat1240-1,Chan2019,one,1,θaː,tha,,FALSE,1,,,,
3,numerals-bwat1240-1-two-1,numerals-bwat1240-1,Chan2019,two,2,ʈalo,talo,,FALSE,2,Prefix (?),,,
4,numerals-bwat1240-1-three-1,numerals-bwat1240-1,Chan2019,three,3,ʈien,tien,,FALSE,3,Prefix (?),,,
5,numerals-bwat1240-1-four-1,numerals-bwat1240-1,Chan2019,four,4,fae,fae,,FALSE,4,,,,
6,numerals-bwat1240-1-four-2,numerals-bwat1240-1,Chan2019,four,4,faeː,fae,,FALSE,4,,,,
7,numerals-bwat1240-1-five-1,numerals-bwat1240-1,Chan2019,five,5,nim,nim,( litː 'hand' ),FALSE,5,,,,
8,numerals-bwat1240-1-six-1,numerals-bwat1240-1,Chan2019,six,6,nim ᵐbʷa θaːŋ,nimmbwathang,( 5 + 1 ),FALSE,5,,,,
9,numerals-bwat1240-1-seven-1,numerals-bwat1240-1,Chan2019,seven,7,nim ᵐbʷa ʈalo,nimmbwatalo,( 5 + 2 ),FALSE,5{head?}+1,,,,
10,numerals-bwat1240-1-eight-1,numerals-bwat1240-1,Chan2019,eight,8,nim ᵐbʷa ʈien,nimmbwatien,( 5 + 3 ),FALSE,5{head?}+2,,,,
11,numerals-bwat1240-1-nine-1,numerals-bwat1240-1,Chan2019,nine,9,nim ᵐbʷa faeː,nimmbwafae,( 5 + 4 ),FALSE,5{head?}+3,,,,
12,numerals-bwat1240-1-ten-1,numerals-bwat1240-1,Chan2019,ten,10,ᶮɟoa-lu-θiː-ᶮɟe,joaluthije,( litː 'completed two hands'),FALSE,{complete}2′[⋅]5′,"‘complete ART.DU hand-1PL.INCL’ (with ‘hand’ from PAn *kuSkuS ‘claw, talon, fingernail’?)",,,
13,numerals-bwat1240-1-eleven-1,numerals-bwat1240-1,Chan2019,eleven,11,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa θaːŋ,joaluthijekambwathang,,FALSE,({complete}2′[⋅]5′){and}+{head?}1,,,,({complete}2′[⋅]5′)+{head?}1
14,numerals-bwat1240-1-twelve-1,numerals-bwat1240-1,Chan2019,twelve,12,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa ʈalo,joaluthijekambwatalo,,FALSE,({complete}2′[⋅]5′){and}+{head?}2,,,,({complete}2′[⋅]5′)+{head?}2
15,numerals-bwat1240-1-thirteen-1,numerals-bwat1240-1,Chan2019,thirteen,13,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa ʈien,joaluthijekambwatien,,FALSE,({complete}2′[⋅]5′){and}+{head?}3,,,,({complete}2′[⋅]5′)+{head?}3
16,numerals-bwat1240-1-fourteen-1,numerals-bwat1240-1,Chan2019,fourteen,14,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa faeː,joaluthijekambwafae,,FALSE,({complete}2′[⋅]5′){and}+{head?}4,,,,({complete}2′[⋅]5′)+{head?}4
17,numerals-bwat1240-1-fifteen-1,numerals-bwat1240-1,Chan2019,fifteen,15,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa nim,joaluthijekambwanim,,FALSE,({complete}2′[⋅]5′){and}+{head?}5,,,,({complete}2′[⋅]5′)+{head?}5
18,numerals-bwat1240-1-sixteen-1,numerals-bwat1240-1,Chan2019,sixteen,16,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa nim ᵐbʷa θaːŋ,joaluthijekambwanimmbwathang,,FALSE,({complete}2′[⋅]5′){and}+{head?}5{head?}+1,,,,({complete}2′[⋅]5′)+{head?}5{head?}+1
19,numerals-bwat1240-1-seventeen-1,numerals-bwat1240-1,Chan2019,seventeen,17,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa nim ᵐbʷa ʈalo,joaluthijekambwanimmbwatalo,,FALSE,({complete}2′[⋅]5′){and}+{head?}5{head?}+2,,,,({complete}2′[⋅]5′)+{head?}5{head?}+2
20,numerals-bwat1240-1-eighteen-1,numerals-bwat1240-1,Chan2019,eighteen,18,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa nim ᵐbʷa ʈien,joaluthijekambwanimmbwatien,,FALSE,({complete}2′[⋅]5′){and}+{head?}5{head?}+3,,,,({complete}2′[⋅]5′)+{head?}5{head?}+3
21,numerals-bwat1240-1-nineteen-1,numerals-bwat1240-1,Chan2019,nineteen,19,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa nim ᵐbʷa faeː,joaluthijekambwanimmbwafae,,FALSE,({complete}2′[⋅]5′){and}+{head?}5{head?}+4,,,,({complete}2′[⋅]5′)+{head?}5{head?}+4
22,numerals-bwat1240-1-twenty-1,numerals-bwat1240-1,Chan2019,twenty,20,ᶮɟoa-lu-θiː-ᶮɟe (ka) ᵐbʷa ᶮɟoa-lu-xa-ᶮɟe,joaluthijekambwajoaluxaje,,FALSE,({complete}2′[⋅]5′){and}+{head?}({complete}2′[⋅]5′),,,,({complete}2′[⋅]5′)+{head?}({complete}2′[⋅]5′)
23,numerals-bwat1240-1-twenty-2,numerals-bwat1240-1,Chan2019,twenty,20,θaːŋe-a-ɣaːᵐbuit,thangeagambuit,(litː 'one person'),FALSE,1⋅{⋅}20,‘one person’,,,
