,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,numerals-kiss1246-1-one-1,numerals-kiss1246-1,Chan2019,one,1,aɡeib,ageib,,FALSE,1,,,
2,numerals-kiss1246-1-two-1,numerals-kiss1246-1,Chan2019,two,2,ulani,ulani,,FALSE,2,,,
3,numerals-kiss1246-1-three-1,numerals-kiss1246-1,Chan2019,three,3,tolni,tolni,,FALSE,3,,,
4,numerals-kiss1246-1-four-1,numerals-kiss1246-1,Chan2019,four,4,owani,owani,,FALSE,4,Suffix (?),,
5,numerals-kiss1246-1-five-1,numerals-kiss1246-1,Chan2019,five,5,lima,lima,(litː 'hand'̠),FALSE,5,,,
6,numerals-kiss1246-1-six-1,numerals-kiss1246-1,Chan2019,six,6,lima aɡeib,limaageib,( 5 + 1 ),FALSE,5[+]1,,,
7,numerals-kiss1246-1-seven-1,numerals-kiss1246-1,Chan2019,seven,7,lima ulani,limaulani,( 5 + 2 ),FALSE,5[+]2,,,
8,numerals-kiss1246-1-eight-1,numerals-kiss1246-1,Chan2019,eight,8,lima tolni,limatolni,( 5 + 3 ),FALSE,5[+]3,,,
9,numerals-kiss1246-1-nine-1,numerals-kiss1246-1,Chan2019,nine,9,lima owani,limaowani,( 5 + 4 ),FALSE,5[+]4,,,
10,numerals-kiss1246-1-ten-1,numerals-kiss1246-1,Chan2019,ten,10,kulemua,kulemua,(litː 'two hands'),FALSE,10,,2′⋅5{?},
11,numerals-kiss1246-1-eleven-1,numerals-kiss1246-1,Chan2019,eleven,11,kulemua bala aɡeib,kulemuabalaageib,,FALSE,10{go?}+1,,,
12,numerals-kiss1246-1-twelve-1,numerals-kiss1246-1,Chan2019,twelve,12,kulemua bala ulani,kulemuabalaulani,,FALSE,10{go?}+2,,,
13,numerals-kiss1246-1-thirteen-1,numerals-kiss1246-1,Chan2019,thirteen,13,kulemua bala tolni,kulemuabalatolni,,FALSE,10{go?}+3,,,
