,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,numerals-litz1237-1-one-1,numerals-litz1237-1,Chan2019,one,1,saβax,sabax,,FALSE,1{?},,,
2,numerals-litz1237-1-two-1,numerals-litz1237-1,Chan2019,two,2,iru,iru,,FALSE,{?}2,,,
3,numerals-litz1237-1-three-1,numerals-litz1237-1,Chan2019,three,3,itəl,ital,,FALSE,{?}3,,,
4,numerals-litz1237-1-four-1,numerals-litz1237-1,Chan2019,four,4,iβes,ibes,,FALSE,{?}4,,,
5,numerals-litz1237-1-five-1,numerals-litz1237-1,Chan2019,five,5,iləm,ilam,,FALSE,{?}5,,,
6,numerals-litz1237-1-six-1,numerals-litz1237-1,Chan2019,six,6,nsous,nsous,( 5 + 1 ),FALSE,5′+1,,,
7,numerals-litz1237-1-seven-1,numerals-litz1237-1,Chan2019,seven,7,nsuru,nsuru,( 5 + 2 ),FALSE,5′+2,,,
8,numerals-litz1237-1-eight-1,numerals-litz1237-1,Chan2019,eight,8,nsutəl,nsutal,( 5 + 3 ),FALSE,5′+3,,,
9,numerals-litz1237-1-nine-1,numerals-litz1237-1,Chan2019,nine,9,nsoβəs,nsobas,( 5 + 4 ),FALSE,5′+4,,,
10,numerals-litz1237-1-ten-1,numerals-litz1237-1,Chan2019,ten,10,saŋaβəl,sangabal,,FALSE,1⋅10,,,
11,numerals-litz1237-1-eleven-1,numerals-litz1237-1,Chan2019,eleven,11,saŋaβəl daman saβax,sangabaldamansabax,,FALSE,(1⋅10)+{+}1{?},,,
12,numerals-litz1237-1-twelve-1,numerals-litz1237-1,Chan2019,twelve,12,saŋaβəl daman iru,sangabaldamaniru,,FALSE,(1⋅10)+{+}{?}2,,,
13,numerals-litz1237-1-thirteen-1,numerals-litz1237-1,Chan2019,thirteen,13,saŋaβəl daman itəl,sangabaldamanital,,FALSE,(1⋅10)+{+}{?}3,,,
14,numerals-litz1237-1-fourteen-1,numerals-litz1237-1,Chan2019,fourteen,14,saŋaβəl daman iβes,sangabaldamanibes,,FALSE,(1⋅10)+{+}{?}4,,,
15,numerals-litz1237-1-fifteen-1,numerals-litz1237-1,Chan2019,fifteen,15,saŋaβəl daman iləm,sangabaldamanilam,,FALSE,(1⋅10)+{+}{?}5,,,
16,numerals-litz1237-1-sixteen-1,numerals-litz1237-1,Chan2019,sixteen,16,saŋaβəl daman nsous,sangabaldamannsous,,FALSE,(1⋅10)+{+}5′+1,,,
17,numerals-litz1237-1-seventeen-1,numerals-litz1237-1,Chan2019,seventeen,17,saŋaβəl daman nsuru,sangabaldamannsuru,,FALSE,(1⋅10)+{+}5′+2,,,
18,numerals-litz1237-1-eighteen-1,numerals-litz1237-1,Chan2019,eighteen,18,saŋaβəl daman nsutəl,sangabaldamannsutal,,FALSE,(1⋅10)+{+}5′+3,,,
19,numerals-litz1237-1-nineteen-1,numerals-litz1237-1,Chan2019,nineteen,19,saŋaβəl daman nsoβəs,sangabaldamannsobas,,FALSE,(1⋅10)+{+}5′+4,,,
20,numerals-litz1237-1-twenty-1,numerals-litz1237-1,Chan2019,twenty,20,(na)ŋaβəl iru,nangabaliru,,FALSE,{?}10[⋅]{?}2,,,10[⋅]{?}2
21,numerals-litz1237-1-twentyone-1,numerals-litz1237-1,Chan2019,twentyone,21,(na)ŋaβəl iru daman saβax,nangabalirudamansabax,,FALSE,({?}10[⋅]{?}2)+{+}1{?},,,(10[⋅]{?}2)+{+}1{?}
22,numerals-litz1237-1-twentytwo-1,numerals-litz1237-1,Chan2019,twentytwo,22,(na)ŋaβəl iru daman iru,nangabalirudamaniru,,FALSE,({?}10[⋅]{?}2)+{+}{?}2,,,(10[⋅]{?}2)+{+}{?}2
23,numerals-litz1237-1-twentythree-1,numerals-litz1237-1,Chan2019,twentythree,23,(na)ŋaβəl iru daman itəl,nangabalirudamanital,,FALSE,({?}10[⋅]{?}2)+{+}{?}3,,,(10[⋅]{?}2)+{+}{?}3
24,numerals-litz1237-1-twentyfour-1,numerals-litz1237-1,Chan2019,twentyfour,24,(na)ŋaβəl iru daman iβes,nangabalirudamanibes,,FALSE,({?}10[⋅]{?}2)+{+}{?}4,,,(10[⋅]{?}2)+{+}{?}4
25,numerals-litz1237-1-twentyfive-1,numerals-litz1237-1,Chan2019,twentyfive,25,(na)ŋaβəl iru daman iləm,nangabalirudamanilam,,FALSE,({?}10[⋅]{?}2)+{+}{?}5,,,(10[⋅]{?}2)+{+}{?}5
