ID,Name,Concepticon_ID,Concepticon_Gloss
fiftythree,FIFTY THREE,3493,FIFTY THREE
fiftyfour,FIFTY FOUR,3563,FIFTY FOUR
fiftyfive,FIFTY FIVE,3494,FIFTY FIVE
fiftysix,FIFTY SIX,3564,FIFTY SIX
fiftyseven,FIFTY SEVEN,3565,FIFTY SEVEN
fiftyeight,FIFTY EIGHT,3566,FIFTY EIGHT
fiftynine,FIFTY NINE,3567,FIFTY NINE
sixty,SIXTY,1718,SIXTY
sixtyone,SIXTY ONE,3568,SIXTY ONE
sixtyfour,SIXTY FOUR,3570,SIXTY FOUR
sixtyfive,SIXTY FIVE,3571,SIXTY FIVE
sixtysix,SIXTY SIX,3572,SIXTY SIX
sixtyseven,SIXTY SEVEN,3573,SIXTY SEVEN
sixtyeight,SIXTY EIGHT,3574,SIXTY EIGHT
sixtynine,SIXTY NINE,3575,SIXTY NINE
seventy,SEVENTY,1721,SEVENTY
seventytwo,SEVENTY TWO,3496,SEVENTY TWO
seventythree,SEVENTY THREE,3497,SEVENTY THREE
seventyfive,SEVENTY FIVE,3578,SEVENTY FIVE
seventyseven,SEVENTY SEVEN,3580,SEVENTY SEVEN
seventyeight,SEVENTY EIGHT,3581,SEVENTY EIGHT
eighty,EIGHTY,1722,EIGHTY
eightytwo,EIGHTY TWO,3584,EIGHTY TWO
eightyfour,EIGHTY FOUR,3585,EIGHTY FOUR
eightyfive,EIGHTY FIVE,3586,EIGHTY FIVE
eightyeight,EIGHTY EIGHT,3589,EIGHTY EIGHT
eightynine,EIGHTY NINE,3590,EIGHTY NINE
ninety,NINETY,1724,NINETY
ninetythree,NINETY THREE,3592,NINETY THREE
ninetysix,NINETY SIX,3500,NINETY SIX
ninetynine,NINETY NINE,3501,NINETY NINE
hundred,HUNDRED,1634,HUNDRED
onehundredandone,ONE HUNDRED AND ONE,3502,ONE HUNDRED AND ONE
onehundredandtwo,ONE HUNDRED AND TWO,3770,ONE HUNDRED AND TWO
onehundredandthree,ONE HUNDRED AND THREE,3783,ONE HUNDRED AND THREE
onehundredandten,ONE HUNDRED AND TEN,3503,ONE HUNDRED AND TEN
onehundredandeleven,ONE HUNDRED AND ELEVEN,3771,ONE HUNDRED AND ELEVEN
onehundredandtwenty,ONE HUNDRED AND TWENTY,3504,ONE HUNDRED AND TWENTY
onehundredandtwentythree,ONE HUNDRED AND TWENTY THREE,3164,ONE HUNDRED AND TWENTY THREE
onehundredandforty,ONE HUNDRED AND FORTY,3506,ONE HUNDRED AND FORTY
onehundredandfifty,ONE HUNDRED AND FIFTY,3508,ONE HUNDRED AND FIFTY
onehundredandsixty,ONE HUNDRED AND SIXTY,3509,ONE HUNDRED AND SIXTY
onehundredandeighty,ONE HUNDRED AND EIGHTY,3510,ONE HUNDRED AND EIGHTY
twohundred,TWO HUNDRED,2676,TWO HUNDRED
twohundredandtwo,TWO HUNDRED AND TWO,3785,TWO HUNDRED AND TWO
twohundredandsixteen,TWO HUNDRED AND SIXTEEN,3512,TWO HUNDRED AND SIXTEEN
twohundredandforty,TWO HUNDRED AND FORTY,3787,TWO HUNDRED AND FORTY
twohundredandfifty,TWO HUNDRED AND FIFTY,3788,TWO HUNDRED AND FIFTY
threehundred,THREE HUNDRED,3513,THREE HUNDRED
fourhundred,FOUR HUNDRED,3515,FOUR HUNDRED
fivehundred,FIVE HUNDRED,3516,FIVE HUNDRED
sixhundred,SIX HUNDRED,3517,SIX HUNDRED
sevenhundred,SEVEN HUNDRED,3518,SEVEN HUNDRED
eighthundred,EIGHT HUNDRED,3519,EIGHT HUNDRED
ninehundred,NINE HUNDRED,3520,NINE HUNDRED
thousand,THOUSAND,1843,THOUSAND
onethousandandone,ONE THOUSAND AND ONE,3773,ONE THOUSAND AND ONE
onethousandtwohundred,ONE THOUSAND TWO HUNDRED,3791,ONE THOUSAND TWO HUNDRED
onethousandtwohundredandninetysix,ONE THOUSAND TWO HUNDRED AND NINETY SIX,3523,ONE THOUSAND TWO HUNDRED AND NINETY SIX
twothousand,TWO THOUSAND,3524,TWO THOUSAND
threethousand,THREE THOUSAND,3525,THREE THOUSAND
fourthousand,FOUR THOUSAND,3526,FOUR THOUSAND
fivethousand,FIVE THOUSAND,3527,FIVE THOUSAND
sixthousand,SIX THOUSAND,3792,SIX THOUSAND
seventhousand,SEVEN THOUSAND,3528,SEVEN THOUSAND
seventhousandsevenhundredandseventysix,SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX,3529,SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX
eightthousand,EIGHT THOUSAND,3793,EIGHT THOUSAND
ninethousand,NINE THOUSAND,3530,NINE THOUSAND
tenthousand,TEN THOUSAND,2078,TEN THOUSAND
fortysixthousandsixhundredandfiftysix,FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX,3531,FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX
onehundredthousand,ONE HUNDRED THOUSAND,3532,ONE HUNDRED THOUSAND
onemillion,ONE MILLION,3533,ONE MILLION
twomillion,TWO MILLION,3794,TWO MILLION
billion,BILLION,3599,BILLION
trillion,TRILLION,3602,TRILLION
sixtytwo,SIXTY TWO,3569,SIXTY TWO
sixtythree,SIXTY THREE,3495,SIXTY THREE
seventyone,SEVENTY ONE,3576,SEVENTY ONE
seventyfour,SEVENTY FOUR,3577,SEVENTY FOUR
seventysix,SEVENTY SIX,3579,SEVENTY SIX
seventynine,SEVENTY NINE,3582,SEVENTY NINE
eightyone,EIGHTY ONE,3583,EIGHTY ONE
eightythree,EIGHTY THREE,3498,EIGHTY THREE
eightysix,EIGHTY SIX,3587,EIGHTY SIX
eightyseven,EIGHTY SEVEN,3588,EIGHTY SEVEN
ninetyone,NINETY ONE,3499,NINETY ONE
ninetytwo,NINETY TWO,3591,NINETY TWO
ninetyfour,NINETY FOUR,3593,NINETY FOUR
ninetyfive,NINETY FIVE,3594,NINETY FIVE
ninetyseven,NINETY SEVEN,3595,NINETY SEVEN
ninetyeight,NINETY EIGHT,3596,NINETY EIGHT
tenmillion,TEN MILLION,3597,TEN MILLION
twohundredtwentyone,TWO HUNDRED TWENTY ONE,,TWO HUNDRED TWENTY ONE
fivehundredsix,FIVE HUNDRED SIX,,FIVE HUNDRED SIX
threethousandfortyeight,THREE THOUSAND FORTY EIGHT,,THREE THOUSAND FORTY EIGHT
sixthousandninehundred,SIX THOUSAND NINE HUNDRED,,SIX THOUSAND NINE HUNDRED
seventhousandfourhundredtwentytwo,SEVEN THOUSAND FOUR HUNDRED TWENTY TWO,,SEVEN THOUSAND FOUR HUNDRED TWENTY TWO
sixthousandeight,SIX THOUSAND EIGHT,,SIX THOUSAND EIGHT
many,MANY,1198,MANY
onehundredandeight,ONE HUNDRED AND EIGHT,3784,ONE HUNDRED AND EIGHT
onehundredandthirtythree,ONE HUNDRED AND THIRTY THREE,3505,ONE HUNDRED AND THIRTY THREE
onehundredandfortyfour,ONE HUNDRED AND FORTY FOUR,3507,ONE HUNDRED AND FORTY FOUR
twohundredandone,TWO HUNDRED AND ONE,3511,TWO HUNDRED AND ONE
twohundredandten,TWO HUNDRED AND TEN,3772,TWO HUNDRED AND TEN
twohundredandthirtyone,TWO HUNDRED AND THIRTY ONE,3786,TWO HUNDRED AND THIRTY ONE
threehundredandfour,THREE HUNDRED AND FOUR,3789,THREE HUNDRED AND FOUR
threehundredandninetynine,THREE HUNDRED AND NINETY NINE,3514,THREE HUNDRED AND NINETY NINE
ninehundredandninetynine,NINE HUNDRED AND NINETY NINE,3521,NINE HUNDRED AND NINETY NINE
onethousandandtwo,ONE THOUSAND AND TWO,3774,ONE THOUSAND AND TWO
onethousandandtwentyseven,ONE THOUSAND AND TWENTY SEVEN,3790,ONE THOUSAND AND TWENTY SEVEN
onethousandandsixty,ONE THOUSAND AND SIXTY,3775,ONE THOUSAND AND SIXTY
onethousandtwohundredandtwentyone,ONE THOUSAND TWO HUNDRED AND TWENTY ONE,3522,ONE THOUSAND TWO HUNDRED AND TWENTY ONE
twothousandandtwo,TWO THOUSAND AND TWO,3776,TWO THOUSAND AND TWO
onehundredmillion,ONE HUNDRED MILLION,3598,ONE HUNDRED MILLION
tenbillion,TEN BILLION,3600,TEN BILLION
onehundredbillion,ONE HUNDRED BILLION,3601,ONE HUNDRED BILLION
