ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
bowernnumerals-Bunuba-one-1,,bowernnumerals-Bunuba,one,yuwarna; yimanjarri (mother-in-law),yuwarna,,,,,,,
bowernnumerals-Bunuba-two-1,,bowernnumerals-Bunuba,two,thurranda; yimiyandi (mother-in-law),thurranda,,,,,,,
bowernnumerals-Bunuba-three-1,,bowernnumerals-Bunuba,three,ngarlgurru,ngarlgurru,,,,,,,
bowernnumerals-Gooni-one-1,,bowernnumerals-Gooni,one,yoowarni,yoowarni,,,,,,,
bowernnumerals-Gooni-two-1,,bowernnumerals-Gooni,two,"garndiwirri, garndiwiddi",garndiwirri,,,,,,,
bowernnumerals-Gooni-three-1,,bowernnumerals-Gooni,three,"ngarloodoo, nga-rloo-doo",ngarloodoo,,,,,,,
bowernnumerals-Gooni-four-1,,bowernnumerals-Gooni,four,garndiwirri garndiwirri,garndiwirri garndiwirri,,,,,,,
bowernnumerals-Gooni-five-1,,bowernnumerals-Gooni,five,"garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla",garndiwirri garndiwirri yoowarni,,,,,,,
bowernnumerals-Gooni-ten-1,,bowernnumerals-Gooni,ten,garndiwirri marla,garndiwirri marla,,,,,,,
bowernnumerals-Garrwa-one-1,,bowernnumerals-Garrwa,one,"yiŋamali; yalkunyi (Western), yulganyi, yulgunyi; yingkanyi (Eastern)",yiŋamali,,,,,,,
bowernnumerals-Garrwa-two-1,,bowernnumerals-Garrwa,two,"kujarra, gudyara",kujarra,,,,,,,
bowernnumerals-Garrwa-three-1,,bowernnumerals-Garrwa,three,"kujarra yalkunyi, kujarra  yiŋamali, gudyara yalgunyi",kujarra yalkunyi,,,,,,,
bowernnumerals-Garrwa-four-1,,bowernnumerals-Garrwa,four,"kujarra kujarra, kujarra baki kujarra",kujarra kujarra,,,,,,,
bowernnumerals-Garrwa-five-1,,bowernnumerals-Garrwa,five,kujarra baki kujarra yiŋamali,kujarra baki kujarra yiŋamali,,,,,,,
bowernnumerals-Garrwa-six-1,,bowernnumerals-Garrwa,six,kujarra baki kujarra baki kujarra,kujarra baki kujarra baki kujarra,,,,,,,
bowernnumerals-Garrwa-ten-1,,bowernnumerals-Garrwa,ten,marni kujarra,marni kujarra,,,,,,,
bowernnumerals-Garrwa-twenty-1,,bowernnumerals-Garrwa,twenty,marni kujarra baki nukami kujarra,marni kujarra baki nukami kujarra,,,,,,,
bowernnumerals-Wanyi-one-1,,bowernnumerals-Wanyi,one,yingkanyi,yingkanyi,,,,,,,
bowernnumerals-Wanyi-two-1,,bowernnumerals-Wanyi,two,kujarra,kujarra,,,,,,,
bowernnumerals-Wanyi-three-1,,bowernnumerals-Wanyi,three,kujarra-yingkanyi,kujarra-yingkanyi,,,,,,,
bowernnumerals-Wanyi-four-1,,bowernnumerals-Wanyi,four,kujarra-kujarra,kujarra-kujarra,,,,,,,
bowernnumerals-Kajir-one-1,,bowernnumerals-Kajir,one,"djerrawiyang, jerrawiyang, jirrayang, jirrayany",djerrawiyang,,,,,,,
bowernnumerals-Kajir-two-1,,bowernnumerals-Kajir,two,"ganggoob, garnmelb, garnmeleng",ganggoob,,,,,,,
bowernnumerals-Kajir-three-1,,bowernnumerals-Kajir,three,merrgern,merrgern,,,,,,,
bowernnumerals-Kija-one-1,,bowernnumerals-Kija,one,"ganmel, jirrawu-, jirrawuke-",ganmel,,,,,,,
bowernnumerals-Kija-two-1,,bowernnumerals-Kija,two,pangariny,pangariny,,,,,,,
bowernnumerals-Kija-three-1,,bowernnumerals-Kija,three,merrkernpem,merrkernpem,,,,,,,
bowernnumerals-Miriw-one-1,,bowernnumerals-Miriw,one,"jerrawiyang, djerrawiyang, djirau",jerrawiyang,,,,,,,
