ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-avok1242-1-eighteen-1	numerals-avok1242-1	Chan2019	eighteen	18	mūdri-drì-lā-nɡā-njī-drì-là-nā	mudridrilanganjidrilana		FALSE	10+{LIG}5+{LIG}3		
numerals-avok1242-1-nineteen-1	numerals-avok1242-1	Chan2019	nineteen	19	mūdri-drì-lā-nɡā-njī-drì-là-sū	mudridrilanganjidrilasu		FALSE	10+{LIG}5+{LIG}4		
numerals-avok1242-1-twenty-1	numerals-avok1242-1	Chan2019	twenty	20	nyāʔdī-trá	nyaditra		FALSE	20		
numerals-avok1242-1-twentyone-1	numerals-avok1242-1	Chan2019	twentyone	21	nyāʔdī-trá-drì-lā-nɡā-àlō	nyaditradrilangaalo		FALSE	20+{LIG}1		
numerals-avok1242-1-twentytwo-1	numerals-avok1242-1	Chan2019	twentytwo	22	nyāʔdī-trá-drì-lā-nɡā-rì	nyaditradrilangari		FALSE	20+{LIG}2		
numerals-avok1242-1-twentythree-1	numerals-avok1242-1	Chan2019	twentythree	23	nyāʔdī-trá-drì-lā-nɡā-nā	nyaditradrilangana		FALSE	20+{LIG}3		
numerals-avok1242-1-twentyfour-1	numerals-avok1242-1	Chan2019	twentyfour	24	nyāʔdī-trá-drì-lā-nɡā-sū	nyaditradrilangasu		FALSE	20+{LIG}4		
numerals-avok1242-1-twentyfive-1	numerals-avok1242-1	Chan2019	twentyfive	25	nyāʔdī-trá-drì-lā-nɡā-njī	nyaditradrilanganji		FALSE	20+{LIG}5		
numerals-avok1242-1-twentysix-1	numerals-avok1242-1	Chan2019	twentysix	26	nyāʔdī-trá-drì-lā-nɡā-njī-kázíyá	nyaditradrilanganjikaziya		FALSE	20+{LIG}5+1'		
numerals-avok1242-1-twentyseven-1	numerals-avok1242-1	Chan2019	twentyseven	27	nyāʔdī-trá-drì-lā-nɡā-njī-drì-là-rì	nyaditradrilanganjidrilari		FALSE	20+{LIG}5+2		
numerals-avok1242-1-twentyeight-1	numerals-avok1242-1	Chan2019	twentyeight	28	nyāʔdī-trá-drì-lā-nɡā-njī-drì-là-nā	nyaditradrilanganjidrilana		FALSE	20+{LIG}5+3		
numerals-avok1242-1-twentynine-1	numerals-avok1242-1	Chan2019	twentynine	29	nyāʔdī-trá-drì-lā-nɡā-njī-drì-là-sū	nyaditradrilanganjidrilasu		FALSE	20+{LIG}5+4		
numerals-avok1242-1-thirty-1	numerals-avok1242-1	Chan2019	thirty	30	nyāʔdī-trá-drì-lā-nɡā-mūdri	nyaditradrilangamudri		FALSE	20+{LIG}10		
numerals-avok1242-1-forty-1	numerals-avok1242-1	Chan2019	forty	40	nyāʔdī-rì	nyadiri	( 20 x 2 )	FALSE	20·2		
numerals-avok1242-1-fifty-1	numerals-avok1242-1	Chan2019	fifty	50	nyāʔdī-rì-drì-lā-nɡā-mūdri	nyadiridrilangamudri		FALSE	(20·2)+{LIG’}10		
numerals-avok1242-1-sixty-1	numerals-avok1242-1	Chan2019	sixty	60	nyāʔdī-nā	nyadina	( 20 x 3 )	FALSE	20·3		
numerals-avok1242-1-seventy-1	numerals-avok1242-1	Chan2019	seventy	70	nyāʔdī-nā-drì-lā-nɡā-mūdri	nyadinadrilangamudri		FALSE	(20·3)+{LIG'}10		
numerals-avok1242-1-eighty-1	numerals-avok1242-1	Chan2019	eighty	80	nyāʔdī-sū	nyadisu	( 20 x 4 )	FALSE	20·4		
numerals-avok1242-1-ninety-1	numerals-avok1242-1	Chan2019	ninety	90	nyāʔdī-su-drì-lā-nɡā-mūdri	nyadisudrilangamudri		FALSE	(20·4)+{LIG'}10		
numerals-avok1242-1-hundred-1	numerals-avok1242-1	Chan2019	hundred	100	kámá-àlō	kamaalo		FALSE	100·1		
numerals-avok1242-1-twohundred-1	numerals-avok1242-1	Chan2019	twohundred	200	kámá-rì	kamari		FALSE	100·2		
numerals-avok1242-1-thousand-1	numerals-avok1242-1	Chan2019	thousand	1000	kútù-àlō	kutualo		FALSE	1000·1		
numerals-avok1242-1-twothousand-1	numerals-avok1242-1	Chan2019	twothousand	2000	kútù-rì	kuturi		FALSE	1000·2		
ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-bagi1246-1-one-1	numerals-bagi1246-1	Chan2019	one	1	kɛ́ɗɛ̀	kede		FALSE	1		
numerals-bagi1246-1-two-1	numerals-bagi1246-1	Chan2019	two	2	sapi	sapi		FALSE	2		
numerals-bagi1246-1-three-1	numerals-bagi1246-1	Chan2019	three	3	mtá	mta		FALSE	3		
numerals-bagi1246-1-four-1	numerals-bagi1246-1	Chan2019	four	4	só	so		FALSE	4		
numerals-bagi1246-1-five-1	numerals-bagi1246-1	Chan2019	five	5	mí	mi		FALSE	5		
numerals-bagi1246-1-six-1	numerals-bagi1246-1	Chan2019	six	6	mìká	mika		FALSE	5+1’		
numerals-bagi1246-1-seven-1	numerals-bagi1246-1	Chan2019	seven	7	tʃílí	tsili		FALSE	7		
numerals-bagi1246-1-eight-1	numerals-bagi1246-1	Chan2019	eight	8	marta	marta		FALSE	5’+2		
