,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,′,Comment_glosser,Alternate_gloss
27,sand-Phom-twentyseven-1,sand-Phom,Mamta2023,twentyseven,27,ha-pɘ-ɲət,hapenat,,,20+{Lig}7,,
28,sand-Phom-twentyeight-1,sand-Phom,Mamta2023,twentyeight,28,ha-pɘ-ʃət,hapesat,,,20+{Lig}8,,
29,sand-Phom-twentynine-1,sand-Phom,Mamta2023,twentynine,29,ha-pɘ-ʃʉ,hapesu,,,20+{Lig}9,,
30,sand-Phom-thirty-1,sand-Phom,Mamta2023,thirty,30,habɘən,habean,,,3′⋅10,,
31,sand-Phom-thirtyone-1,sand-Phom,Mamta2023,thirtyone,31,habɘən-pɘ-hɯk,habeanpehwk,,,(3′⋅10)+{Lig}1,,
32,sand-Phom-thirtytwo-1,sand-Phom,Mamta2023,thirtytwo,32,habɘən-pɘ-ɲi,habeanpeni,,,(3′⋅10)+{Lig}2,,
33,sand-Phom-thirtythree-1,sand-Phom,Mamta2023,thirtythree,33,habɘən-pɘ-ʧəm,habeanpetsam,,,(3′⋅10)+{Lig}3,,
34,sand-Phom-thirtyfour-1,sand-Phom,Mamta2023,thirtyfour,34,habɘən-pɘ-əli,habeanpeali,,,(3′⋅10)+{Lig}4,,
35,sand-Phom-thirtyfive-1,sand-Phom,Mamta2023,thirtyfive,35,habɘən-pɘ-ŋa,habeanpenga,,,(3′⋅10)+{Lig}5,,
36,sand-Phom-thirtysix-1,sand-Phom,Mamta2023,thirtysix,36,habɘən-pɘ-wok,habeanpewok,,,(3′⋅10)+{Lig}6,,
37,sand-Phom-thirtyseven-1,sand-Phom,Mamta2023,thirtyseven,37,habɘən-pɘ-ɲət,habeanpenat,,,(3′⋅10)+{Lig}7,,
38,sand-Phom-thirtyeight-1,sand-Phom,Mamta2023,thirtyeight,38,habɘən-pɘ-ʃət,habeanpesat,,,(3′⋅10)+{Lig}8,,
39,sand-Phom-thirtynine-1,sand-Phom,Mamta2023,thirtynine,39,habɘən-pɘ-ʃʉ,habeanpesu,,,(3′⋅10)+{Lig}9,,
40,sand-Phom-forty-1,sand-Phom,Mamta2023,forty,40,pɘɲi,peni,,,20′⋅2,,
41,sand-Phom-fortyone-1,sand-Phom,Mamta2023,fortyone,41,pɘɲi-pɘ-hɯk,penipehwk,,,(20′⋅2)+{Lig}1,,
42,sand-Phom-fortytwo-1,sand-Phom,Mamta2023,fortytwo,42,pɘɲi-pɘ-ɲi,penipeni,,,(20′⋅2)+{Lig}2,,
43,sand-Phom-fortythree-1,sand-Phom,Mamta2023,fortythree,43,pɘɲi-pɘ-ʧəm,penipetsam,,,(20′⋅2)+{Lig}3,,
44,sand-Phom-fortyfour-1,sand-Phom,Mamta2023,fortyfour,44,pɘɲi-pɘ-əli,penipeali,,,(20′⋅2)+{Lig}4,,
45,sand-Phom-fortyfive-1,sand-Phom,Mamta2023,fortyfive,45,pɘɲi-pɘ-ŋa,penipenga,,,(20′⋅2)+{Lig}5,,
46,sand-Phom-fortysix-1,sand-Phom,Mamta2023,fortysix,46,pɘɲi-pɘ-wok,penipewok,,,(20′⋅2)+{Lig}6,,
47,sand-Phom-fortyseven-1,sand-Phom,Mamta2023,fortyseven,47,pɘɲi-pɘ-ɲət,penipenat,,,(20′⋅2)+{Lig}7,,
48,sand-Phom-fortyeight-1,sand-Phom,Mamta2023,fortyeight,48,pɘɲi-pɘ-ʃət,penipesat,,,(20′⋅2)+{Lig}8,,
49,sand-Phom-fortynine-1,sand-Phom,Mamta2023,fortynine,49,pɘɲi-pɘ-ʃʉ,penipesu,,,(20′⋅2)+{Lig}9,,
50,sand-Phom-fifty-1,sand-Phom,Mamta2023,fifty,50,pɘɲipɘən,penipean,,,(20′⋅2)+{Lig}10,,
51,sand-Phom-fiftyone-1,sand-Phom,Mamta2023,fiftyone,51,pɘɲipɘən-pɘ-hɯk,penipeanpehwk,,,((20′⋅2)+{Lig}10)+{Lig}1,,
52,sand-Phom-fiftytwo-1,sand-Phom,Mamta2023,fiftytwo,52,pɘɲipɘən-pɘ-ɲi,penipeanpeni,,,((20′⋅2)+{Lig}10)+{Lig}2,,
53,sand-Phom-fiftythree-1,sand-Phom,Mamta2023,fiftythree,53,pɘɲipɘən-pɘ-ʧəm,penipeanpetsam,,,((20′⋅2)+{Lig}10)+{Lig}3,,
