"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"1",40,"numerals-mruu1242-1-fourhundred-1","numerals-mruu1242-1","Chan2019","fourhundred",400,"t’li:34kɔm44ma32","tli34kom44ma32","","false","?","","4⋅10⋅10′′′","RE-GLOSSED"
"2",41,"numerals-mruu1242-1-fivehundred-1","numerals-mruu1242-1","Chan2019","fivehundred",500,"t’ŋa:34 kɔm44ma32","tnga34kom44ma32","","false","?","","5⋅10⋅10′′′","RE-GLOSSED"
