"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work","Gloss.math.with.ones"
"1",1,"numerals-jahh1242-1-one-1","numerals-jahh1242-1","Chan2019","one",1,"nwɛy","nwey","","false","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"2",2,"numerals-jahh1242-1-one-2","numerals-jahh1242-1","Chan2019","one",1,"niʔwɛy","niwey","","false","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"3",3,"numerals-jahh1242-1-two-1","numerals-jahh1242-1","Chan2019","two",2,"nar","nar","( use Malay after two)","false","2","",NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"4",4,"numerals-jahh1242-1-three-1","numerals-jahh1242-1","Chan2019","three",3,"tiga","tiga","","true","3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"5",5,"numerals-jahh1242-1-four-1","numerals-jahh1242-1","Chan2019","four",4,"əmpat","ampat","","true","4","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"6",6,"numerals-jahh1242-1-five-1","numerals-jahh1242-1","Chan2019","five",5,"lima","lima","","true","5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"7",7,"numerals-jahh1242-1-six-1","numerals-jahh1242-1","Chan2019","six",6,"ənam","anam","","true","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"8",8,"numerals-jahh1242-1-six-2","numerals-jahh1242-1","Chan2019","six",6,"nam","nam","","true","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"9",9,"numerals-jahh1242-1-seven-1","numerals-jahh1242-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh","","true","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"10",10,"numerals-jahh1242-1-seven-2","numerals-jahh1242-1","Chan2019","seven",7,"tuɟoh","tujoh","","true","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"11",11,"numerals-jahh1242-1-eight-1","numerals-jahh1242-1","Chan2019","eight",8,"dəlapan","dalapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"12",12,"numerals-jahh1242-1-eight-2","numerals-jahh1242-1","Chan2019","eight",8,"lapan","lapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"13",13,"numerals-jahh1242-1-nine-1","numerals-jahh1242-1","Chan2019","nine",9,"səmbilan","sambilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"14",14,"numerals-jahh1242-1-nine-2","numerals-jahh1242-1","Chan2019","nine",9,"səmilan","samilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"15",15,"numerals-jahh1242-1-ten-1","numerals-jahh1242-1","Chan2019","ten",10,"səpuluh","sapuluh","","true","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]10","10","abs(1*10)",1,10,TRUE,"10"
"16",16,"numerals-jahh1242-1-eleven-1","numerals-jahh1242-1","Chan2019","eleven",11,"sabəlas","sabalas","","true","1′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[+]10′","1+10","1+10",1,11,TRUE,"1+10"
"17",17,"numerals-jahh1242-1-twelve-1","numerals-jahh1242-1","Chan2019","twelve",12,"dua bəlas","duabalas","","true","2′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[+]10′","2+10","2+10",1,12,TRUE,"2+10"
"18",18,"numerals-jahh1242-1-thirteen-1","numerals-jahh1242-1","Chan2019","thirteen",13,"tiga bəlas","tigabalas","","true","3[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3[+]10′","3+10","3+10",1,13,TRUE,"3+10"
"19",19,"numerals-jahh1242-1-fourteen-1","numerals-jahh1242-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas","","true","4[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4[+]10′","4+10","4+10",1,14,TRUE,"4+10"
"20",20,"numerals-jahh1242-1-fifteen-1","numerals-jahh1242-1","Chan2019","fifteen",15,"lima bəlas","limabalas","","true","5[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[+]10′","5+10","5+10",1,15,TRUE,"5+10"
"21",21,"numerals-jahh1242-1-sixteen-1","numerals-jahh1242-1","Chan2019","sixteen",16,"ənam bəlas","anambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10",1,16,TRUE,"6+10"
"22",22,"numerals-jahh1242-1-sixteen-2","numerals-jahh1242-1","Chan2019","sixteen",16,"nam bəlas","nambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10",1,16,TRUE,"6+10"
"23",23,"numerals-jahh1242-1-seventeen-1","numerals-jahh1242-1","Chan2019","seventeen",17,"tud͡ʒoh","tudzoh","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10",1,17,TRUE,"7+10"
"24",24,"numerals-jahh1242-1-seventeen-2","numerals-jahh1242-1","Chan2019","seventeen",17,"tuɟoh bəlas","tujohbalas","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10",1,17,TRUE,"7+10"
"25",25,"numerals-jahh1242-1-eighteen-1","numerals-jahh1242-1","Chan2019","eighteen",18,"dəlapan","dalapan","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10",1,18,TRUE,"8+10"
"26",26,"numerals-jahh1242-1-eighteen-2","numerals-jahh1242-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10",1,18,TRUE,"8+10"
"27",27,"numerals-jahh1242-1-nineteen-1","numerals-jahh1242-1","Chan2019","nineteen",19,"səmbilan bəlas","sambilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10",1,19,TRUE,"9+10"
"28",28,"numerals-jahh1242-1-nineteen-2","numerals-jahh1242-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10",1,19,TRUE,"9+10"
"29",29,"numerals-jahh1242-1-twenty-1","numerals-jahh1242-1","Chan2019","twenty",20,"dua puluh","duapuluh","","true","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]10","2⋅10","abs(2*10)",1,20,TRUE,"2⋅10"
"30",30,"numerals-jahh1242-1-twentyone-1","numerals-jahh1242-1","Chan2019","twentyone",21,"dua puluh satu","duapuluhsatu","","true","(2′[⋅]10)[+]1′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]1′","2⋅10+1","abs(abs(2*10))+1",1,21,TRUE,"(2⋅10)+1"
"31",31,"numerals-jahh1242-1-twentytwo-1","numerals-jahh1242-1","Chan2019","twentytwo",22,"dua puluh dua","duapuluhdua","","true","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]2′","2⋅10+2","abs(abs(2*10))+2",1,22,TRUE,"(2⋅10)+2"
"32",32,"numerals-jahh1242-1-twentythree-1","numerals-jahh1242-1","Chan2019","twentythree",23,"dua puluh tiga","duapuluhtiga","","true","(2′[⋅]10)[+]3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]3","2⋅10+3","abs(abs(2*10))+3",1,23,TRUE,"(2⋅10)+3"
"33",33,"numerals-jahh1242-1-twentyfour-1","numerals-jahh1242-1","Chan2019","twentyfour",24,"dua puluh əmpat","duapuluhampat","","true","(2′[⋅]10)[+]4","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]4","2⋅10+4","abs(abs(2*10))+4",1,24,TRUE,"(2⋅10)+4"
"34",34,"numerals-jahh1242-1-twentyfive-1","numerals-jahh1242-1","Chan2019","twentyfive",25,"dua puluh lima","duapuluhlima","","true","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]5","2⋅10+5","abs(abs(2*10))+5",1,25,TRUE,"(2⋅10)+5"
"35",35,"numerals-jahh1242-1-twentysix-1","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh ənam","duapuluhanam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","2⋅10+6","abs(abs(2*10))+6",1,26,TRUE,"(2⋅10)+6"
"36",36,"numerals-jahh1242-1-twentysix-2","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh nam","duapuluhnam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","2⋅10+6","abs(abs(2*10))+6",1,26,TRUE,"(2⋅10)+6"
"37",37,"numerals-jahh1242-1-twentyseven-1","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tud͡ʒoh","duapuluhtudzoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","2⋅10+7","abs(abs(2*10))+7",1,27,TRUE,"(2⋅10)+7"
"38",38,"numerals-jahh1242-1-twentyseven-2","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tuɟoh","duapuluhtujoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","2⋅10+7","abs(abs(2*10))+7",1,27,TRUE,"(2⋅10)+7"
"39",39,"numerals-jahh1242-1-twentyeight-1","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh dəlapan","duapuluhdalapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","2⋅10+8","abs(abs(2*10))+8",1,28,TRUE,"(2⋅10)+8"
"40",40,"numerals-jahh1242-1-twentyeight-2","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh lapan","duapuluhlapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","2⋅10+8","abs(abs(2*10))+8",1,28,TRUE,"(2⋅10)+8"
"41",42,"numerals-jahh1242-1-thirty-1","numerals-jahh1242-1","Chan2019","thirty",30,"tiga puluh","tigapuluh","","true","3[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3[⋅]10","3⋅10","abs(3*10)",1,30,TRUE,"3⋅10"
"42",43,"numerals-jahh1242-1-forty-1","numerals-jahh1242-1","Chan2019","forty",40,"əmpat puluh","ampatpuluh","","true","4[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4[⋅]10","4⋅10","abs(4*10)",1,40,TRUE,"4⋅10"
"43",44,"numerals-jahh1242-1-fifty-1","numerals-jahh1242-1","Chan2019","fifty",50,"lima puluh","limapuluh","","true","5[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[⋅]10","5⋅10","abs(5*10)",1,50,TRUE,"5⋅10"
"44",45,"numerals-jahh1242-1-sixty-1","numerals-jahh1242-1","Chan2019","sixty",60,"ənam puluh","anampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)",1,60,TRUE,"6⋅10"
"45",46,"numerals-jahh1242-1-sixty-2","numerals-jahh1242-1","Chan2019","sixty",60,"nam puluh","nampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)",1,60,TRUE,"6⋅10"
"46",47,"numerals-jahh1242-1-seventy-1","numerals-jahh1242-1","Chan2019","seventy",70,"tud͡ʒoh puluh","tudzohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)",1,70,TRUE,"7⋅10"
"47",48,"numerals-jahh1242-1-seventy-2","numerals-jahh1242-1","Chan2019","seventy",70,"tuɟoh puluh","tujohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)",1,70,TRUE,"7⋅10"
"48",49,"numerals-jahh1242-1-eighty-1","numerals-jahh1242-1","Chan2019","eighty",80,"dəlapan puluh","dalapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"49",50,"numerals-jahh1242-1-eighty-2","numerals-jahh1242-1","Chan2019","eighty",80,"lapan puluh","lapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"50",51,"numerals-jahh1242-1-ninety-1","numerals-jahh1242-1","Chan2019","ninety",90,"səmbilan puluh","sambilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"51",52,"numerals-jahh1242-1-ninety-2","numerals-jahh1242-1","Chan2019","ninety",90,"səmilan puluh","samilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"52",53,"numerals-jahh1242-1-hundred-1","numerals-jahh1242-1","Chan2019","hundred",100,"saratus","saratus","","true","1′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]100","100","abs(1*100)",1,100,TRUE,"100"
"53",54,"numerals-jahh1242-1-twohundred-1","numerals-jahh1242-1","Chan2019","twohundred",200,"dua ratus","duaratus","","true","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]100","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"54",55,"numerals-jahh1242-1-thousand-1","numerals-jahh1242-1","Chan2019","thousand",1000,"saribu","saribu","","true","1′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]1000","1000","abs(1*1000)",1,1000,TRUE,"1000"
"55",56,"numerals-jahh1242-1-twothousand-1","numerals-jahh1242-1","Chan2019","twothousand",2000,"dua ribu","duaribu","","true","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]1000","2⋅1000","abs(2*1000)",1,2000,TRUE,"2⋅1000"
"56",1,"numerals-chew1245-1-one-1","numerals-chew1245-1","Chan2019","one",1,"nãy","nay",NA,"FALSE","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"57",2,"numerals-chew1245-1-two-1","numerals-chew1245-1","Chan2019","two",2,"ber","ber",NA,"FALSE","2","",NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"58",3,"numerals-chew1245-1-three-1","numerals-chew1245-1","Chan2019","three",3,"pɛd","ped",NA,"FALSE","3","",NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"59",4,"numerals-chew1245-1-four-1","numerals-chew1245-1","Chan2019","four",4,"pan","pan",NA,"FALSE","4","",NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
