"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"1",1,"numerals-jahh1242-1-one-1","numerals-jahh1242-1","Chan2019","one",1,"nwɛy","nwey","","false","1","",NA,"RE-GLOSSED","1","1","1"
"2",2,"numerals-jahh1242-1-one-2","numerals-jahh1242-1","Chan2019","one",1,"niʔwɛy","niwey","","false","1","",NA,"RE-GLOSSED","1","1","1"
"3",3,"numerals-jahh1242-1-two-1","numerals-jahh1242-1","Chan2019","two",2,"nar","nar","( use Malay after two)","false","2","",NA,"RE-GLOSSED","2","2","2"
"4",4,"numerals-jahh1242-1-three-1","numerals-jahh1242-1","Chan2019","three",3,"tiga","tiga","","true","3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3","3","3"
"5",5,"numerals-jahh1242-1-four-1","numerals-jahh1242-1","Chan2019","four",4,"əmpat","ampat","","true","4","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4","4","4"
"6",6,"numerals-jahh1242-1-five-1","numerals-jahh1242-1","Chan2019","five",5,"lima","lima","","true","5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5","5","5"
"7",7,"numerals-jahh1242-1-six-1","numerals-jahh1242-1","Chan2019","six",6,"ənam","anam","","true","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6"
"8",8,"numerals-jahh1242-1-six-2","numerals-jahh1242-1","Chan2019","six",6,"nam","nam","","true","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6"
"9",9,"numerals-jahh1242-1-seven-1","numerals-jahh1242-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh","","true","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
"10",10,"numerals-jahh1242-1-seven-2","numerals-jahh1242-1","Chan2019","seven",7,"tuɟoh","tujoh","","true","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
