"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser"
"1",1,"numerals-jahh1242-1-one-1","numerals-jahh1242-1","Chan2019","one",1,"nwɛy","nwey","","false","1","",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"2",2,"numerals-jahh1242-1-one-2","numerals-jahh1242-1","Chan2019","one",1,"niʔwɛy","niwey","","false","1","",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"3",3,"numerals-jahh1242-1-two-1","numerals-jahh1242-1","Chan2019","two",2,"nar","nar","( use Malay after two)","false","2","",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"4",4,"numerals-jahh1242-1-three-1","numerals-jahh1242-1","Chan2019","three",3,"tiga","tiga","","true","3","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"5",5,"numerals-jahh1242-1-four-1","numerals-jahh1242-1","Chan2019","four",4,"əmpat","ampat","","true","4","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"6",6,"numerals-jahh1242-1-five-1","numerals-jahh1242-1","Chan2019","five",5,"lima","lima","","true","5","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"7",7,"numerals-jahh1242-1-six-1","numerals-jahh1242-1","Chan2019","six",6,"ənam","anam","","true","6","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"8",8,"numerals-jahh1242-1-six-2","numerals-jahh1242-1","Chan2019","six",6,"nam","nam","","true","6","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"9",9,"numerals-jahh1242-1-seven-1","numerals-jahh1242-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh","","true","7","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"10",10,"numerals-jahh1242-1-seven-2","numerals-jahh1242-1","Chan2019","seven",7,"tuɟoh","tujoh","","true","7","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"11",11,"numerals-jahh1242-1-eight-1","numerals-jahh1242-1","Chan2019","eight",8,"dəlapan","dalapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"12",12,"numerals-jahh1242-1-eight-2","numerals-jahh1242-1","Chan2019","eight",8,"lapan","lapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"13",13,"numerals-jahh1242-1-nine-1","numerals-jahh1242-1","Chan2019","nine",9,"səmbilan","sambilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"14",14,"numerals-jahh1242-1-nine-2","numerals-jahh1242-1","Chan2019","nine",9,"səmilan","samilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"15",15,"numerals-jahh1242-1-ten-1","numerals-jahh1242-1","Chan2019","ten",10,"səpuluh","sapuluh","","true","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"16",16,"numerals-jahh1242-1-eleven-1","numerals-jahh1242-1","Chan2019","eleven",11,"sabəlas","sabalas","","true","1′[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"17",17,"numerals-jahh1242-1-twelve-1","numerals-jahh1242-1","Chan2019","twelve",12,"dua bəlas","duabalas","","true","2′[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"18",18,"numerals-jahh1242-1-thirteen-1","numerals-jahh1242-1","Chan2019","thirteen",13,"tiga bəlas","tigabalas","","true","3[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"19",19,"numerals-jahh1242-1-fourteen-1","numerals-jahh1242-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas","","true","4[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"20",20,"numerals-jahh1242-1-fifteen-1","numerals-jahh1242-1","Chan2019","fifteen",15,"lima bəlas","limabalas","","true","5[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"21",21,"numerals-jahh1242-1-sixteen-1","numerals-jahh1242-1","Chan2019","sixteen",16,"ənam bəlas","anambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"22",22,"numerals-jahh1242-1-sixteen-2","numerals-jahh1242-1","Chan2019","sixteen",16,"nam bəlas","nambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"23",23,"numerals-jahh1242-1-seventeen-1","numerals-jahh1242-1","Chan2019","seventeen",17,"tud͡ʒoh","tudzoh","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"24",24,"numerals-jahh1242-1-seventeen-2","numerals-jahh1242-1","Chan2019","seventeen",17,"tuɟoh bəlas","tujohbalas","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"25",25,"numerals-jahh1242-1-eighteen-1","numerals-jahh1242-1","Chan2019","eighteen",18,"dəlapan","dalapan","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"26",26,"numerals-jahh1242-1-eighteen-2","numerals-jahh1242-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"27",27,"numerals-jahh1242-1-nineteen-1","numerals-jahh1242-1","Chan2019","nineteen",19,"səmbilan bəlas","sambilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"28",28,"numerals-jahh1242-1-nineteen-2","numerals-jahh1242-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"29",29,"numerals-jahh1242-1-twenty-1","numerals-jahh1242-1","Chan2019","twenty",20,"dua puluh","duapuluh","","true","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"30",30,"numerals-jahh1242-1-twentyone-1","numerals-jahh1242-1","Chan2019","twentyone",21,"dua puluh satu","duapuluhsatu","","true","(2′[⋅]10)[+]1′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"31",31,"numerals-jahh1242-1-twentytwo-1","numerals-jahh1242-1","Chan2019","twentytwo",22,"dua puluh dua","duapuluhdua","","true","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"32",32,"numerals-jahh1242-1-twentythree-1","numerals-jahh1242-1","Chan2019","twentythree",23,"dua puluh tiga","duapuluhtiga","","true","(2′[⋅]10)[+]3","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"33",33,"numerals-jahh1242-1-twentyfour-1","numerals-jahh1242-1","Chan2019","twentyfour",24,"dua puluh əmpat","duapuluhampat","","true","(2′[⋅]10)[+]4","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"34",34,"numerals-jahh1242-1-twentyfive-1","numerals-jahh1242-1","Chan2019","twentyfive",25,"dua puluh lima","duapuluhlima","","true","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"35",35,"numerals-jahh1242-1-twentysix-1","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh ənam","duapuluhanam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"36",36,"numerals-jahh1242-1-twentysix-2","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh nam","duapuluhnam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"37",37,"numerals-jahh1242-1-twentyseven-1","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tud͡ʒoh","duapuluhtudzoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
