"","Symbol","ASCII","Freq"
"1","+",43,20170
"2","[",91,19867
"3","]",93,19867
"4","⋅",8901,18463
"5","′",8242,16477
"6","(",40,8557
"7",")",41,8557
"8","−",8722,481
"9","?",63,165
"10","½",189,38
"11","″",8243,36
