"","Symbol","ASCII","Freq"
"1","+",43,23129
"2","[",91,19911
"3","]",93,19905
"4","⋅",8901,18615
"5","′",8242,16854
"6","}",125,8727
"7","{",123,8718
"8",")",41,8577
"9","(",40,8575
"10","?",63,1898
"11","−",8722,800
"12"," ",32,121
"13",".",46,66
"14","½",189,38
"15","″",8243,36
"16","/",47,27
"17","-",45,21
"18","’",8217,3
"19","'",39,1
