"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined"
"1",37,"numerals-saur1249-2-thirty-1","numerals-saur1249-2","Chan2019","thirty",30,"ɖeɖ koːɽi","dedkori","( ½ x 20 )","false","1½[⋅]20′","<ɖeɖ> ‘one-and-a-half’ (etymologically ‘two-half’) borrowed from Indo-Aryan (Indo-European); <koːɽi> ‘twenty’ possibly (ultimately) borrowed from Austroasiatic","(2[−]½)[⋅]20","RE-GLOSSED","1½[⋅]20′","1½⋅20","1abs(abs(1/2))*20",0
"2",39,"numerals-saur1249-2-fifty-1","numerals-saur1249-2","Chan2019","fifty",50,"aɽaːy koːɽi","araykori","( 2½  x 20 )","false","2½[⋅]20′","<aɽaːy> ‘two-and-a-half’ (etymologically ‘half-three’) borrowed from Indo-Aryan (Indo-European); <koːɽi> ‘twenty’ possibly (ultimately) borrowed from Austroasiatic","(½[−]3′)[⋅]20","RE-GLOSSED","2½[⋅]20′","2½⋅20","2abs(abs(1/2))*20",0
"3",42,"numerals-peng1244-1-thirty-1","numerals-peng1244-1","Chan2019","thirty",30,"ɖeʈ koɽi","detkori","( lit: 'one and a half score' )","false","1½[⋅]20","<ɖeʈ> ‘one-and-a-half’ borrowed from Oriya (Indo-Aryan, Indo-European); <koɽi> ‘twenty’ ultimately borrowed from Austroasiatic (?)",NA,"RE-GLOSSED","1½[⋅]20","1½⋅20","1abs(abs(1/2))*20",0
"4",30,"numerals-dhod1238-1-thirty-1","numerals-dhod1238-1","Chan2019","thirty",30,"d̪id̪ is","didis","","false","1½[⋅]20","",NA,"RE-GLOSSED","1½[⋅]20","1½⋅20","1abs(abs(1/2))*20",0
"5",35,"numerals-rajp1235-1-twentysix-1","numerals-rajp1235-1","Chan2019","twentysix",26,"ɖoɖ vi ma siaɾ kɛm","dodvimasiarkem","( 30 - 4 )","false","(1½[⋅]20)[−]{LOC?}4{less?}","roughly: ‘at one-and-a-half score, four less’ (?); the subtractive element <kɛm> is different from the one used in the teens, <osu>; <kɛm> ‘less’ is possibly borrowed from the Iranian branch of Indo-Iranian (Indo-European).","(10′′+20)−{LOC?}4{less?}","RE-GLOSSED","(1½[⋅]20)[−]4","(1½⋅20)−4","abs(1abs(abs(1/2))*20)-4",0
"6",36,"numerals-rajp1235-1-twentyseven-1","numerals-rajp1235-1","Chan2019","twentyseven",27,"ɖoɖ vi ma t̪ɛn kɛm","dodvimatenkem","( 30 - 3 )","false","(1½[⋅]20)[−]{LOC?}3{less?}","roughly: ‘at one-and-a-half score, three less’ (?); the subtractive element <kɛm> is different from the one used in the teens, <osu>; <kɛm> ‘less’ is possibly borrowed from the Iranian branch of Indo-Iranian (Indo-European).","(10′′+20)−{LOC?}3{less?}","RE-GLOSSED","(1½[⋅]20)[−]3","(1½⋅20)−3","abs(1abs(abs(1/2))*20)-3",0
"7",37,"numerals-rajp1235-1-twentyeight-1","numerals-rajp1235-1","Chan2019","twentyeight",28,"ɖoɖ vi ma be kɛm","dodvimabekem","( 30 - 2 )","false","(1½[⋅]20)[−]{LOC?}2{less?}","roughly: ‘at one-and-a-half score, two less’ (?); the subtractive element <kɛm> is different from the one used in the teens, <osu>; <kɛm> ‘less’ is possibly borrowed from the Iranian branch of Indo-Iranian (Indo-European).","(10′′+20)−{LOC?}2{less?}","RE-GLOSSED","(1½[⋅]20)[−]2","(1½⋅20)−2","abs(1abs(abs(1/2))*20)-2",0
"8",38,"numerals-rajp1235-1-twentynine-1","numerals-rajp1235-1","Chan2019","twentynine",29,"ɖoɖ vi ma ek kɛm","dodvimaekkem","( 30 - 1 )","false","(1½[⋅]20)[−]{LOC?}1{less?}","roughly: ‘at one-and-a-half score, one less’ (?); the subtractive element <kɛm> is different from the one used in the teens, <osu>; <kɛm> ‘less’ is possibly borrowed from the Iranian branch of Indo-Iranian (Indo-European).","(10′′+20)−{LOC?}1{less?}","RE-GLOSSED","(1½[⋅]20)[−]1","(1½⋅20)−1","abs(1abs(abs(1/2))*20)-1",0
"9",39,"numerals-rajp1235-1-thirty-1","numerals-rajp1235-1","Chan2019","thirty",30,"ɖoɖ vi","dodvi","","false","1½[⋅]20","","10′′+20","RE-GLOSSED","1½[⋅]20","1½⋅20","1abs(abs(1/2))*20",0
"10",30,"numerals-rath1242-1-thirty-1","numerals-rath1242-1","Chan2019","thirty",30,"ɖeɖwis","dedwis","( 'one and a half twenty')","false","1½[⋅]20","","10′′+20","RE-GLOSSED","1½[⋅]20","1½⋅20","1abs(abs(1/2))*20",0
"11",33,"numerals-shum1243-1-fifty-1","numerals-shum1243-1","Chan2019","fifty",50,"ɖai nɪsa","dainisa","* ( 2, 5 x 20)","false","2½[⋅]2[⋅]10","<ɖai> ‘two-and-a-half’ borrowed from Indo-Aryan (Indo-European)",NA,"RE-GLOSSED","2½[⋅]2[⋅]10","2½⋅2⋅10","2abs(abs(1/2))*abs(2*10)",0
