"","Symbol","Freq"
"1","0",41867
"2","1",34630
"3","+",23135
"4","[",19939
"5","]",19939
"6","⋅",18612
"7","′",16849
"8","2",16758
"9","{",8725
"10","}",8725
"11","(",8565
"12",")",8565
"13","3",5052
"14","4",5011
"15","5",4784
"16","8",4441
"17","6",4424
"18","7",4361
"19","9",3948
"20","?",1901
"21","n",1676
"22","a",1393
"23","d",1324
"24","L",1311
"25","F",918
"26","−",799
"27","C",690
"28","P",579
"29","o",453
"30","M",211
"31","i",178
"32","f",164
"33","t",160
"34","e",149
"35","s",143
"36","u",142
"37","D",117
"38","A",91
"39","r",87
"40","l",83
"41"," ",76
"42","c",76
"43","v",75
"44",".",66
"45","x",59
"46","J",51
"47","B",42
"48","b",40
"49","½",38
"50","h",38
"51","″",36
"52","m",30
"53","/",27
"54","U",26
"55","y",26
"56","E",23
"57","-",21
"58","p",21
"59","k",18
"60","I",17
"61","N",17
"62","O",13
"63","z",12
"64","w",9
"65","g",7
"66","’",3
"67","'",1
