"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"15",13,"numerals-chau1259-1-eleven-1","numerals-chau1259-1","Chan2019","eleven",11,"cəte","cate","","false","10+1","",NA,"RE-GLOSSED"
"16",14,"numerals-chau1259-1-twelve-1","numerals-chau1259-1","Chan2019","twelve",12,"cəne","cane","","false","10+2","",NA,"RE-GLOSSED"
"17",15,"numerals-chau1259-1-thirteen-1","numerals-chau1259-1","Chan2019","thirteen",13,"cəsum","casum","","false","10+3","",NA,"RE-GLOSSED"
"18",16,"numerals-chau1259-1-fourteen-1","numerals-chau1259-1","Chan2019","fourteen",14,"cəpi","capi","","false","10+4","",NA,"RE-GLOSSED"
"19",17,"numerals-chau1259-1-fifteen-1","numerals-chau1259-1","Chan2019","fifteen",15,"cəbəŋ","cabang","","false","10+5′","5′ and 5 are likely identical historically.",NA,"RE-GLOSSED"
"20",18,"numerals-chau1259-1-sixteen-1","numerals-chau1259-1","Chan2019","sixteen",16,"cəʈo","cato","","false","10+6","",NA,"RE-GLOSSED"
"21",19,"numerals-chau1259-1-seventeen-1","numerals-chau1259-1","Chan2019","seventeen",17,"cəni","cani","","false","10+7","",NA,"RE-GLOSSED"
"22",20,"numerals-chau1259-1-eighteen-1","numerals-chau1259-1","Chan2019","eighteen",18,"cədze","cadze","","false","10+8","",NA,"RE-GLOSSED"
"23",21,"numerals-chau1259-1-nineteen-1","numerals-chau1259-1","Chan2019","nineteen",19,"curɡu","curgu","","false","10+9","",NA,"RE-GLOSSED"
"24",22,"numerals-chau1259-1-twenty-1","numerals-chau1259-1","Chan2019","twenty",20,"nəsa","nasa","","false","2⋅10′","",NA,"RE-GLOSSED"
"25",23,"numerals-chau1259-1-twentyone-1","numerals-chau1259-1","Chan2019","twentyone",21,"nəsa tig","nasatig","","false","(2⋅10′)[+]1","",NA,"RE-GLOSSED"
"26",24,"numerals-chau1259-1-twentytwo-1","numerals-chau1259-1","Chan2019","twentytwo",22,"nəsa nisi","nasanisi","","false","(2⋅10′)[+]2","",NA,"RE-GLOSSED"
"27",25,"numerals-chau1259-1-twentythree-1","numerals-chau1259-1","Chan2019","twentythree",23,"nəsa sum","nasasum","","false","(2⋅10′)[+]3","",NA,"RE-GLOSSED"
"28",26,"numerals-chau1259-1-twentyfour-1","numerals-chau1259-1","Chan2019","twentyfour",24,"nəsa pi","nasapi","","false","(2⋅10′)[+]4","",NA,"RE-GLOSSED"
"29",27,"numerals-chau1259-1-twentyfive-1","numerals-chau1259-1","Chan2019","twentyfive",25,"nəsa ŋəi","nasangai","","false","(2⋅10′)[+]5","",NA,"RE-GLOSSED"
"30",28,"numerals-chau1259-1-twentysix-1","numerals-chau1259-1","Chan2019","twentysix",26,"nəsa ʈug","nasatug","","false","(2⋅10′)[+]6","",NA,"RE-GLOSSED"
"31",29,"numerals-chau1259-1-twentyseven-1","numerals-chau1259-1","Chan2019","twentyseven",27,"nəsa nis","nasanis","","false","(2⋅10′)[+]7","",NA,"RE-GLOSSED"
"32",30,"numerals-chau1259-1-twentyeight-1","numerals-chau1259-1","Chan2019","twentyeight",28,"nəsa zyəd","nasazyad","","false","(2⋅10′)[+]8","",NA,"RE-GLOSSED"
"33",31,"numerals-chau1259-1-twentynine-1","numerals-chau1259-1","Chan2019","twentynine",29,"nəsa ɡui","nasagui","","false","(2⋅10′)[+]9","",NA,"RE-GLOSSED"
"34",32,"numerals-chau1259-1-thirty-1","numerals-chau1259-1","Chan2019","thirty",30,"sum-sa","sumsa","","false","3⋅10′","",NA,"RE-GLOSSED"
"35",33,"numerals-chau1259-1-forty-1","numerals-chau1259-1","Chan2019","forty",40,"pi-sa","pisa","","false","4⋅10′","",NA,"RE-GLOSSED"
"36",34,"numerals-chau1259-1-fifty-1","numerals-chau1259-1","Chan2019","fifty",50,"ŋasa","ngasa","","false","5⋅10′","",NA,"RE-GLOSSED"
"37",35,"numerals-chau1259-1-fifty-2","numerals-chau1259-1","Chan2019","fifty",50,"pisa-ci","pisaci","( 40 + 10)","false","(4⋅10′)[+]10","",NA,"RE-GLOSSED"
"38",36,"numerals-chau1259-1-sixty-1","numerals-chau1259-1","Chan2019","sixty",60,"ʈikcha","tikcha","","false","6⋅10′","",NA,"RE-GLOSSED"
"39",37,"numerals-chau1259-1-seventy-1","numerals-chau1259-1","Chan2019","seventy",70,"nis-sa","nissa","","false","7⋅10′","",NA,"RE-GLOSSED"
"40",38,"numerals-chau1259-1-eighty-1","numerals-chau1259-1","Chan2019","eighty",80,"zyədcha","zyadcha","","false","8⋅10′","",NA,"RE-GLOSSED"
"41",39,"numerals-chau1259-1-ninety-1","numerals-chau1259-1","Chan2019","ninety",90,"zyəccha-ci","zyacchaci","( 80 + 10)","false","(8⋅10′)[+]10","",NA,"RE-GLOSSED"
"42",40,"numerals-chau1259-1-hundred-1","numerals-chau1259-1","Chan2019","hundred",100,"səi","sai","< from Indo-Aryan","true","100","borrowed from Indo-Aryan (Indo-European)",NA,"RE-GLOSSED"
