"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"145",20,"numerals-muya1239-1-ten-1","numerals-muya1239-1","Chan2019","ten",10,"ɦɛ33kø55=","he33ko55",NA,"false","10{?}","",NA,"RE-GLOSSED"
"146",21,"numerals-muya1239-1-ten-1","numerals-muya1239-1","Chan2019","ten",10,"ɦɛ33kø55=lø33","he33ko55lo33",NA,"false","10{?}{CLF}","",NA,"RE-GLOSSED"
"147",22,"numerals-muya1239-1-eleven-1","numerals-muya1239-1","Chan2019","eleven",11,"ɦɛ33ti55=","he33ti55",NA,"false","10+1′","",NA,"RE-GLOSSED"
"148",23,"numerals-muya1239-1-eleven-1","numerals-muya1239-1","Chan2019","eleven",11,"ɦɛ33ti55=lø33","he33ti55lo33",NA,"false","10+1′{CLF}","",NA,"RE-GLOSSED"
"149",24,"numerals-muya1239-1-twelve-1","numerals-muya1239-1","Chan2019","twelve",12,"ɦɛ55nə33=","he55na33",NA,"false","10+2′","",NA,"RE-GLOSSED"
"150",25,"numerals-muya1239-1-twelve-1","numerals-muya1239-1","Chan2019","twelve",12,"ɦɛ55nə33=lø33","he55na33lo33",NA,"false","10+2{CLF}","",NA,"RE-GLOSSED"
"151",26,"numerals-muya1239-1-thirteen-1","numerals-muya1239-1","Chan2019","thirteen",13,"ʁɔ̠33sɔ̠55=","ro33so55",NA,"false","10′+3","",NA,"RE-GLOSSED"
"152",27,"numerals-muya1239-1-thirteen-1","numerals-muya1239-1","Chan2019","thirteen",13,"ʁɔ̠33sɔ̠55=lø33","ro33so55lo33",NA,"false","10′+3{CLF}","",NA,"RE-GLOSSED"
"153",28,"numerals-muya1239-1-fourteen-1","numerals-muya1239-1","Chan2019","fourteen",14,"ʁɔ̠33ʐʌ̠55=","ro33z55",NA,"false","10′+4","",NA,"RE-GLOSSED"
"154",29,"numerals-muya1239-1-fourteen-1","numerals-muya1239-1","Chan2019","fourteen",14,"ʁɔ̠33ʐʌ̠55=lø33","ro33z55lo33",NA,"false","10′+4{CLF}","",NA,"RE-GLOSSED"
"155",30,"numerals-muya1239-1-fifteen-1","numerals-muya1239-1","Chan2019","fifteen",15,"ɦɑ̠55ɴɑ̠33=","ha55na33",NA,"false","10+5","",NA,"RE-GLOSSED"
"156",31,"numerals-muya1239-1-fifteen-1","numerals-muya1239-1","Chan2019","fifteen",15,"ɦɑ̠55ɴɑ̠33=lø33","ha55na33lo33",NA,"false","10+5{CLF}","",NA,"RE-GLOSSED"
"157",32,"numerals-muya1239-1-sixteen-1","numerals-muya1239-1","Chan2019","sixteen",16,"ʁɔ̠33tɕʰy55=","ro33tchy55",NA,"false","10′+6","",NA,"RE-GLOSSED"
"158",33,"numerals-muya1239-1-sixteen-1","numerals-muya1239-1","Chan2019","sixteen",16,"ʁɔ̠33tɕʰy55=lø33","ro33tchy55lo33",NA,"false","10′+6{CLF}","",NA,"RE-GLOSSED"
"159",34,"numerals-muya1239-1-seventeen-1","numerals-muya1239-1","Chan2019","seventeen",17,"ʁɔ̠33ɲy55=","ro33ny55",NA,"false","10′+7","",NA,"RE-GLOSSED"
"160",35,"numerals-muya1239-1-seventeen-1","numerals-muya1239-1","Chan2019","seventeen",17,"ʁɔ̠33ɲy55=lø33","ro33ny55lo33",NA,"false","10′+7{CLF}","",NA,"RE-GLOSSED"
"161",36,"numerals-muya1239-1-eighteen-1","numerals-muya1239-1","Chan2019","eighteen",18,"ʁɔ̠33ɕʌ55=","ro33c55",NA,"false","10′+8","",NA,"RE-GLOSSED"
"162",37,"numerals-muya1239-1-eighteen-1","numerals-muya1239-1","Chan2019","eighteen",18,"ʁɔ̠33ɕʌ55=lø33","ro33c55lo33",NA,"false","10′+8{CLF}","",NA,"RE-GLOSSED"
"163",38,"numerals-muya1239-1-nineteen-1","numerals-muya1239-1","Chan2019","nineteen",19,"ʁɔ̠55ŋɡə55=","ro55ngga55",NA,"false","10′+9","",NA,"RE-GLOSSED"
"164",39,"numerals-muya1239-1-nineteen-1","numerals-muya1239-1","Chan2019","nineteen",19,"ʁɔ̠55ŋɡə55=lø33","ro55ngga55lo33",NA,"false","10′+9{CLF}","",NA,"RE-GLOSSED"
"165",61,"numerals-muya1239-1-thousand-1","numerals-muya1239-1","Chan2019","thousand",1000,"tɔ̠55ntʂʰɑ33 tʌ55-","to55ntsha33t",NA,"false","1000⋅1","<tɔ̠55ntʂʰɑ33> ‘thousand (group)’ probably borrowed from Tibetan, a fellow Sino-Tibetan language",NA,"RE-GLOSSED"
"166",62,"numerals-muya1239-1-thousand-1","numerals-muya1239-1","Chan2019","thousand",1000,"tɔ̠55ntʂʰɑ33 tʌ55-lø33","to55ntsha33t55lo33",NA,"false","1000⋅1{CLF}","<tɔ̠55ntʂʰɑ33> ‘thousand (group)’ probably borrowed from Tibetan, a fellow Sino-Tibetan language",NA,"RE-GLOSSED"
"167",81,"numerals-sunw1242-1-twohundred-2","numerals-sunw1242-1","Chan2019","twohundred",200,"ɡau niiʔšisum","gauniisisum","","false","10[⋅]2{?}[⋅]10′′","",NA,"RE-GLOSSED"
"168",82,"numerals-sunw1242-1-twohundred-2","numerals-sunw1242-1","Chan2019","twohundred",200,"põrni","porni","","false","100[⋅]2","",NA,"RE-GLOSSED"
"169",1,"numerals-paok1235-1-one-1","numerals-paok1235-1","Chan2019","one",1,"də̀","da",NA,"false","1",NA,NA,"RE-GLOSSED"
"170",2,"numerals-paok1235-1-two-1","numerals-paok1235-1","Chan2019","two",2,"nì","ni",NA,"false","2",NA,NA,"RE-GLOSSED"
"171",3,"numerals-paok1235-1-three-1","numerals-paok1235-1","Chan2019","three",3,"som̀","som",NA,"false","3",NA,NA,"RE-GLOSSED"
"172",4,"numerals-paok1235-1-four-1","numerals-paok1235-1","Chan2019","four",4,"lítʔ","lit",NA,"false","4",NA,NA,"RE-GLOSSED"
"173",5,"numerals-paok1235-1-five-1","numerals-paok1235-1","Chan2019","five",5,"ŋá","nga",NA,"false","5",NA,NA,"RE-GLOSSED"
"174",6,"numerals-paok1235-1-six-1","numerals-paok1235-1","Chan2019","six",6,"sù","su",NA,"false","6",NA,NA,"RE-GLOSSED"
"175",7,"numerals-paok1235-1-seven-1","numerals-paok1235-1","Chan2019","seven",7,"nʊ́ʔ","nu",NA,"false","7",NA,NA,"RE-GLOSSED"
"176",8,"numerals-paok1235-1-eight-1","numerals-paok1235-1","Chan2019","eight",8,"swátʔ","swat",NA,"false","8",NA,NA,"RE-GLOSSED"
"177",9,"numerals-paok1235-1-nine-1","numerals-paok1235-1","Chan2019","nine",9,"koʊ́ʔ","kou",NA,"false","9",NA,NA,"RE-GLOSSED"
"178",10,"numerals-paok1235-1-ten-1","numerals-paok1235-1","Chan2019","ten",10,"tə̄ʃí","tasi",NA,"false","1[⋅]10",NA,NA,"RE-GLOSSED"
"179",11,"numerals-paok1235-1-eleven-1","numerals-paok1235-1","Chan2019","eleven",11,"tə̄ʃípaìʔ","tasipai",NA,"false","1[⋅]10+1′",NA,NA,"RE-GLOSSED"
"180",12,"numerals-paok1235-1-twelve-1","numerals-paok1235-1","Chan2019","twelve",12,"ʃìnì","sini",NA,"false","10[+]2",NA,NA,"RE-GLOSSED"
"181",13,"numerals-paok1235-1-thirteen-1","numerals-paok1235-1","Chan2019","thirteen",13,"ʃìsom̀","sisom",NA,"false","10[+]3",NA,NA,"RE-GLOSSED"
"182",14,"numerals-paok1235-1-fourteen-1","numerals-paok1235-1","Chan2019","fourteen",14,"ʃìlítʔ","silit",NA,"false","10[+]4",NA,NA,"RE-GLOSSED"
"183",15,"numerals-paok1235-1-fifteen-1","numerals-paok1235-1","Chan2019","fifteen",15,"ʃìŋáʔ","singa",NA,"false","10[+]5",NA,NA,"RE-GLOSSED"
"184",16,"numerals-paok1235-1-sixteen-1","numerals-paok1235-1","Chan2019","sixteen",16,"ʃìsù","sisu",NA,"false","10[+]6",NA,NA,"RE-GLOSSED"
"185",17,"numerals-paok1235-1-seventeen-1","numerals-paok1235-1","Chan2019","seventeen",17,"ʃìnʊ́ʔ","sinu",NA,"false","10[+]7",NA,NA,"RE-GLOSSED"
"186",18,"numerals-paok1235-1-eighteen-1","numerals-paok1235-1","Chan2019","eighteen",18,"ʃìswát","siswat",NA,"false","10[+]8",NA,NA,"RE-GLOSSED"
"187",19,"numerals-paok1235-1-nineteen-1","numerals-paok1235-1","Chan2019","nineteen",19,"ʃìkoʊ́ʔ","sikou",NA,"false","10[+]9",NA,NA,"RE-GLOSSED"
"188",20,"numerals-paok1235-1-twenty-1","numerals-paok1235-1","Chan2019","twenty",20,"nìʃì","nisi",NA,"false","2[⋅]10",NA,NA,"RE-GLOSSED"
"189",21,"numerals-paok1235-1-twentyone-1","numerals-paok1235-1","Chan2019","twentyone",21,"nìʃìpaìʔ","nisipai",NA,"false","(2[⋅]10)[+]1′",NA,NA,"RE-GLOSSED"
"190",22,"numerals-paok1235-1-twentytwo-1","numerals-paok1235-1","Chan2019","twentytwo",22,"nìʃìnì","nisini",NA,"false","(2[⋅]10)[+]2",NA,NA,"RE-GLOSSED"
"191",23,"numerals-paok1235-1-twentythree-1","numerals-paok1235-1","Chan2019","twentythree",23,"nìʃìsom̀","nisisom",NA,"false","(2[⋅]10)[+]3",NA,NA,"RE-GLOSSED"
"192",24,"numerals-paok1235-1-twentyfour-1","numerals-paok1235-1","Chan2019","twentyfour",24,"nìʃìlítʔ","nisilit",NA,"false","(2[⋅]10)[+]4",NA,NA,"RE-GLOSSED"
"193",25,"numerals-paok1235-1-twentyfive-1","numerals-paok1235-1","Chan2019","twentyfive",25,"nìʃìŋá","nisinga",NA,"false","(2[⋅]10)[+]5",NA,NA,"RE-GLOSSED"
"194",26,"numerals-paok1235-1-twentysix-1","numerals-paok1235-1","Chan2019","twentysix",26,"nìʃìsù","nisisu",NA,"false","(2[⋅]10)[+]6",NA,NA,"RE-GLOSSED"
"195",27,"numerals-paok1235-1-twentyseven-1","numerals-paok1235-1","Chan2019","twentyseven",27,"nìʃìnʊ́ʔ","nisinu",NA,"false","(2[⋅]10)[+]7",NA,NA,"RE-GLOSSED"
"196",28,"numerals-paok1235-1-twentyeight-1","numerals-paok1235-1","Chan2019","twentyeight",28,"nìʃìswát","nisiswat",NA,"false","(2[⋅]10)[+]8",NA,NA,"RE-GLOSSED"
"197",29,"numerals-paok1235-1-twentynine-1","numerals-paok1235-1","Chan2019","twentynine",29,"nìʃìkoʊ́ʔ","nisikou",NA,"false","(2[⋅]10)[+]9",NA,NA,"RE-GLOSSED"
"198",30,"numerals-paok1235-1-thirty-1","numerals-paok1235-1","Chan2019","thirty",30,"som̀ʃì","somsi",NA,"false","3[⋅]10",NA,NA,"RE-GLOSSED"
"199",31,"numerals-paok1235-1-forty-1","numerals-paok1235-1","Chan2019","forty",40,"lítʔʃì","litsi",NA,"false","4[⋅]10",NA,NA,"RE-GLOSSED"
"200",32,"numerals-paok1235-1-fifty-1","numerals-paok1235-1","Chan2019","fifty",50,"ŋáʃì","ngasi",NA,"false","5[⋅]10",NA,NA,"RE-GLOSSED"
"201",33,"numerals-paok1235-1-sixty-1","numerals-paok1235-1","Chan2019","sixty",60,"sùʃì","susi",NA,"false","6[⋅]10",NA,NA,"RE-GLOSSED"
"202",34,"numerals-paok1235-1-seventy-1","numerals-paok1235-1","Chan2019","seventy",70,"nʊ́ʔʃì","nusi",NA,"false","7[⋅]10",NA,NA,"RE-GLOSSED"
"203",35,"numerals-paok1235-1-eighty-1","numerals-paok1235-1","Chan2019","eighty",80,"swátʃì","swatsi",NA,"false","8[⋅]10",NA,NA,"RE-GLOSSED"
"204",36,"numerals-paok1235-1-ninety-1","numerals-paok1235-1","Chan2019","ninety",90,"koʊ́ʔʃì","kousi",NA,"false","9[⋅]10",NA,NA,"RE-GLOSSED"
"205",37,"numerals-paok1235-1-hundred-1","numerals-paok1235-1","Chan2019","hundred",100,"tə̀rɛ́já","tareja",NA,"false","1[⋅]100",NA,NA,"RE-GLOSSED"
"206",38,"numerals-paok1235-1-twohundred-1","numerals-paok1235-1","Chan2019","twohundred",200,"nìrɛ̀jà","nireja",NA,"false","2[⋅]100",NA,NA,"RE-GLOSSED"
"207",39,"numerals-paok1235-1-thousand-1","numerals-paok1235-1","Chan2019","thousand",1000,"tə̀rɛ̀","tare",NA,"false","1[⋅]1000",NA,NA,"RE-GLOSSED"
"208",40,"numerals-paok1235-1-twothousand-1","numerals-paok1235-1","Chan2019","twothousand",2000,"nìrɛ̀","nire",NA,"false","2[⋅]1000",NA,NA,"RE-GLOSSED"
"209",1,"numerals-paok1235-1-one-1","numerals-paok1235-1","Chan2019","one",1,"də̀","da",NA,"false","1",NA,NA,"RE-GLOSSED"
"210",2,"numerals-paok1235-1-two-1","numerals-paok1235-1","Chan2019","two",2,"nì","ni",NA,"false","2",NA,NA,"RE-GLOSSED"
"211",3,"numerals-paok1235-1-three-1","numerals-paok1235-1","Chan2019","three",3,"som̀","som",NA,"false","3",NA,NA,"RE-GLOSSED"
"212",4,"numerals-paok1235-1-four-1","numerals-paok1235-1","Chan2019","four",4,"lítʔ","lit",NA,"false","4",NA,NA,"RE-GLOSSED"
"213",5,"numerals-paok1235-1-five-1","numerals-paok1235-1","Chan2019","five",5,"ŋá","nga",NA,"false","5",NA,NA,"RE-GLOSSED"
"214",6,"numerals-paok1235-1-six-1","numerals-paok1235-1","Chan2019","six",6,"sù","su",NA,"false","6",NA,NA,"RE-GLOSSED"
"215",7,"numerals-paok1235-1-seven-1","numerals-paok1235-1","Chan2019","seven",7,"nʊ́ʔ","nu",NA,"false","7",NA,NA,"RE-GLOSSED"
"216",8,"numerals-paok1235-1-eight-1","numerals-paok1235-1","Chan2019","eight",8,"swátʔ","swat",NA,"false","8",NA,NA,"RE-GLOSSED"
"217",9,"numerals-paok1235-1-nine-1","numerals-paok1235-1","Chan2019","nine",9,"koʊ́ʔ","kou",NA,"false","9",NA,NA,"RE-GLOSSED"
"218",10,"numerals-paok1235-1-ten-1","numerals-paok1235-1","Chan2019","ten",10,"tə̄ʃí","tasi",NA,"false","1[⋅]10",NA,NA,"RE-GLOSSED"
"219",11,"numerals-paok1235-1-eleven-1","numerals-paok1235-1","Chan2019","eleven",11,"tə̄ʃípaìʔ","tasipai",NA,"false","1[⋅]10+1′",NA,NA,"RE-GLOSSED"
"220",12,"numerals-paok1235-1-twelve-1","numerals-paok1235-1","Chan2019","twelve",12,"ʃìnì","sini",NA,"false","10[+]2",NA,NA,"RE-GLOSSED"
"221",13,"numerals-paok1235-1-thirteen-1","numerals-paok1235-1","Chan2019","thirteen",13,"ʃìsom̀","sisom",NA,"false","10[+]3",NA,NA,"RE-GLOSSED"
"222",14,"numerals-paok1235-1-fourteen-1","numerals-paok1235-1","Chan2019","fourteen",14,"ʃìlítʔ","silit",NA,"false","10[+]4",NA,NA,"RE-GLOSSED"
"223",15,"numerals-paok1235-1-fifteen-1","numerals-paok1235-1","Chan2019","fifteen",15,"ʃìŋáʔ","singa",NA,"false","10[+]5",NA,NA,"RE-GLOSSED"
"224",16,"numerals-paok1235-1-sixteen-1","numerals-paok1235-1","Chan2019","sixteen",16,"ʃìsù","sisu",NA,"false","10[+]6",NA,NA,"RE-GLOSSED"
"225",17,"numerals-paok1235-1-seventeen-1","numerals-paok1235-1","Chan2019","seventeen",17,"ʃìnʊ́ʔ","sinu",NA,"false","10[+]7",NA,NA,"RE-GLOSSED"
"226",18,"numerals-paok1235-1-eighteen-1","numerals-paok1235-1","Chan2019","eighteen",18,"ʃìswát","siswat",NA,"false","10[+]8",NA,NA,"RE-GLOSSED"
"227",19,"numerals-paok1235-1-nineteen-1","numerals-paok1235-1","Chan2019","nineteen",19,"ʃìkoʊ́ʔ","sikou",NA,"false","10[+]9",NA,NA,"RE-GLOSSED"
"228",20,"numerals-paok1235-1-twenty-1","numerals-paok1235-1","Chan2019","twenty",20,"nìʃì","nisi",NA,"false","2[⋅]10",NA,NA,"RE-GLOSSED"
"229",21,"numerals-paok1235-1-twentyone-1","numerals-paok1235-1","Chan2019","twentyone",21,"nìʃìpaìʔ","nisipai",NA,"false","(2[⋅]10)[+]1′",NA,NA,"RE-GLOSSED"
"230",22,"numerals-paok1235-1-twentytwo-1","numerals-paok1235-1","Chan2019","twentytwo",22,"nìʃìnì","nisini",NA,"false","(2[⋅]10)[+]2",NA,NA,"RE-GLOSSED"
"231",23,"numerals-paok1235-1-twentythree-1","numerals-paok1235-1","Chan2019","twentythree",23,"nìʃìsom̀","nisisom",NA,"false","(2[⋅]10)[+]3",NA,NA,"RE-GLOSSED"
"232",24,"numerals-paok1235-1-twentyfour-1","numerals-paok1235-1","Chan2019","twentyfour",24,"nìʃìlítʔ","nisilit",NA,"false","(2[⋅]10)[+]4",NA,NA,"RE-GLOSSED"
"233",25,"numerals-paok1235-1-twentyfive-1","numerals-paok1235-1","Chan2019","twentyfive",25,"nìʃìŋá","nisinga",NA,"false","(2[⋅]10)[+]5",NA,NA,"RE-GLOSSED"
"234",26,"numerals-paok1235-1-twentysix-1","numerals-paok1235-1","Chan2019","twentysix",26,"nìʃìsù","nisisu",NA,"false","(2[⋅]10)[+]6",NA,NA,"RE-GLOSSED"
"235",27,"numerals-paok1235-1-twentyseven-1","numerals-paok1235-1","Chan2019","twentyseven",27,"nìʃìnʊ́ʔ","nisinu",NA,"false","(2[⋅]10)[+]7",NA,NA,"RE-GLOSSED"
"236",28,"numerals-paok1235-1-twentyeight-1","numerals-paok1235-1","Chan2019","twentyeight",28,"nìʃìswát","nisiswat",NA,"false","(2[⋅]10)[+]8",NA,NA,"RE-GLOSSED"
"237",29,"numerals-paok1235-1-twentynine-1","numerals-paok1235-1","Chan2019","twentynine",29,"nìʃìkoʊ́ʔ","nisikou",NA,"false","(2[⋅]10)[+]9",NA,NA,"RE-GLOSSED"
"238",30,"numerals-paok1235-1-thirty-1","numerals-paok1235-1","Chan2019","thirty",30,"som̀ʃì","somsi",NA,"false","3[⋅]10",NA,NA,"RE-GLOSSED"
"239",31,"numerals-paok1235-1-forty-1","numerals-paok1235-1","Chan2019","forty",40,"lítʔʃì","litsi",NA,"false","4[⋅]10",NA,NA,"RE-GLOSSED"
"240",32,"numerals-paok1235-1-fifty-1","numerals-paok1235-1","Chan2019","fifty",50,"ŋáʃì","ngasi",NA,"false","5[⋅]10",NA,NA,"RE-GLOSSED"
"241",33,"numerals-paok1235-1-sixty-1","numerals-paok1235-1","Chan2019","sixty",60,"sùʃì","susi",NA,"false","6[⋅]10",NA,NA,"RE-GLOSSED"
"242",34,"numerals-paok1235-1-seventy-1","numerals-paok1235-1","Chan2019","seventy",70,"nʊ́ʔʃì","nusi",NA,"false","7[⋅]10",NA,NA,"RE-GLOSSED"
"243",35,"numerals-paok1235-1-eighty-1","numerals-paok1235-1","Chan2019","eighty",80,"swátʃì","swatsi",NA,"false","8[⋅]10",NA,NA,"RE-GLOSSED"
"244",36,"numerals-paok1235-1-ninety-1","numerals-paok1235-1","Chan2019","ninety",90,"koʊ́ʔʃì","kousi",NA,"false","9[⋅]10",NA,NA,"RE-GLOSSED"
"245",37,"numerals-paok1235-1-hundred-1","numerals-paok1235-1","Chan2019","hundred",100,"tə̀rɛ́já","tareja",NA,"false","1[⋅]100",NA,NA,"RE-GLOSSED"
"246",38,"numerals-paok1235-1-twohundred-1","numerals-paok1235-1","Chan2019","twohundred",200,"nìrɛ̀jà","nireja",NA,"false","2[⋅]100",NA,NA,"RE-GLOSSED"
"247",39,"numerals-paok1235-1-thousand-1","numerals-paok1235-1","Chan2019","thousand",1000,"tə̀rɛ̀","tare",NA,"false","1[⋅]1000",NA,NA,"RE-GLOSSED"
"248",40,"numerals-paok1235-1-twothousand-1","numerals-paok1235-1","Chan2019","twothousand",2000,"nìrɛ̀","nire",NA,"false","2[⋅]1000",NA,NA,"RE-GLOSSED"
"249",2,"numerals-yang1286-1-one-2","numerals-yang1286-1","Chan2019","one",1,"ʔɐt55","at55",NA,"false","1′","ultimately borrowed from Sinitic (Sino-Tibetan)",NA,"RE-GLOSSED"
"250",3,"numerals-yang1286-1-one-2","numerals-yang1286-1","Chan2019","one",1,"ou31","ou31",NA,"false","1′′","",NA,"RE-GLOSSED"
