"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"1",39,"numerals-jura1242-1-fourhundred-1","numerals-jura1242-1","Chan2019","fourhundred",400,"uɲɟisɔː","","","false","","<so> ‘hundred’ borrowed from Oriya (Indo-Aryan, Indo-European) [this form added based on contributor’s comments]","","RE-GLOSSED"
"2",40,"numerals-jura1242-1-eighthundred-1","numerals-jura1242-1","Chan2019","eighthundred",800,"aʈəsɔ","","","false","","<so> ‘hundred’ borrowed from Oriya (Indo-Aryan, Indo-European) [this form added based on contributor’s comments]","","RE-GLOSSED"
