"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","rb","sb","cb"
"1",29,"numerals-bijo1238-1-twentynine-1","numerals-bijo1238-1","Chan2019","twentynine",29,"ʊn̪t̪is ɡoʈ","untisgot","","false","[1]−{−}({3′⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European)","[1]−{−}30{CLF}","RE-GLOSSED",TRUE,TRUE,FALSE
"2",37,"numerals-chut1247-1-ninety-1","numerals-chut1247-1","Chan2019","ninety",90,"ciːn35 mɨəj31","cin35miaj31","","false","9[⋅[10","borrowed from Vietnamese (a fellow Vietic, Austroasiatic language)",NA,"RE-GLOSSED",TRUE,FALSE,TRUE
"3",36,"numerals-nguo1239-1-ninety-1","numerals-nguo1239-1","Chan2019","ninety",90,"ciːn312 mɨəj22","cin312miaj22",NA,"false","9[⋅[10","borrowed from Vietnamese (a fellow Vietic, Austroasiatic language)",NA,"RE-GLOSSED",TRUE,FALSE,TRUE
"4",25,"numerals-panj1256-1-twentyfive-1","numerals-panj1256-1","Chan2019","twentyfive",25,"pəñɟi","panji","","false","5+(]2′]⋅10′′)","","","RE-GLOSSED",TRUE,FALSE,TRUE
"5",23,"numerals-mewa1250-1-twentythree-1","numerals-mewa1250-1","Chan2019","twentythree",23,"teis","teis","","false","3+([2′′⋅10′′)","","","RE-GLOSSED",TRUE,FALSE,TRUE
"6",11,"numerals-dzon1239-1-eleven-1","numerals-dzon1239-1","Chan2019","eleven",11,"tɕu tɕí","tcutci",NA,"false","10[+]]1",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"7",12,"numerals-dzon1239-1-twelve-1","numerals-dzon1239-1","Chan2019","twelve",12,"tɕu ɲí","tcuni",NA,"false","10[+]]2",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"8",13,"numerals-dzon1239-1-thirteen-1","numerals-dzon1239-1","Chan2019","thirteen",13,"tɕu súm","tcusum",NA,"false","10[+]]3",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"9",14,"numerals-dzon1239-1-fourteen-1","numerals-dzon1239-1","Chan2019","fourteen",14,"tɕu ʃi̤","tcusi",NA,"false","10[+]]4",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"10",15,"numerals-dzon1239-1-fifteen-1","numerals-dzon1239-1","Chan2019","fifteen",15,"tɕu ŋə","tcunga",NA,"false","10[+]]5",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"11",16,"numerals-dzon1239-1-sixteen-1","numerals-dzon1239-1","Chan2019","sixteen",16,"tɕu dʑo","tcudzo",NA,"false","10[+]]6",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"12",17,"numerals-dzon1239-1-seventeen-1","numerals-dzon1239-1","Chan2019","seventeen",17,"tɕu ty̤n","tcutyn",NA,"false","10[+]]7",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"13",18,"numerals-dzon1239-1-eighteen-1","numerals-dzon1239-1","Chan2019","eighteen",18,"tɕu kæ̤","tcukae",NA,"false","10[+]]8",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"14",19,"numerals-dzon1239-1-nineteen-1","numerals-dzon1239-1","Chan2019","nineteen",19,"tɕu kṳ","tcuku",NA,"false","10[+]]9",NA,"","RE-GLOSSED",TRUE,FALSE,TRUE
"15",42,"numerals-darm1243-1-ninety-1","numerals-darm1243-1","Chan2019","ninety",90,"ɟjɛca ci","jjecaci","","false","(8⋅10′′)[+[10","","","RE-GLOSSED",TRUE,FALSE,TRUE
