,,,,,,,,,,,,,,,,,,
,,,,,,,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
,,,,,,1,numerals-digo1242-1-one-1,numerals-digo1242-1,Chan2019,one,1,jew,jew,,false,1,,
,,,,,,2,numerals-digo1242-1-two-1,numerals-digo1242-1,Chan2019,two,2,duwɐ,duwa,,false,2,,
,,,,,,3,numerals-digo1242-1-three-1,numerals-digo1242-1,Chan2019,three,3,ɐrtɐ,arta,,false,3,,
,,,,,,4,numerals-digo1242-1-four-1,numerals-digo1242-1,Chan2019,four,4,t͡supːar,tsupar,,false,4,,
,,,,,,5,numerals-digo1242-1-five-1,numerals-digo1242-1,Chan2019,five,5,fond͡z,fondz,,false,5,,
,,,,,,6,numerals-digo1242-1-six-1,numerals-digo1242-1,Chan2019,six,6,ɐxsɐz,axsaz,,false,6,,
,,,,,,7,numerals-digo1242-1-seven-1,numerals-digo1242-1,Chan2019,seven,7,avd,avd,,false,7,,
,,,,,,8,numerals-digo1242-1-eight-1,numerals-digo1242-1,Chan2019,eight,8,ast,ast,,false,8,,
,,,,,,9,numerals-digo1242-1-nine-1,numerals-digo1242-1,Chan2019,nine,9,farast,farast,,false,[1]+{on/beyond}8,,
,,,,,,10,numerals-digo1242-1-ten-1,numerals-digo1242-1,Chan2019,ten,10,dɐs,das,,false,10,,
,,,,,,11,numerals-digo1242-1-eleven-1,numerals-digo1242-1,Chan2019,eleven,11,jewɐndɐs,jewandas,,false,1+10,,
,,,,,,12,numerals-digo1242-1-twelve-1,numerals-digo1242-1,Chan2019,twelve,12,duwadɐs,duwadas,,false,2+10,,
,,,,,,13,numerals-digo1242-1-thirteen-1,numerals-digo1242-1,Chan2019,thirteen,13,ɐrtindɐs,artindas,,false,3+10,,
,,,,,,14,numerals-digo1242-1-fourteen-1,numerals-digo1242-1,Chan2019,fourteen,14,t͡supːɐrdɐs,tsupardas,,false,4+10,,
,,,,,,15,numerals-digo1242-1-fifteen-1,numerals-digo1242-1,Chan2019,fifteen,15,finddɐs,finddas,,false,5+10,,
,,,,,,16,numerals-digo1242-1-sixteen-1,numerals-digo1242-1,Chan2019,sixteen,16,ɐχsɐrdɐs,akhsardas,,false,6+10,,
,,,,,,17,numerals-digo1242-1-seventeen-1,numerals-digo1242-1,Chan2019,seventeen,17,ɐvddɐs,avddas,,false,7+10,,
,,,,,,18,numerals-digo1242-1-eighteen-1,numerals-digo1242-1,Chan2019,eighteen,18,ɐstdɐs,astdas,,false,8+10,,
,,,,,,19,numerals-digo1242-1-nineteen-1,numerals-digo1242-1,Chan2019,nineteen,19,nɐwudɐs,nawudas,,false,9+10,,
,,,,,,20,numerals-digo1242-1-twenty-1,numerals-digo1242-1,Chan2019,twenty,20,insɐj,insaj,(vigesimal),false,20,historically 10′⋅2 (?),
,,,,,,21,numerals-digo1242-1-twenty-2,numerals-digo1242-1,Chan2019,twenty,20,duwin,duwin,(decimal),false,2⋅10′,,
,,,,,,22,numerals-digo1242-1-twentyone-1,numerals-digo1242-1,Chan2019,twentyone,21,jew ɐma insɐj,jewamainsaj,(vig.),false,1+{+}20,,
,,,,,,23,numerals-digo1242-1-twentyone-2,numerals-digo1242-1,Chan2019,twentyone,21,duwin jew,duwinjew,(decim),false,(2⋅10′)[+]1,,
,,,,,,24,numerals-digo1242-1-twentytwo-1,numerals-digo1242-1,Chan2019,twentytwo,22,duwɐ ɐma insɐj,duwaamainsaj,(vig.),false,2+{and}20,,
,,,,,,25,numerals-digo1242-1-twentytwo-2,numerals-digo1242-1,Chan2019,twentytwo,22,duwin duwɐ,duwinduwa,,false,(2⋅10′)[+]2,,
,,,,,,26,numerals-digo1242-1-twentythree-1,numerals-digo1242-1,Chan2019,twentythree,23,ɐrtɐ ɐma insɐj,artaamainsaj,(vig.),false,3+{and}20,,
,,,,,,27,numerals-digo1242-1-twentythree-2,numerals-digo1242-1,Chan2019,twentythree,23,ɐrtɐ ma insɐj,artamainsaj,(vig.),false,3+{and}20,,
,,,,,,28,numerals-digo1242-1-twentythree-3,numerals-digo1242-1,Chan2019,twentythree,23,duwin ɐrtɐ,duwinarta,,false,(2⋅10′)[+]3,,
,,,,,,29,numerals-digo1242-1-twentyfour-1,numerals-digo1242-1,Chan2019,twentyfour,24,t͡supːar ɐma insɐj,tsuparamainsaj,(vig.),false,4+{and}20,,
,,,,,,30,numerals-digo1242-1-twentyfour-2,numerals-digo1242-1,Chan2019,twentyfour,24,t͡supːar ma insɐj,tsuparmainsaj,(vig.),false,4+{and}20,,
,,,,,,31,numerals-digo1242-1-twentyfour-3,numerals-digo1242-1,Chan2019,twentyfour,24,duwin t͡supːar,duwintsupar,,false,(2⋅10′)[+]4,,
,,,,,,32,numerals-digo1242-1-twentyfive-1,numerals-digo1242-1,Chan2019,twentyfive,25,fond͡z ɐma insɐj,fondzamainsaj,(vig.),false,5+{and}20,,
,,,,,,33,numerals-digo1242-1-twentyfive-2,numerals-digo1242-1,Chan2019,twentyfive,25,fond͡z ma insɐj,fondzmainsaj,(vig.),false,5+{and}20,,
,,,,,,34,numerals-digo1242-1-twentyfive-3,numerals-digo1242-1,Chan2019,twentyfive,25,duwin fond͡z,duwinfondz,,false,(2⋅10′)[+]5,,
,,,,,,35,numerals-digo1242-1-twentysix-1,numerals-digo1242-1,Chan2019,twentysix,26,ɐxsɐz ɐma insɐj,axsazamainsaj,(vig.),false,6+{and}20,,
,,,,,,36,numerals-digo1242-1-twentysix-2,numerals-digo1242-1,Chan2019,twentysix,26,ɐxsɐz ma insɐj,axsazmainsaj,(vig.),false,6+{and}20,,
,,,,,,37,numerals-digo1242-1-twentysix-3,numerals-digo1242-1,Chan2019,twentysix,26,duwin ɐxsɐz,duwinaxsaz,,false,(2⋅10′)[+]6,,
,,,,,,38,numerals-digo1242-1-twentyseven-1,numerals-digo1242-1,Chan2019,twentyseven,27,avd ɐma insɐj,avdamainsaj,(vig.),false,7+{and}20,,
,,,,,,39,numerals-digo1242-1-twentyseven-2,numerals-digo1242-1,Chan2019,twentyseven,27,duwin avd,duwinavd,,false,(2⋅10′)[+]7,,
,,,,,,40,numerals-digo1242-1-twentyeight-1,numerals-digo1242-1,Chan2019,twentyeight,28,ast ɐma insɐj,astamainsaj,(vig.),false,8+{and}20,,
,,,,,,41,numerals-digo1242-1-twentyeight-2,numerals-digo1242-1,Chan2019,twentyeight,28,duwin ast,duwinast,,false,(2⋅10′)[+]8,,
,,,,,,42,numerals-digo1242-1-twentynine-1,numerals-digo1242-1,Chan2019,twentynine,29,farast ɐma insɐj,farastamainsaj,(vig.),false,9′+{and}20,,
,,,,,,43,numerals-digo1242-1-twentynine-2,numerals-digo1242-1,Chan2019,twentynine,29,duwin farast,duwinfarast,,false,(2⋅10′)[+]9′,,
,,,,,,44,numerals-digo1242-1-thirty-1,numerals-digo1242-1,Chan2019,thirty,30,dɐs ɐma insɐd͡ʒi,dasamainsadzi,(vig.),false,10+{and}20,,
,,,,,,45,numerals-digo1242-1-thirty-2,numerals-digo1242-1,Chan2019,thirty,30,ɐrtin,artin,(decimal),false,3⋅10′,,
,,,,,,46,numerals-digo1242-1-thirty-3,numerals-digo1242-1,Chan2019,thirty,30,artin,artin,(decimal),false,3⋅10′,,
,,,,,,47,numerals-digo1242-1-forty-1,numerals-digo1242-1,Chan2019,forty,40,duwinsɐj,duwinsaj,(vig.),false,2⋅20,,
,,,,,,48,numerals-digo1242-1-forty-2,numerals-digo1242-1,Chan2019,forty,40,t͡supːor,tsupor,(decimal),false,40,,4⋅10′′′
,,,,,,49,numerals-digo1242-1-forty-3,numerals-digo1242-1,Chan2019,forty,40,čippor,cippor,(decimal),false,40,,4⋅10′′′
,,,,,,50,numerals-digo1242-1-fifty-1,numerals-digo1242-1,Chan2019,fifty,50,dɐs ɐma duwinsɐj,dasamaduwinsaj,,false,10+{and}2⋅20,,
,,,,,,51,numerals-digo1242-1-fifty-2,numerals-digo1242-1,Chan2019,fifty,50,dɐs ɐma duwin-sɐdʒi,dasamaduwinsadzi,,false,10+{and}2⋅20,,
,,,,,,52,numerals-digo1242-1-fifty-3,numerals-digo1242-1,Chan2019,fifty,50,fɐnd͡zɐj,fandzaj,,false,5⋅10′′,,
,,,,,,53,numerals-digo1242-1-fifty-4,numerals-digo1242-1,Chan2019,fifty,50,fɐnʣaj,fandzaj,,false,5⋅10′′,,
,,,,,,54,numerals-digo1242-1-sixty-1,numerals-digo1242-1,Chan2019,sixty,60,ɐrtinsɐj,artinsaj,,false,3⋅20,,
,,,,,,55,numerals-digo1242-1-sixty-2,numerals-digo1242-1,Chan2019,sixty,60,ɐrtin-sɐd͡ʒj,artinsadzj,,false,3⋅20′,,
,,,,,,56,numerals-digo1242-1-sixty-3,numerals-digo1242-1,Chan2019,sixty,60,ɐχsaj,akhsaj,,false,6⋅10′′,,
,,,,,,57,numerals-digo1242-1-sixty-4,numerals-digo1242-1,Chan2019,sixty,60,aχšej,akhsej,,false,6⋅10′′,,
,,,,,,58,numerals-digo1242-1-seventy-1,numerals-digo1242-1,Chan2019,seventy,70,dɐs ɐma ɐrtinsɐj,dasamaartinsaj,,false,10+{and}(3⋅20),,
,,,,,,59,numerals-digo1242-1-seventy-2,numerals-digo1242-1,Chan2019,seventy,70,ɐvdaj,avdaj,,false,7⋅10′′,,
,,,,,,60,numerals-digo1242-1-seventy-3,numerals-digo1242-1,Chan2019,seventy,70,avdej,avdej,,false,7⋅10′′,,
,,,,,,61,numerals-digo1242-1-eighty-1,numerals-digo1242-1,Chan2019,eighty,80,t͡supːar-insɐj,tsuparinsaj,,false,4⋅20,,
,,,,,,62,numerals-digo1242-1-eighty-2,numerals-digo1242-1,Chan2019,eighty,80,t͡supːar-sɐd͡ʒj,tsuparsadzj,,false,4⋅20′,,
,,,,,,63,numerals-digo1242-1-eighty-3,numerals-digo1242-1,Chan2019,eighty,80,ɐstaj,astaj,,false,8⋅10′′,,
,,,,,,64,numerals-digo1242-1-eighty-4,numerals-digo1242-1,Chan2019,eighty,80,aštej,astej,,false,8⋅10′′,,
,,,,,,65,numerals-digo1242-1-ninety-1,numerals-digo1242-1,Chan2019,ninety,90,dɐs ɐma cupːar-sɐd͡ʒj,dasamacuparsadzj,,false,10+{and}(4⋅20′),,
,,,,,,66,numerals-digo1242-1-ninety-2,numerals-digo1242-1,Chan2019,ninety,90,nawɐd͡zɐ,nawadza,,false,9⋅10′′,,
,,,,,,67,numerals-digo1242-1-ninetyfour-1,numerals-digo1242-1,Chan2019,ninetyfour,48,cuppar ɐma nawɐ,cupparamanawa,,false,4+{and}(9[⋅10]),,
,,,,,,68,numerals-digo1242-1-ninetyeight-1,numerals-digo1242-1,Chan2019,ninetyeight,98,aštin nawɐ,astinnawa,,false,8+(9[⋅10]),,
,,,,,,69,numerals-digo1242-1-hundred-1,numerals-digo1242-1,Chan2019,hundred,100,fond͡ʒ-insɐj,fondzinsaj,,false,5[⋅]20,,
,,,,,,70,numerals-digo1242-1-hundred-2,numerals-digo1242-1,Chan2019,hundred,100,fondd͡ʒ-insɐd͡ʒi,fonddzinsadzi,,false,5[⋅]20′,,
,,,,,,71,numerals-digo1242-1-hundred-3,numerals-digo1242-1,Chan2019,hundred,100,sɐdɐ,sada,,false,100,,
,,,,,,72,numerals-digo1242-1-twohundred-1,numerals-digo1242-1,Chan2019,twohundred,200,duwːɐ sɐd-i,duwasadi,,false,2[⋅]100{OBL},,
,,,,,,73,numerals-digo1242-1-twohundredandforty-1,numerals-digo1242-1,Chan2019,twohundredandforty,240,duwadɐs-insɐd͡ʒi,duwadasinsadzi,,false,(2+10)[⋅]20′,,
,,,,,,74,numerals-digo1242-1-thousand-1,numerals-digo1242-1,Chan2019,thousand,1000,mijn,mijn,< Turkic,true,1000,borrowed from Turkic,
,,,,,,75,numerals-digo1242-1-twothousand-1,numerals-digo1242-1,Chan2019,twothousand,2000,duwːɐ mijn-i,duwamijni,,false,2[⋅]1000{OBL},<mijn> ‘thousand’ borrowed from Turkic,
