"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"94",23,"numerals-thad1238-2-twentytwo-1","numerals-thad1238-2","Chan2019","twentytwo",22,"sōm nī lə nī","somnilani",NA,"false","(10[⋅]2)+{+}1",NA,NA,"RE-GLOSSED","(10[⋅]2)+1","(10⋅2)+1","abs(abs(10*2))+1",1,21,FALSE
"95",24,"numerals-thad1238-2-twentythree-1","numerals-thad1238-2","Chan2019","twentythree",23,"sōm nī lə tʰùm","somnilathum",NA,"false","(10[⋅]2)+{+}2",NA,NA,"RE-GLOSSED","(10[⋅]2)+2","(10⋅2)+2","abs(abs(10*2))+2",1,22,FALSE
"96",25,"numerals-thad1238-2-twentyfour-1","numerals-thad1238-2","Chan2019","twentyfour",24,"sōm nī lə lī","somnilali",NA,"false","(10[⋅]2)+{+}3",NA,NA,"RE-GLOSSED","(10[⋅]2)+3","(10⋅2)+3","abs(abs(10*2))+3",1,23,FALSE
"97",26,"numerals-thad1238-2-twentyfive-1","numerals-thad1238-2","Chan2019","twentyfive",25,"sōm nī lə ŋá","somnilanga",NA,"false","(10[⋅]2)+{+}4",NA,NA,"RE-GLOSSED","(10[⋅]2)+4","(10⋅2)+4","abs(abs(10*2))+4",1,24,FALSE
"98",27,"numerals-thad1238-2-twentysix-1","numerals-thad1238-2","Chan2019","twentysix",26,"sōm nī lə ɡùp","somnilagup",NA,"false","(10[⋅]2)+{+}5",NA,NA,"RE-GLOSSED","(10[⋅]2)+5","(10⋅2)+5","abs(abs(10*2))+5",1,25,FALSE
"99",28,"numerals-thad1238-2-twentyseven-1","numerals-thad1238-2","Chan2019","twentyseven",27,"sōm nī lə sə̄ɡī","somnilasagi",NA,"false","(10[⋅]2)+{+}6",NA,NA,"RE-GLOSSED","(10[⋅]2)+6","(10⋅2)+6","abs(abs(10*2))+6",1,26,FALSE
"100",29,"numerals-thad1238-2-twentyeight-1","numerals-thad1238-2","Chan2019","twentyeight",28,"sōm nī lə ɡiét","somnilagiet",NA,"false","(10[⋅]2)+{+}7",NA,NA,"RE-GLOSSED","(10[⋅]2)+7","(10⋅2)+7","abs(abs(10*2))+7",1,27,FALSE
"101",30,"numerals-thad1238-2-twentynine-1","numerals-thad1238-2","Chan2019","twentynine",29,"sōm nī lə kûo","somnilakuo",NA,"false","(10[⋅]2)+{+}8",NA,NA,"RE-GLOSSED","(10[⋅]2)+8","(10⋅2)+8","abs(abs(10*2))+8",1,28,FALSE
"102",13,"numerals-daai1236-1-twelve-1","numerals-daai1236-1","Chan2019","twelve",12,"xalei ŋ̩ŋ̥iʔ","xaleingngi","","false","10+{+}1","","","RE-GLOSSED","10+1","10+1","10+1",1,11,FALSE
"103",23,"numerals-lian1251-1-twentyfour-1","numerals-lian1251-1","Chan2019","twentyfour",24,"məkái mədái","makaimadai",NA,"false","20[+]3",NA,NA,"RE-GLOSSED","20[+]3","20+3","20+3",1,23,FALSE
"104",24,"numerals-lian1251-1-twentyfive-1","numerals-lian1251-1","Chan2019","twentyfive",25,"məkái məŋiú","makaimangiu",NA,"false","20[+]4",NA,NA,"RE-GLOSSED","20[+]4","20+4","20+4",1,24,FALSE
"105",25,"numerals-lian1251-1-twentysix-1","numerals-lian1251-1","Chan2019","twentysix",26,"məkái tsərūk","makaitsaruk",NA,"false","20[+]5",NA,NA,"RE-GLOSSED","20[+]5","20+5","20+5",1,25,FALSE
"106",26,"numerals-lian1251-1-twentyseven-1","numerals-lian1251-1","Chan2019","twentyseven",27,"məkái tsəniā","makaitsania",NA,"false","20[+]6",NA,NA,"RE-GLOSSED","20[+]6","20+6","20+6",1,26,FALSE
"107",27,"numerals-lian1251-1-twentyeight-1","numerals-lian1251-1","Chan2019","twentyeight",28,"məkái tətsát","makaitatsat",NA,"false","20[+]7",NA,NA,"RE-GLOSSED","20[+]7","20+7","20+7",1,27,FALSE
"108",28,"numerals-lian1251-1-twentynine-1","numerals-lian1251-1","Chan2019","twentynine",29,"məkái tsəkiū","makaitsakiu",NA,"false","20[+]8",NA,NA,"RE-GLOSSED","20[+]8","20+8","20+8",1,28,FALSE
"109",39,"numerals-eeee1240-1-thousand-1","numerals-eeee1240-1","Chan2019","thousand",1000,"jet33 tsʰin42","jet33tshin42",NA,"false","1[⋅]100","ultimately borrowed from Sinitic (Sino-Tibetan)",NA,"RE-GLOSSED","1[⋅]100","1⋅100","abs(1*100)",1,100,FALSE
"110",40,"numerals-eeee1240-1-twothousand-1","numerals-eeee1240-1","Chan2019","twothousand",2000,"ȵi24 tsʰin42","ni24tshin42",NA,"false","2′[⋅]100","ultimately borrowed from Sinitic (Sino-Tibetan)",NA,"RE-GLOSSED","2′[⋅]100","2⋅100","abs(2*100)",1,200,FALSE
"111",41,"googleuninum-ori-forty-1","googleuninum-ori","Ritchie2019","forty",40,"ଚାଳିଶି","caallishi",NA,NA,"[1]−{−}10′′","","","RE-GLOSSED","[1]−10′′","1−10","abs(1-10)",1,9,FALSE
"112",42,"googleuninum-mwr-fortyone-1","googleuninum-mwr","Ritchie2019","fortyone",41,"इकतालीस","iktaaliis",NA,NA,"1+(4⋅1)","","","RE-GLOSSED","1+(4⋅1)","1+(4⋅1)","1+abs(abs(4*1))",1,5,FALSE
"113",39,"numerals-aret1240-1-onehundredandtwenty-1","numerals-aret1240-1","Chan2019","onehundredandtwenty",120,"fa:njuwija me weːst","fanjuwijamewest","[(5 x 10) +10]","false","(5′[⋅]20′)+{+}10","","","RE-GLOSSED","(5′[⋅]20′)+10","(5⋅20)+10","abs(abs(5*20))+10",1,110,FALSE
"114",39,"numerals-chal1263-1-onehundredandtwenty-1","numerals-chal1263-1","Chan2019","onehundredandtwenty",120,"pa:jnija bi wist","pajnijabiwist","[(5 x 10) +10]","false","(5′[⋅]20′)+{+}10","","","RE-GLOSSED","(5′[⋅]20′)+10","(5⋅20)+10","abs(abs(5*20))+10",1,110,FALSE
"115",39,"numerals-nort2666-1-onehundredandtwenty-1","numerals-nort2666-1","Chan2019","onehundredandtwenty",120,"t͡ʃejɑː","tseja","(6 x 10)","false","(5[⋅]20′)+{+}10","","","RE-GLOSSED","(5[⋅]20′)+10","(5⋅20)+10","abs(abs(5*20))+10",1,110,FALSE
"116",22,"numerals-tong1312-1-twentytwo-1","numerals-tong1312-1","Chan2019","twentytwo",23,"ro1ni2re3 βe4ni2","ro1ni2re3be4ni2",NA,"false","(10[⋅]2)+{+}{?}2","",NA,"RE-GLOSSED","(10[⋅]2)+2","(10⋅2)+2","abs(abs(10*2))+2",1,22,FALSE
"117",31,"numerals-xiun1234-1-twentyfive-2","numerals-xiun1234-1","Chan2019","twentyfive",25,"n̩22 ɕi35u31","n22ci35u31",NA,"false","(2[⋅]10)[+]6","",NA,"RE-GLOSSED","(2[⋅]10)[+]6","(2⋅10)+6","abs(abs(2*10))+6",1,26,FALSE
"118",32,"numerals-xiun1234-1-twentysix-1","numerals-xiun1234-1","Chan2019","twentysix",26,"n̩22 ɕi35liu35","n22ci35liu35",NA,"false","(2[⋅]10)[+]7","",NA,"RE-GLOSSED","(2[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7",1,27,FALSE
"119",33,"numerals-xiun1234-1-twentyseven-1","numerals-xiun1234-1","Chan2019","twentyseven",27,"n̩22 ɕi35tsʰi213","n22ci35tshi213",NA,"false","(2[⋅]10)[+]8","",NA,"RE-GLOSSED","(2[⋅]10)[+]8","(2⋅10)+8","abs(abs(2*10))+8",1,28,FALSE
"120",34,"numerals-xiun1234-1-twentyeight-1","numerals-xiun1234-1","Chan2019","twentyeight",28,"n̩22 ɕi35puːə213","n22ci35pua213",NA,"false","(2[⋅]10)[+]9","",NA,"RE-GLOSSED","(2[⋅]10)[+]9","(2⋅10)+9","abs(abs(2*10))+9",1,29,FALSE
"121",35,"numerals-xiun1234-1-twentynine-1","numerals-xiun1234-1","Chan2019","twentynine",29,"n̩22 ɕi35tɕiu31","n22ci35tciu31",NA,"false","(2[⋅]10)[+]10","",NA,"RE-GLOSSED","(2[⋅]10)[+]10","(2⋅10)+10","abs(abs(2*10))+10",1,30,FALSE
"122",8,"numerals-mehr1241-1-four-2","numerals-mehr1241-1","Chan2019","four",4,"ʔarbaː","arba","(fem.)","FALSE","5{F}",NA,NA,"RE-GLOSSED","5","5","5",1,5,FALSE
"123",48,"numerals-tigr1271-1-twentyseven-2","numerals-tigr1271-1","Chan2019","twentyseven",27,"ʕasra ʃabʕatə","asrasabata","","FALSE","(10{?}[⋅2])[+]8",NA,"10+10′{?}[+]8","RE-GLOSSED","(10[⋅2])[+]8","(10⋅2)+8","abs(abs(10*2))+8",1,28,FALSE
"124",49,"numerals-tigr1271-1-twentyeight-1","numerals-tigr1271-1","Chan2019","twentyeight",28,"ʕasra səmantə","asrasamanta","","FALSE","(10{?}[⋅2])[+]9",NA,"10+10′{?}[+]9","RE-GLOSSED","(10[⋅2])[+]9","(10⋅2)+9","abs(abs(10*2))+9",1,29,FALSE
"125",50,"numerals-tigr1271-1-twentynine-1","numerals-tigr1271-1","Chan2019","twentynine",29,"ʕasra tɨʃʕatə","asratisata","","FALSE","(10{?}[⋅2])[+]10",NA,"10+10′{?}[+]10","RE-GLOSSED","(10[⋅2])[+]10","(10⋅2)+10","abs(abs(10*2))+10",1,30,FALSE
"126",12,"numerals-wola1242-1-eleven-2","numerals-wola1242-1","Chan2019","eleven",11,"támmanné ʔisiíne","tammanneisiine",NA,"false","10+{+}2","I added támmanné as it was missing but supposed to be there",NA,"RE-GLOSSED","10+2","10+2","10+2",1,12,FALSE
"127",13,"numerals-wola1242-1-twelve-1","numerals-wola1242-1","Chan2019","twelve",12,"támmanné naaʔʔa","tammannenaaa",NA,"false","10+{+}3",NA,NA,"RE-GLOSSED","10+3","10+3","10+3",1,13,FALSE
"128",14,"numerals-wola1242-1-thirteen-1","numerals-wola1242-1","Chan2019","thirteen",13,"támmanné heezza","tammanneheezza",NA,"false","10+{+}4",NA,NA,"RE-GLOSSED","10+4","10+4","10+4",1,14,FALSE
"129",15,"numerals-wola1242-1-fourteen-1","numerals-wola1242-1","Chan2019","fourteen",14,"támmanné ʔoidda","tammanneoidda",NA,"false","10+{+}5",NA,NA,"RE-GLOSSED","10+5","10+5","10+5",1,15,FALSE
"130",16,"numerals-wola1242-1-fifteen-1","numerals-wola1242-1","Chan2019","fifteen",15,"támmanné ʔitʃtʃaʃa","tammanneitstsasa",NA,"false","10+{+}6",NA,NA,"RE-GLOSSED","10+6","10+6","10+6",1,16,FALSE
"131",17,"numerals-wola1242-1-sixteen-1","numerals-wola1242-1","Chan2019","sixteen",16,"támmanné ʔusuppuna","tammanneusuppuna",NA,"false","10+{+}7",NA,NA,"RE-GLOSSED","10+7","10+7","10+7",1,17,FALSE
"132",18,"numerals-wola1242-1-seventeen-1","numerals-wola1242-1","Chan2019","seventeen",17,"támmanné laappuna","tammannelaappuna",NA,"false","10+{+}8",NA,NA,"RE-GLOSSED","10+8","10+8","10+8",1,18,FALSE
"133",19,"numerals-wola1242-1-eighteen-1","numerals-wola1242-1","Chan2019","eighteen",18,"támmanné hósppuna","tammannehosppuna",NA,"false","10+{+}9",NA,NA,"RE-GLOSSED","10+9","10+9","10+9",1,19,FALSE
"134",20,"numerals-wola1242-1-nineteen-1","numerals-wola1242-1","Chan2019","nineteen",19,"támmanné ʔuddúfuna","tammanneuddufuna",NA,"false","10+{+}10",NA,NA,"RE-GLOSSED","10+10","10+10","10+10",1,20,FALSE
