"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"16",100,"sand-Gondi-ninetyseven-1","sand-Gondi","Mamta2023","ninetyeight",98,"nɑlu koɽi əʈrɑ","nalukorisatr",NA,NA,"(4[⋅]20′)[+]17","<koɽi> ‘twenty’ and <sətr> ‘seventeen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(4[⋅]20′)[+]7+10′","RE-GLOSSED","(4[⋅]20′)[+]17","(4⋅20)+17","abs(abs(4*20))+17",1,97,FALSE
"17",92,"googleuninum-pcm-ninetyone-1","googleuninum-pcm","Ritchie2019","ninetyone",91,"naiti wan","naitiwan",NA,NA,"(8⋅10′′)[+]1","",NA,"RE-GLOSSED","(8⋅10′′)[+]1","(8⋅10)+1","abs(abs(8*10))+1",1,81,FALSE
"18",93,"googleuninum-pcm-ninetytwo-1","googleuninum-pcm","Ritchie2019","ninetytwo",92,"naiti tu","naititu",NA,NA,"(8⋅10′′)[+]2","",NA,"RE-GLOSSED","(8⋅10′′)[+]2","(8⋅10)+2","abs(abs(8*10))+2",1,82,FALSE
"19",94,"googleuninum-pcm-ninetythree-1","googleuninum-pcm","Ritchie2019","ninetythree",93,"naiti tri","naititri",NA,NA,"(8⋅10′′)[+]3","",NA,"RE-GLOSSED","(8⋅10′′)[+]3","(8⋅10)+3","abs(abs(8*10))+3",1,83,FALSE
"20",95,"googleuninum-pcm-ninetyfour-1","googleuninum-pcm","Ritchie2019","ninetyfour",94,"naiti fó","naitifo",NA,NA,"(8⋅10′′)[+]4","",NA,"RE-GLOSSED","(8⋅10′′)[+]4","(8⋅10)+4","abs(abs(8*10))+4",1,84,FALSE
"21",96,"googleuninum-pcm-ninetyfive-1","googleuninum-pcm","Ritchie2019","ninetyfive",95,"naiti five","naitifive",NA,NA,"(8⋅10′′)[+]5","",NA,"RE-GLOSSED","(8⋅10′′)[+]5","(8⋅10)+5","abs(abs(8*10))+5",1,85,FALSE
"22",97,"googleuninum-pcm-ninetysix-1","googleuninum-pcm","Ritchie2019","ninetysix",96,"naiti six","naitisix",NA,NA,"(8⋅10′′)[+]6","",NA,"RE-GLOSSED","(8⋅10′′)[+]6","(8⋅10)+6","abs(abs(8*10))+6",1,86,FALSE
"23",98,"googleuninum-pcm-ninetyseven-1","googleuninum-pcm","Ritchie2019","ninetyseven",97,"naiti sevin","naitisevin",NA,NA,"(8⋅10′′)[+]7","",NA,"RE-GLOSSED","(8⋅10′′)[+]7","(8⋅10)+7","abs(abs(8*10))+7",1,87,FALSE
"24",99,"googleuninum-pcm-ninetyeight-1","googleuninum-pcm","Ritchie2019","ninetyeight",98,"naiti het","naitihet",NA,NA,"(8⋅10′′)[+]8","",NA,"RE-GLOSSED","(8⋅10′′)[+]8","(8⋅10)+8","abs(abs(8*10))+8",1,88,FALSE
"25",100,"googleuninum-pcm-ninetynine-1","googleuninum-pcm","Ritchie2019","ninetynine",99,"naiti nai","naitinai",NA,NA,"(8⋅10′′)[+]9","",NA,"RE-GLOSSED","(8⋅10′′)[+]9","(8⋅10)+9","abs(abs(8*10))+9",1,89,FALSE
"26",28,"numerals-mara1378-1-twentysix-2","numerals-mara1378-1","Chan2019","twentysix",26,"səhvːis","sahvis","","false","7+(2′′⋅10′′)","","","RE-GLOSSED","7+(2′′⋅10′′)","7+(2⋅10)","7+abs(abs(2*10))",1,27,FALSE
"27",29,"numerals-mara1378-1-twentyseven-1","numerals-mara1378-1","Chan2019","twentyseven",27,"sətːavis","satavis","","false","8+(2′′⋅10′′)","","","RE-GLOSSED","8+(2′′⋅10′′)","8+(2⋅10)","8+abs(abs(2*10))",1,28,FALSE
"28",30,"numerals-mara1378-1-twentyeight-1","numerals-mara1378-1","Chan2019","twentyeight",28,"əʈʈʰavis","atthavis","","false","9+(2′′⋅10′′)","","","RE-GLOSSED","9+(2′′⋅10′′)","9+(2⋅10)","9+abs(abs(2*10))",1,29,FALSE
"29",115,"sand-Panchparganiya-onemillion-1","sand-Panchparganiya","Mamta2023","onemillion",1000000,"dəs lɑkʰ","daslakh",NA,NA,"10[⋅]1000000","","","RE-GLOSSED","10[⋅]1000000","10⋅1000000","abs(10*1000000)",1,10000000,FALSE
"30",40,"numerals-kath1250-1-eighthundred-1","numerals-kath1250-1","Chan2019","eighthundred",800,"atʰso","athso",NA,"false","8[⋅]1000","","","RE-GLOSSED","8[⋅]1000","8⋅1000","abs(8*1000)",1,8000,FALSE
"31",43,"numerals-surg1246-1-eighthundred-1","numerals-surg1246-1","Chan2019","eighthundred",800,"aʈʰ sau","athsau","","false","8[⋅]1000","","","RE-GLOSSED","8[⋅]1000","8⋅1000","abs(8*1000)",1,8000,FALSE
"32",40,"numerals-hari1246-1-twothousand-1","numerals-hari1246-1","Chan2019","twothousand",2000,"di hɐzar","dihazar","","false","2[⋅]100","<hɐzar> ‘thousand’ ultimately borrowed from Iranian branch of Indo-Iranian (Indo-European)","","RE-GLOSSED","2[⋅]100","2⋅100","abs(2*100)",1,200,FALSE
"33",67,"numerals-digo1242-1-ninetyfour-1","numerals-digo1242-1","Chan2019","ninetyfour",48,"cuppar ɐma nawɐ","cupparamanawa","","false","4+{and}(9[⋅10])","","","RE-GLOSSED","4+(9[⋅10])","4+(9⋅10)","4+abs(abs(9*10))",1,94,FALSE
"34",24,"numerals-stan1289-1-twentyone-2","numerals-stan1289-1","Chan2019","twentyone",21,"bin̪tiˈunə","bintiuna","","false","20+{and}2","feminine","(2′⋅10′′′)+{and}1","RE-GLOSSED","20+2","20+2","20+2",1,22,FALSE
"35",25,"numerals-stan1289-1-twentytwo-1","numerals-stan1289-1","Chan2019","twentytwo",22,"bin̪tiˈðos","bintidos","","false","20+{and}3","masculine","(2′⋅10′′′)+{and}2","RE-GLOSSED","20+3","20+3","20+3",1,23,FALSE
"36",26,"numerals-stan1289-1-twentytwo-2","numerals-stan1289-1","Chan2019","twentytwo",22,"bin̪tiˈðuəs","bintiduas","","false","20+{and}4","feminine","(2′⋅10′′′)+{and}2","RE-GLOSSED","20+4","20+4","20+4",1,24,FALSE
"37",27,"numerals-stan1289-1-twentythree-1","numerals-stan1289-1","Chan2019","twentythree",23,"bin̪tiˈtrɛs","bintitres","","false","20+{and}5","","(2′⋅10′′′)+{and}3","RE-GLOSSED","20+5","20+5","20+5",1,25,FALSE
