"","Symbol","Freq"
"1","10",23515
"2","",16834
"3","2",11652
"4","1",6351
"5","20",4973
"6","3",4911
"7","4",4878
"8","5",4456
"9","8",4200
"10","6",4121
"11","7",4105
"12","9",3626
"13","100",2327
"14","1000",2002
"15","and",1296
"16","CLF",678
"17","PL",578
"18","50",315
"19","60",277
"20","90",250
"21","70",240
"22","80",233
"23","on",223
"24","M",213
"25","F",199
"26","30",118
"27","40",92
"28","12",77
"29","in",58
"30","suffix",58
"31","count",57
"32","11",53
"33","ADJ",51
"34","19",50
"35","over",45
"36","100000",41
"37","10000000",41
"38","ABL",40
"39","0",39
"40","1000000000",38
"41","1000000",34
"42","above",30
"43","DU",26
"44","DEF",23
"45","hand",22
"46","16",20
"47","fill",20
"48","200",19
"49","to",19
"50","also",18
"51","less",18
"52","stick",18
"53","INDF",17
"54","time",17
"55","14",13
"56","10000",12
"57","zero",12
"58","17",11
"59","18",11
"60","400",11
"61","from",11
"62","LOC",11
"63","15",10
"64","13",9
"65","away",9
"66","foot",9
"67","not",9
"68","rush",9
"69","yet",9
"70","beyond",6
"71","half",5
"72","big",4
"73","29",2
"74","finger",2
"75","OBL",2
"76","other",2
"77","person",2
"78","year",2
"79","100000000000",1
"80","21",1
"81","CFL",1
"82","except",1
"83","fingers",1
"84","LP",1
"85","more",1
"86","small",1
"87","ta",1
