Language,Glottocode,Language_ID,Concept,Form,Gloss,Alternate_gloss,Comment_glosser,Source,Meaning,Referent_resource,comment_referent_resource,tabooed,ligature_form,ligature_meaning,ligature_type: associative link = 1; commitative link = 2; covert/abstent = ?; number doesnt need ligatures = !; leave in comment if the ligature or conjunction can be inferred ,comment_ligature,comment_ligatures,Absolute_vs_contextual,comments_enumerative,class_marker,comment_classmarkers,Agreement_host,,currency
Twi,twii1234,twii1234,twenty one,aduonu baako,"{LIG}(10""·2)+1",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty two,aduonu mmienu,"{LIG}(10""·2)+2",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty three,aduonu mmiensa,"{LIG}(10""·2)+3",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty four,aduonu nnan,"{LIG}(10""·2)+4",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty five,aduaonu nnum,"{LIG}(10""·2)+5",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty six,aduonu nsia,"{LIG}(10""·2)+6",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty seven,aduonu nson,"{LIG}(10""·2)+7",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty eight,aduonu nwɔtwe,"{LIG}(10""·2)+8",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,twenty nine,aduonu nkron,"{LIG}(10""·2)+9",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,thirty,aduasá,{PLU}10·3,{CL}10·3,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,thirty one,aduasa baako,{PLU}(10·3)+1,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,thirty two,aduasa mmienu,{PLU}(10·3)+2,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,thirty five,aduasa num,{PLU}(10·3)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,forty,aduanáń,{PLU}10·4,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,forty one,aduanan baako,{PLU}(10·4)+1,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,forty two,aduanan mmienu,{PLU}(10·4)+2,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,forty five,aduanan num,{PLU}(10·4)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,fifty,aduonúm ,{PLU}10·5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,fifty five,aduonúm num,{PLU}(10·5)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,sixty,aduosĩã,{PLU}10·6,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,sixty five,aduosia num,{PLU}(10·6)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,seventy,aduɔsóń,{PLU}10·7,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,seventy five,aduoson num,{PLU}(10·7)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,eighty,aduɔwɔ́twé,{PLU}10·8,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,eighty five,aduɔwɔtwe num,{PLU}(10·8)+5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,ninety,aduɔnkróń,{PLU}10·9,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,ninety five,aduɔkron num,"{PLU}(10""·9)+5",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,ninety nine,aduɔkron nkron,"{PLU}(10""·9)+9",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,hundred,ɔha,"{CL""'}100",,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,hundred and fifty,ɔha ne num,"{CL""'}100+[+]{OP}5",,,pc,,,,,ne,and,,,,,,,,,,
Twi,twii1234,twii1234,two hundred,àhánu,{PLU}100·2,,à=plural marker,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,three hundred,àhásā,{PLU}100·3,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,four hundred,àhánan,{PLU}100·4,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,five hundred,àhánūm,{PLU}100·5,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,six hundred,àhásia,{PLU}100·6,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,eight hundred,àhánwɔtwe,{PLU}100·8,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,thousand,apéḿ,1000,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,two thousand,mpém mienu,{PLU}1000·2,,,pc,,,,,,,,,,,,,,,,
Twi,twii1234,twii1234,ten thousand,mpem du,{PLU}1000·10,,,pc,,,,,,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,one,kedĩ,{CL}1,,the citation forms for one and tow are completely different from theit attributive forms,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,one,mɔa,1',,moa - one is unique among the cardinals in that it is compatible with referential concord agreement.,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,two,nviã,2,,,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,two,kɛya,{3P}2',,3P = third person expletive,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,three,ɛlalɛ,{CL}3,,"""with the exception of mo - 'one' and anvia - 'two', the citation forms of these numerals are derived using the expletive third person pronoun 'ke', which has become incorporated into the attributive numeral""",Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,three,kaalɛ,{3P}3',,ke ɛlalɛ,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,four,ɛna,{CL}4,,,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,four,kɛna,{3P}4,,ke ɛna,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,five,elo,{CL}5,,,Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,five,keki,{3P}5,,"kulo, ke elo",Harley2005,,,,,!,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,six,evũ,{CL}6,,,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,six,kevũ,{3P}6,,ke evũ,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,seven,evũkɔnɔ,"{CL}6+1""",,nɔ is associated historically with two,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,seven,kɛkɔnɔ,"{3P}[6]+1""",,6+1? kɛ evũkɔnɔ,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eight,ɛlɛ,{CL}8',,,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eight,kɛlɛ,{3P}8,,kɛlɛ,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,nine,evedĩ,{CL}[10]-1,,,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,nine,kavedĩ,{3P}[10]-1,{3P}{LIG}-1,,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,ten,ewua,{CL}10',,,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,ten,kuwua,{3P'}10',,ke ewua,Harley2005,,,,,?,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eleven,ewua-odĩ,{CL}10'+1,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,twelve,ewua-nviã,{CL}10'+2,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eleven,ewua-odĩ,{CL}10'+1,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,twelve,ewua-nviã,{CL}10'+2,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,thirteen,ewua-alalɛ,{CL}10'+3,,The numerals 13 to 19 are formed by compounding the numeral ewua - 'ten' with the numbers three to nine. The only modification is that the prefix a- replaces the prefix e-/ɛ- on the second numeral,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fourteen,ewua-ana,{CL}10'+4,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifteen,ewua-alo,{CL}10'+5,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,sixteen,ewua-avũ,{CL}10'+6,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,seventeen,ewua-avũkɔnɔ,{CL}10'+(6+1),,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eighteen,ewua-alɛ,{CL}10'+8,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,nineteen,ewua-avedĩ,{CL}10'+(8+1),,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,twenty,tɛɛya,"10""·2",,"""The numerals for 20, 30, 40 and 80 are indigenous expressions, whilst other factor-of-ten numerals are adapted from their Akan equivalents""",Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,thirty,taalɛ,"10""·3",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,forty,tɛɛna,"10""·4",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty,aduenum,"{PLU}10""'·{CL}5'",,ten borrowed from some other akan dialects,Harley2005,,,,,a,plural_marker,,occurs all through,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty one,aduenum-odĩ,"{PLU}(10""'·{CL}5')+1",,"the numvers 51-59m 61-69 etc follow almost the same pattern as the numbers from 11-19. The only difference is the prefix e-/ɛ- is retained on the second numeral, rather than being replaced by the prefix a-. (Compare the numbers below with the numbers in (166) and (167) above)",Harley2005,,,,,a,plural_marker,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty two,aduenum-nviã,"{PLU}(10""'·{CL}5')+2",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty three,aduenum-ɛlalɛ,"{PLU}(10""'·{CL}5')+{CL}3",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty four,aduenum-ɛna,"{PLU}(10""'·{CL}5')+{CL}4",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty five,aduenum-elo,"{PLU}(10""'·{CL}5')+{CL}5",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty six,aduenum-evũ,"{PLU}(10""'·{CL}5')+{CL}6",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty seven,aduenum-evũkɔnɔ,"{PLU}(10""'·{CL}5')+(6+1')",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty eight,aduenum-ɛlɛ,"{PLU}(10""'·{CL}5')+8",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,fifty nine,aduenum-evedĩ,"{PLU}(10""'·{CL}5')+(8+1)",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,sixty,aduesĩã,"{PLU}10""'·{CL}6",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,seventy,adueson,"{PLU}10""'·7",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,eighty,taalɛ,"10""·8",,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,ninety,aduekron,"{PLU}10""'·{CL}9",,"""The indigenous expressions differ syntactically from the adapted forms in that only the latter can function as nominals.""",Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,hundred,ɔha,100,,,Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,thousand,apim mɔa,{PLU}1000·1,,"""the number thousand is adapted from its Akan equivalent, and like its Akan equivalent, it inflects for number agreement:""",Harley2005,,,,,0,,,,,,,,,,,
Tuwuli,tuwu1238,tuwu1238,three thousand,mpim ɛlalɛ,{PLU}1000·3,,,Harley2005,,,,,m,PLU,,,,,,,,,,
Tafi,tafi1243,tafi1243,one,olí,{CL}1,,"“ Tafi has a decimal numeral system. The counting forms of cardinal numbers are different from the form they take in attributive position. In the counting form, the words for six, seven, and nine have zero prefix while the others have prefixes which are vowels. The multiples of ten, i.e., twenty, thirty, etc. are formed by prefixing either the root or the stem of the numbers ‘one’ to ‘nine’ with the prefix áf-,  and the quantifier prefix t-, yielding áf-t- followed by the vowel /a/ or /e/ depending on the ATR value of the stem except for the words for ‘thirty’ and ‘fifty’. The word for ‘thirty’ is formed by prefixing áf- followed by two vowels /aa/ to the root of three whereas for ‘fifty’, it is formed by prefixing áf- followed by the vowel /e/ to the form ‘five’, that is, the prefix together with the root. The words alafá ‘hundred’ and akpé ‘thousand’ are borrowed words from Ewe whereas that for ‘million’ míliɔis borrowed from English",Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,one,lí,1,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,two,ɛbha,{CL'}2,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,two,bha,2,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,three,ɛtá,{CL'}3,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,three,tá,3,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,four,ɛlɛ́,{CL'}4,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,four,lɛ́,4,,,Bobuafor2013,,,,,!,,,,,,,,,,,
