Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-xinc1246-1-one-1,numerals-xinc1246-1,Chan2019,one,1,kʼaɬ,kal,,FALSCH,1,NA,NA
2,numerals-xinc1246-1-one-2,numerals-xinc1246-1,Chan2019,one,1,ʔikaʼaɬ,ikaal,,FALSCH,1,NA,NA
3,numerals-xinc1246-1-two-1,numerals-xinc1246-1,Chan2019,two,2,piyʔ,piy,,FALSCH,2,NA,NA
4,numerals-xinc1246-1-three-1,numerals-xinc1246-1,Chan2019,three,3,waɬ,wal,,FALSCH,3,NA,NA
5,numerals-xinc1246-1-three-2,numerals-xinc1246-1,Chan2019,three,3,waɬi,wali,,FALSCH,3,NA,NA
6,numerals-xinc1246-1-four-1,numerals-xinc1246-1,Chan2019,four,4,ʔirya,irya,,FALSCH,4,NA,NA
7,numerals-xinc1246-1-five-1,numerals-xinc1246-1,Chan2019,five,5,pɨhɨ,pihi,,FALSCH,5,NA,NA
8,numerals-xinc1246-1-six-1,numerals-xinc1246-1,Chan2019,six,6,takʼaɬ,takal,,FALSCH,6,NA,NA
9,numerals-xinc1246-1-seven-1,numerals-xinc1246-1,Chan2019,seven,7,pʼuɬwa,pulwa,,FALSCH,7,NA,NA
10,numerals-xinc1246-1-eight-1,numerals-xinc1246-1,Chan2019,eight,8,ʔɨnya,inya,,FALSCH,8,NA,NA
11,numerals-xinc1246-1-ten-1,numerals-xinc1246-1,Chan2019,ten,10,pakʼiɬ,pakil,,FALSCH,10,NA,NA
