Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-loxi1235-1-one-1,numerals-loxi1235-1,Chan2019,one,1,θib˥,thib,,FALSCH,1,NA,NA
2,numerals-loxi1235-1-two-1,numerals-loxi1235-1,Chan2019,two,2,t͡ʃop˩,tsop,,FALSCH,2,NA,NA
3,numerals-loxi1235-1-three-1,numerals-loxi1235-1,Chan2019,three,3,t͡son˩,tson,,FALSCH,3,NA,NA
4,numerals-loxi1235-1-four-1,numerals-loxi1235-1,Chan2019,four,4,θap˩,thap,,FALSCH,4,NA,NA
5,numerals-loxi1235-1-five-1,numerals-loxi1235-1,Chan2019,five,5,ɡaʔj˩,gaj,,FALSCH,5,NA,NA
6,numerals-loxi1235-1-six-1,numerals-loxi1235-1,Chan2019,six,6,ʂoʔp˩,sop,,FALSCH,6,NA,NA
7,numerals-loxi1235-1-seven-1,numerals-loxi1235-1,Chan2019,seven,7,ɡaz˥,gaz,,FALSCH,7,NA,NA
8,numerals-loxi1235-1-eight-1,numerals-loxi1235-1,Chan2019,eight,8,ʂon˥,son,,FALSCH,8,NA,NA
9,numerals-loxi1235-1-nine-1,numerals-loxi1235-1,Chan2019,nine,9,ɡɛʔ˩,ge,,FALSCH,9,NA,NA
10,numerals-loxi1235-1-ten-1,numerals-loxi1235-1,Chan2019,ten,10,t͡siʔ˩,tsi,,FALSCH,10,NA,NA
11,numerals-loxi1235-1-eleven-1,numerals-loxi1235-1,Chan2019,eleven,11,t͡siʔb˩ θib ˩˥,tsibthib,(10 + 1),FALSCH,10+1,NA,NA
12,numerals-loxi1235-1-twelve-1,numerals-loxi1235-1,Chan2019,twelve,12,θib˥ sen˩,thibsen,,FALSCH,1⋅12′,sen˩ is a loan from Spanish docena according to contributor comment,NA
13,numerals-loxi1235-1-twelve-2,numerals-loxi1235-1,Chan2019,twelve,12,θib˥ ɡaʔj no˩˥ θib˥ ɡaz˥,thibgajnothibgaz,,FALSCH,1⋅5+1⋅7,multiples of 7 are used in ritual contexts according to contributor (> so technically a different system),NA
14,numerals-loxi1235-1-thirteen-1,numerals-loxi1235-1,Chan2019,thirteen,13,t͡sin̪ ˧˩,tsin,,FALSCH,10+3,"Probably non-atomic at least historically. Taken together with 11 and 14, I think it is justified to presume 10+3 here (with a sound change). intransparent today",NA
15,numerals-loxi1235-1-fourteen-1,numerals-loxi1235-1,Chan2019,fourteen,14,t͡siʔ˩ da˥,tsida,,FALSCH,10+4,NA,NA
