Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-sumu1234-1-one-1,numerals-sumu1234-1,Chan2019,one,1,as,as,(lah),FALSCH,1,,NA
2,numerals-sumu1234-1-one-2,numerals-sumu1234-1,Chan2019,one,1,aslah,aslah,,FALSCH,1,NA,NA
3,numerals-sumu1234-1-two-1,numerals-sumu1234-1,Chan2019,two,2,bu,bu,,FALSCH,2,NA,NA
4,numerals-sumu1234-1-two-2,numerals-sumu1234-1,Chan2019,two,2,bû,bu,,FALSCH,2,NA,NA
5,numerals-sumu1234-1-three-1,numerals-sumu1234-1,Chan2019,three,3,bas,bas,,FALSCH,3,NA,NA
6,numerals-sumu1234-1-four-1,numerals-sumu1234-1,Chan2019,four,4,aruŋka,arungka,,FALSCH,4,NA,NA
7,numerals-sumu1234-1-five-1,numerals-sumu1234-1,Chan2019,five,5,siŋka,singka,,FALSCH,5,NA,NA
8,numerals-sumu1234-1-six-1,numerals-sumu1234-1,Chan2019,six,6,tiaskau as,tiaskauas,,FALSCH,5′+1,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
9,numerals-sumu1234-1-six-2,numerals-sumu1234-1,Chan2019,six,6,tiŋ askau as,tingaskauas,,FALSCH,5′+1,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
10,numerals-sumu1234-1-seven-1,numerals-sumu1234-1,Chan2019,seven,7,tiaskau bu,tiaskaubu,,FALSCH,5′+2,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
11,numerals-sumu1234-1-seven-2,numerals-sumu1234-1,Chan2019,seven,7,tiŋ askau bû,tingaskaubu,,FALSCH,5′+2,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
12,numerals-sumu1234-1-eight-1,numerals-sumu1234-1,Chan2019,eight,8,tiaskau bas,tiaskaubas,,FALSCH,5′+3,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
13,numerals-sumu1234-1-eight-2,numerals-sumu1234-1,Chan2019,eight,8,tiŋ askau bas,tingaskaubas,,FALSCH,5′+3,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
14,numerals-sumu1234-1-nine-1,numerals-sumu1234-1,Chan2019,nine,9,tiaskau aruŋka,tiaskauarungka,,FALSCH,5′+4,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
15,numerals-sumu1234-1-nine-2,numerals-sumu1234-1,Chan2019,nine,9,tiŋ askau aruŋka,tingaskauarungka,,FALSCH,5′+4,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
16,numerals-sumu1234-1-ten-1,numerals-sumu1234-1,Chan2019,ten,10,salap,salap,,FALSCH,10,NA,NA
17,numerals-sumu1234-1-eleven-1,numerals-sumu1234-1,Chan2019,eleven,11,salap minit as,salapminitas,,FALSCH,10+1,NA,NA
18,numerals-sumu1234-1-eleven-2,numerals-sumu1234-1,Chan2019,eleven,11,salap kalniku as,salapkalnikuas,,FALSCH,10+1,NA,NA
19,numerals-sumu1234-1-twelve-1,numerals-sumu1234-1,Chan2019,twelve,12,salap minit bu,salapminitbu,,FALSCH,10+2,NA,NA
20,numerals-sumu1234-1-twelve-2,numerals-sumu1234-1,Chan2019,twelve,12,salap kalniku bû,salapkalnikubu,,FALSCH,10+2,NA,NA
21,numerals-sumu1234-1-thirteen-1,numerals-sumu1234-1,Chan2019,thirteen,13,salap minit bas,salapminitbas,,FALSCH,10+3,NA,NA
22,numerals-sumu1234-1-thirteen-2,numerals-sumu1234-1,Chan2019,thirteen,13,salap kalniku bas,salapkalnikubas,,FALSCH,10+3,NA,NA
23,numerals-sumu1234-1-fourteen-1,numerals-sumu1234-1,Chan2019,fourteen,14,salap minit aruŋka,salapminitarungka,,FALSCH,10+4,NA,NA
24,numerals-sumu1234-1-fifteen-1,numerals-sumu1234-1,Chan2019,fifteen,15,salap minit siŋka,salapminitsingka,,FALSCH,10+5,NA,NA
25,numerals-sumu1234-1-sixteen-1,numerals-sumu1234-1,Chan2019,sixteen,16,matawalsip tiaskau as,matawalsiptiaskauas,,FALSCH,10+5′+1,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
26,numerals-sumu1234-1-seventeen-1,numerals-sumu1234-1,Chan2019,seventeen,17,matawalsip tiaskau bu,matawalsiptiaskaubu,,FALSCH,10+5′+2,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
27,numerals-sumu1234-1-eighteen-1,numerals-sumu1234-1,Chan2019,eighteen,18,matawalsip tiaskau bas,matawalsiptiaskaubas,,FALSCH,10+5′+3,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
28,numerals-sumu1234-1-nineteen-1,numerals-sumu1234-1,Chan2019,nineteen,19,matawalsip tiaskau aruŋka,matawalsiptiaskauarungka,,FALSCH,10+5′+4,Simply 5 without ′ if tiŋ is a variant of 5 siŋ ,NA
29,numerals-sumu1234-1-twenty-1,numerals-sumu1234-1,Chan2019,twenty,20,muih as luih,muihasluih,,FALSCH,20,"There's possibly a ⋅1 in there (as) but I can't tell whether muih or luih is the 20 or both or whether one of them is an operator or something else. The as is also present in e.g. 40, which is 20⋅2. In any case the numeral does not seem to be composed. ",NA
30,numerals-sumu1234-1-twentyone-1,numerals-sumu1234-1,Chan2019,twentyone,21,muih as luih minit as,muihasluihminitas,,FALSCH,20+1,NA,NA
31,numerals-sumu1234-1-thirty-1,numerals-sumu1234-1,Chan2019,thirty,30,muih as luih minit kau salap,muihasluihminitkausalap,,FALSCH,20+10,NA,NA
32,numerals-sumu1234-1-forty-1,numerals-sumu1234-1,Chan2019,forty,40,muih as luih bu,muihasluihbu,,FALSCH,20⋅2,NA,NA
33,numerals-sumu1234-1-fifty-1,numerals-sumu1234-1,Chan2019,fifty,50,muih as luih bu minit kau salap,muihasluihbuminitkausalap,,FALSCH,20⋅2+10,NA,NA
34,numerals-sumu1234-1-sixty-1,numerals-sumu1234-1,Chan2019,sixty,60,muih as luih bas,muihasluihbas,,FALSCH,20⋅3,NA,NA
35,numerals-sumu1234-1-seventy-1,numerals-sumu1234-1,Chan2019,seventy,70,muih as luih bas minit kau salap,muihasluihbasminitkausalap,,FALSCH,20⋅3+10,NA,NA
36,numerals-sumu1234-1-eighty-1,numerals-sumu1234-1,Chan2019,eighty,80,muih as luih aruŋka,muihasluiharungka,,FALSCH,20⋅4,NA,NA
37,numerals-sumu1234-1-ninety-1,numerals-sumu1234-1,Chan2019,ninety,90,muih as luih aruŋka minit kau salap,muihasluiharungkaminitkausalap,,FALSCH,20⋅4+10,NA,NA
38,numerals-sumu1234-1-hundred-1,numerals-sumu1234-1,Chan2019,hundred,100,basni as,basnias,,FALSCH,100⋅1,NA,NA
39,numerals-sumu1234-1-hundred-2,numerals-sumu1234-1,Chan2019,hundred,100,panka as,pankaas,,FALSCH,100⋅1,NA,NA
40,numerals-sumu1234-1-hundred-3,numerals-sumu1234-1,Chan2019,hundred,100,andat,andat,,FALSCH,100,loan from English hundert,NA
41,numerals-sumu1234-1-twohundred-1,numerals-sumu1234-1,Chan2019,twohundred,200,basni bu,basnibu,,FALSCH,100⋅2,NA,NA
42,numerals-sumu1234-1-twohundred-2,numerals-sumu1234-1,Chan2019,twohundred,200,panka bû,pankabu,,FALSCH,100⋅2,NA,NA
43,numerals-sumu1234-1-twohundred-3,numerals-sumu1234-1,Chan2019,twohundred,200,andat bu,andatbu,,FALSCH,100⋅2,andat is a loan from English hundert,NA
44,numerals-sumu1234-1-thousand-1,numerals-sumu1234-1,Chan2019,thousand,1000,tawsin as,tawsinas,,FALSCH,1000⋅1,tawsin is a loan from English thousand,NA
