Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-rayo1235-1-one-1,numerals-rayo1235-1,Chan2019,one,1,tumɨ,tumi,,FALSCH,1,NA,NA
2,numerals-rayo1235-1-two-1,numerals-rayo1235-1,Chan2019,two,2,meca,meca,,FALSCH,2,NA,NA
3,numerals-rayo1235-1-three-1,numerals-rayo1235-1,Chan2019,three,3,tukaʼ,tuka,,FALSCH,3,NA,NA
4,numerals-rayo1235-1-four-1,numerals-rayo1235-1,Chan2019,four,4,makšku,maksku,,FALSCH,4,NA,NA
5,numerals-rayo1235-1-five-1,numerals-rayo1235-1,Chan2019,five,5,mosaʼ,mosa,,FALSCH,5,NA,NA
6,numerals-rayo1235-1-six-1,numerals-rayo1235-1,Chan2019,six,6,tuhtaʼ,tuhta,,FALSCH,6,NA,NA
7,numerals-rayo1235-1-seven-1,numerals-rayo1235-1,Chan2019,seven,7,kuʼyaʼ,kuya,,FALSCH,7,NA,NA
8,numerals-rayo1235-1-eight-1,numerals-rayo1235-1,Chan2019,eight,8,tukuduhtaʼ,tukuduhta,( 3 + 6 ),FALSCH,?,This clearly seems to be 3+6 as the contributor also suggests but that doesn't add up mathematically.,NA
9,numerals-rayo1235-1-nine-1,numerals-rayo1235-1,Chan2019,nine,9,makstuhtaʼ,makstuhta,( 4 + 6 ),FALSCH,?,This clearly seems to be 4+6 as the contributor also suggests but that doesn't add up mathematically.,NA
10,numerals-rayo1235-1-ten-1,numerals-rayo1235-1,Chan2019,ten,10,mahkaʼ,mahka,,FALSCH,10,NA,NA
11,numerals-rayo1235-1-eleven-1,numerals-rayo1235-1,Chan2019,eleven,11,maktumɨ,maktumi,( 10 + 1 ),FALSCH,10+1,NA,NA
12,numerals-rayo1235-1-twelve-1,numerals-rayo1235-1,Chan2019,twelve,12,makwɨstɨhkaʼ,makwistihka,( 10 + 2 ),FALSCH,10+2′,NA,NA
13,numerals-rayo1235-1-thirteen-1,numerals-rayo1235-1,Chan2019,thirteen,13,maktukaʼ,maktuka,( 10 + 3 ),FALSCH,10+3,NA,NA
14,numerals-rayo1235-1-fourteen-1,numerals-rayo1235-1,Chan2019,fourteen,14,mahkmaktaskuʼ,mahkmaktasku,( 10 + 4 ),FALSCH,10+4,NA,NA
15,numerals-rayo1235-1-fifteen-1,numerals-rayo1235-1,Chan2019,fifteen,15,yɨhtaʼ,yihta,,FALSCH,15,NA,NA
