Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-guer1243-1-one-1,numerals-guer1243-1,Chan2019,one,1,kwi˦,kwi,( c = k),FALSCH,1,NA,NA
2,numerals-guer1243-1-two-1,numerals-guer1243-1,Chan2019,two,2,we˨,we,,FALSCH,2,NA,NA
3,numerals-guer1243-1-three-1,numerals-guer1243-1,Chan2019,three,3,ndʲeː˩˧,ndje,(  dy = dʲ),FALSCH,3,NA,NA
4,numerals-guer1243-1-four-1,numerals-guer1243-1,Chan2019,four,4,ɲe˨kieː˩˧,nekie,( ñ = ɲ),FALSCH,4,NA,NA
5,numerals-guer1243-1-five-1,numerals-guer1243-1,Chan2019,five,5,ʔom˨,om,( ' = ʔ),FALSCH,5,NA,NA
6,numerals-guer1243-1-six-1,numerals-guer1243-1,Chan2019,six,6,jom˨,jom,( y = j),FALSCH,6,NA,NA
7,numerals-guer1243-1-seven-1,numerals-guer1243-1,Chan2019,seven,7,ntʲ˨kieːʔ˧,ntjkie,( ty = tʲ),FALSCH,7,NA,NA
8,numerals-guer1243-1-eight-1,numerals-guer1243-1,Chan2019,eight,8,ɲẽː˩˧,ne,( ñ = ɲ),FALSCH,8,NA,NA
9,numerals-guer1243-1-nine-1,numerals-guer1243-1,Chan2019,nine,9,ɲʲẽː˩˧,nje,,FALSCH,9,NA,NA
10,numerals-guer1243-1-ten-1,numerals-guer1243-1,Chan2019,ten,10,ki˨,ki,,FALSCH,10,NA,NA
11,numerals-guer1243-1-eleven-1,numerals-guer1243-1,Chan2019,eleven,11,kã˨tʃoːʔ˩˧kwi˦,katsokwi,( 10 + 1 ),FALSCH,10′+1,NA,NA
12,numerals-guer1243-1-twelve-1,numerals-guer1243-1,Chan2019,twelve,12,kã˨tʃoːʔ˩˧we˨,katsowe,( 10 + 2 ),FALSCH,10′+2,NA,NA
13,numerals-guer1243-1-thirteen-1,numerals-guer1243-1,Chan2019,thirteen,13,kã˨tʃoːʔ˩˧ndʲeː˩˧,katsondje,( 10 + 3 ),FALSCH,10′+3,NA,NA
14,numerals-guer1243-1-fourteen-1,numerals-guer1243-1,Chan2019,fourteen,14,kã˨tʃoːʔ˩˧ɲe˨kieː˩˧,katsonekie,( 10 + 4 ),FALSCH,10′+4,NA,NA
15,numerals-guer1243-1-fifteen-1,numerals-guer1243-1,Chan2019,fifteen,15,(n)kĩ˨ʔoːm˩˧,nkiom,,FALSCH,10+5,NA,NA
16,numerals-guer1243-1-sixteen-1,numerals-guer1243-1,Chan2019,sixteen,16,(n)kĩ˨ʔoːm˩˧ntʃoːʔ˩˧kwi˦,nkiomntsokwi,( 15 + 1 ),FALSCH,10+5+1,NA,NA
17,numerals-guer1243-1-seventeen-1,numerals-guer1243-1,Chan2019,seventeen,17,(n)kĩ˨ʔoːm˩˧ntʃoːʔ˩˧we˨,nkiomntsowe,( 15 + 2 ),FALSCH,10+5+2,NA,NA
18,numerals-guer1243-1-eighteen-1,numerals-guer1243-1,Chan2019,eighteen,18,(n)kĩ˨ʔoːm˩˧ntʃoːʔ˩˧ndʲeː˩˧,nkiomntsondje,( 15 + 3 ),FALSCH,10+5+3,NA,NA
19,numerals-guer1243-1-nineteen-1,numerals-guer1243-1,Chan2019,nineteen,19,(n)kĩ˨ʔoːm˩˧ntʃoːʔ˩˧ɲe˨kieː˩˧,nkiomntsonekie,,FALSCH,10+5+4,NA,NA
20,numerals-guer1243-1-twenty-1,numerals-guer1243-1,Chan2019,twenty,20,ntʲkiuː˩˧,ntjkiu,,FALSCH,20,NA,NA
21,numerals-guer1243-1-twentyone-1,numerals-guer1243-1,Chan2019,twentyone,21,ntʲkiuː˩˧ntʃoːʔ˩˧kwi˦,ntjkiuntsokwi,,FALSCH,20+1,NA,NA
22,numerals-guer1243-1-twentytwo-1,numerals-guer1243-1,Chan2019,twentytwo,22,ntʲkiuː˩˧ntʃoːʔ˩˧we˨,ntjkiuntsowe,,FALSCH,20+2,NA,NA
23,numerals-guer1243-1-twentythree-1,numerals-guer1243-1,Chan2019,twentythree,23,ntʲkiuː˩˧ntʃoːʔ˩˧ndʲeː˩˧,ntjkiuntsondje,,FALSCH,20+3,NA,NA
