Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-sanj1286-1-one-1,numerals-sanj1286-1,Chan2019,one,1,nɡo,ngo,,FALSCH,1,NA,NA
2,numerals-sanj1286-1-two-1,numerals-sanj1286-1,Chan2019,two,2,jó,jo,,FALSCH,2,NA,NA
3,numerals-sanj1286-1-three-1,numerals-sanj1286-1,Chan2019,three,3,ján,jan,,FALSCH,3,NA,NA
4,numerals-sanj1286-1-four-1,numerals-sanj1286-1,Chan2019,four,4,nijún,nijun,,FALSCH,4,NA,NA
5,numerals-sanj1286-1-five-1,numerals-sanj1286-1,Chan2019,five,5,ún,un,,FALSCH,5,NA,NA
6,numerals-sanj1286-1-six-1,numerals-sanj1286-1,Chan2019,six,6,jún,jun,,FALSCH,6,NA,NA
7,numerals-sanj1286-1-seven-1,numerals-sanj1286-1,Chan2019,seven,7,yito,yito,,FALSCH,7,NA,NA
8,numerals-sanj1286-1-eight-1,numerals-sanj1286-1,Chan2019,eight,8,jin,jin,,FALSCH,8,NA,NA
9,numerals-sanj1286-1-nine-1,numerals-sanj1286-1,Chan2019,nine,9,nijan,nijan,,FALSCH,9,NA,NA
10,numerals-sanj1286-1-ten-1,numerals-sanj1286-1,Chan2019,ten,10,tie,tie,,FALSCH,10,NA,NA
11,numerals-sanj1286-1-eleven-1,numerals-sanj1286-1,Chan2019,eleven,11,tie nɡo,tiengo,,FALSCH,10+1,NA,NA
12,numerals-sanj1286-1-twelve-1,numerals-sanj1286-1,Chan2019,twelve,12,tie jó,tiejo,,FALSCH,10+2,NA,NA
13,numerals-sanj1286-1-thirteen-1,numerals-sanj1286-1,Chan2019,thirteen,13,tie ján,tiejan,,FALSCH,10+3,NA,NA
14,numerals-sanj1286-1-fourteen-1,numerals-sanj1286-1,Chan2019,fourteen,14,tie nijún,tienijun,,FALSCH,10+4,NA,NA
15,numerals-sanj1286-1-fifteen-1,numerals-sanj1286-1,Chan2019,fifteen,15,tji'ún,tjiun,,FALSCH,10+5,NA,NA
16,numerals-sanj1286-1-sixteen-1,numerals-sanj1286-1,Chan2019,sixteen,16,tji'ún nɡo,tjiunngo,( 15 + 1 ),FALSCH,10+5+1,NA,NA
17,numerals-sanj1286-1-seventeen-1,numerals-sanj1286-1,Chan2019,seventeen,17,tji'ún jó,tjiunjo,( 15 + 2 ),FALSCH,10+5+2,NA,NA
18,numerals-sanj1286-1-eighteen-1,numerals-sanj1286-1,Chan2019,eighteen,18,tji'ún ján,tjiunjan,( 15 + 3 ),FALSCH,10+5+3,NA,NA
19,numerals-sanj1286-1-nineteen-1,numerals-sanj1286-1,Chan2019,nineteen,19,tji'ún nijún,tjiunnijun,( 15 + 4 ),FALSCH,10+5+4,NA,NA
20,numerals-sanj1286-1-twenty-1,numerals-sanj1286-1,Chan2019,twenty,20,kan,kan,,FALSCH,20,NA,NA
21,numerals-sanj1286-1-twentyone-1,numerals-sanj1286-1,Chan2019,twentyone,21,kan nɡo,kanngo,,FALSCH,20+1,NA,NA
22,numerals-sanj1286-1-twentytwo-1,numerals-sanj1286-1,Chan2019,twentytwo,22,kan jó,kanjo,,FALSCH,20+2,NA,NA
23,numerals-sanj1286-1-twentythree-1,numerals-sanj1286-1,Chan2019,twentythree,23,kan ján,kanjan,,FALSCH,20+3,NA,NA
24,numerals-sanj1286-1-twentyfour-1,numerals-sanj1286-1,Chan2019,twentyfour,24,kan nijún,kannijun,,FALSCH,20+4,NA,NA
25,numerals-sanj1286-1-twentyfive-1,numerals-sanj1286-1,Chan2019,twentyfive,25,kan ún,kanun,,FALSCH,20+5,NA,NA
26,numerals-sanj1286-1-twentysix-1,numerals-sanj1286-1,Chan2019,twentysix,26,kan jún,kanjun,,FALSCH,20+6,NA,NA
27,numerals-sanj1286-1-twentyseven-1,numerals-sanj1286-1,Chan2019,twentyseven,27,kan yito,kanyito,,FALSCH,20+7,NA,NA
28,numerals-sanj1286-1-twentyeight-1,numerals-sanj1286-1,Chan2019,twentyeight,28,kan jin,kanjin,,FALSCH,20+8,NA,NA
29,numerals-sanj1286-1-twentynine-1,numerals-sanj1286-1,Chan2019,twentynine,29,kan nijan,kannijan,,FALSCH,20+9,NA,NA
30,numerals-sanj1286-1-thirty-1,numerals-sanj1286-1,Chan2019,thirty,30,kan tie,kantie,( 20 + 10),FALSCH,20+10,NA,NA
31,numerals-sanj1286-1-forty-1,numerals-sanj1286-1,Chan2019,forty,40,yichán,yichan,,FALSCH,2′⋅20,NA,NA
32,numerals-sanj1286-1-fifty-1,numerals-sanj1286-1,Chan2019,fifty,50,ichítié,ichitie,,FALSCH,5′⋅10,NA,NA
33,numerals-sanj1286-1-sixty-1,numerals-sanj1286-1,Chan2019,sixty,60,ichítié ko̱jo tie,ichitiekojotie,( 50+ 10 ),FALSCH,50+10,NA,NA
34,numerals-sanj1286-1-seventy-1,numerals-sanj1286-1,Chan2019,seventy,70,ichítié ko̱jo kan,ichitiekojokan,( 50+ 20 ),FALSCH,50+20,NA,NA
35,numerals-sanj1286-1-eighty-1,numerals-sanj1286-1,Chan2019,eighty,80,ichítié ko̱jo kantié,ichitiekojokantie,( 50+ 20+ 10 ),FALSCH,50+20+10,NA,NA
36,numerals-sanj1286-1-ninety-1,numerals-sanj1286-1,Chan2019,ninety,90,ichítié ko̱jo yichán,ichitiekojoyichan,( 50+ 40 ),FALSCH,50+2′⋅20,NA,NA
37,numerals-sanj1286-1-hundred-1,numerals-sanj1286-1,Chan2019,hundred,100,úchán,uchan,,FALSCH,5⋅20,NA,NA
38,numerals-sanj1286-1-twohundred-1,numerals-sanj1286-1,Chan2019,twohundred,200,jó úchán,jouchan,,FALSCH,2⋅5⋅20,NA,NA
39,numerals-sanj1286-1-thousand-1,numerals-sanj1286-1,Chan2019,thousand,1000,nɡo mi̠,ngomi,( mi < Spanish),WAHR,1⋅1000,mi̠ is a loan from Spanish mil,NA
40,numerals-sanj1286-1-twothousand-1,numerals-sanj1286-1,Chan2019,twothousand,2000,jó mi̠,jomi,,FALSCH,2⋅1000,mi̠ is a loan from Spanish mil,NA
