Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-choc1279-1-one-1,numerals-choc1279-1,Chan2019,one,1,nɡu³,ngu3,,FALSCH,1,NA,NA
2,numerals-choc1279-1-two-1,numerals-choc1279-1,Chan2019,two,2,žu¹²,zu12,,FALSCH,2,NA,NA
3,numerals-choc1279-1-three-1,numerals-choc1279-1,Chan2019,three,3,nie¹²,nie12,,FALSCH,3,NA,NA
4,numerals-choc1279-1-four-1,numerals-choc1279-1,Chan2019,four,4,niu¹²,niu12,,FALSCH,4,NA,NA
5,numerals-choc1279-1-five-1,numerals-choc1279-1,Chan2019,five,5,žu̜²u̜¹,zu2u1,,FALSCH,5,NA,NA
6,numerals-choc1279-1-six-1,numerals-choc1279-1,Chan2019,six,6,šu̜²,su2,,FALSCH,6,NA,NA
7,numerals-choc1279-1-seven-1,numerals-choc1279-1,Chan2019,seven,7,ža³du³,za3du3,,FALSCH,7,NA,NA
8,numerals-choc1279-1-eight-1,numerals-choc1279-1,Chan2019,eight,8,ši̜¹,si1,,FALSCH,8,NA,NA
9,numerals-choc1279-1-nine-1,numerals-choc1279-1,Chan2019,nine,9,na³,na3,,FALSCH,9,NA,NA
10,numerals-choc1279-1-ten-1,numerals-choc1279-1,Chan2019,ten,10,te³,te3,,FALSCH,10,NA,NA
11,numerals-choc1279-1-eleven-1,numerals-choc1279-1,Chan2019,eleven,11,to̜¹,to1,,FALSCH,11,NA,NA
12,numerals-choc1279-1-twelve-1,numerals-choc1279-1,Chan2019,twelve,12,rxa³,rxa3,,FALSCH,12,NA,NA
13,numerals-choc1279-1-thirteen-1,numerals-choc1279-1,Chan2019,thirteen,13,še²e¹,se2e1,,FALSCH,13,NA,NA
14,numerals-choc1279-1-fourteen-1,numerals-choc1279-1,Chan2019,fourteen,14,rxo̜³,rxo3,,FALSCH,14,NA,NA
15,numerals-choc1279-1-fifteen-1,numerals-choc1279-1,Chan2019,fifteen,15,rxo̜¹ʔ,rxo1,,FALSCH,15,NA,NA
16,numerals-choc1279-1-sixteen-1,numerals-choc1279-1,Chan2019,sixteen,16,rxo̜¹ʔ ku²,rxo1ku2,( 15 + 1 ),FALSCH,15+1,NA,NA
17,numerals-choc1279-1-seventeen-1,numerals-choc1279-1,Chan2019,seventeen,17,rxo̜¹ʔ žu¹²,rxo1zu12,( 15 + 2 ),FALSCH,15+2,NA,NA
18,numerals-choc1279-1-eighteen-1,numerals-choc1279-1,Chan2019,eighteen,18,rxo̜¹ʔ nie¹²,rxo1nie12,( 15 + 3 ),FALSCH,15+3,NA,NA
19,numerals-choc1279-1-nineteen-1,numerals-choc1279-1,Chan2019,nineteen,19,rxo̜¹ʔ niu¹²,rxo1niu12,( 15 + 4 ),FALSCH,15+4,NA,NA
20,numerals-choc1279-1-twenty-1,numerals-choc1279-1,Chan2019,twenty,20,ka̜¹,ka1,,FALSCH,20,NA,NA
21,numerals-choc1279-1-twentyone-1,numerals-choc1279-1,Chan2019,twentyone,21,ka̜¹ nɡu³,ka1ngu3,,FALSCH,20+1,NA,NA
