Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-cent2144-1-one-1,numerals-cent2144-1,Chan2019,one,1,ɗàha,daha,,FALSCH,1,NA,NA
2,numerals-cent2144-1-two-1,numerals-cent2144-1,Chan2019,two,2,jěhe,jehe,,FALSCH,2,NA,NA
3,numerals-cent2144-1-three-1,numerals-cent2144-1,Chan2019,three,3,ɲ̥îʔi,nii,,FALSCH,3,NA,NA
4,numerals-cent2144-1-four-1,numerals-cent2144-1,Chan2019,four,4,ndzìho,ndziho,,FALSCH,4,NA,NA
5,numerals-cent2144-1-five-1,numerals-cent2144-1,Chan2019,five,5,tsítʃˀa,tsitsa,,FALSCH,5,NA,NA
6,numerals-cent2144-1-six-1,numerals-cent2144-1,Chan2019,six,6,ˀɲânto,nanto,,FALSCH,6,NA,NA
7,numerals-cent2144-1-seven-1,numerals-cent2144-1,Chan2019,seven,7,jěntʃo,jentso,,FALSCH,2+5′,5′ is 'stone' according to contributor,NA
8,numerals-cent2144-1-eight-1,numerals-cent2144-1,Chan2019,eight,8,ɲ̥întʃo,nintso,,FALSCH,3+5′,NA,NA
9,numerals-cent2144-1-nine-1,numerals-cent2144-1,Chan2019,nine,9,ndzìntʃo,ndzintso,,FALSCH,4+5′,NA,NA
10,numerals-cent2144-1-ten-1,numerals-cent2144-1,Chan2019,ten,10,ˀjɛ̂tʃˀa,jetsa,,FALSCH,10,Could also be 2⋅5 but difficult to judge without further information and higher numerals.,NA
11,numerals-cent2144-1-eleven-1,numerals-cent2144-1,Chan2019,eleven,11,onse,onse,( < Spanish ),WAHR,1+10′,all further numerals loans from Spanish,NA
12,numerals-cent2144-1-twelve-1,numerals-cent2144-1,Chan2019,twelve,12,dose,dose,,FALSCH,2+10′,NA,NA
13,numerals-cent2144-1-thirteen-1,numerals-cent2144-1,Chan2019,thirteen,13,tɾese,trese,,FALSCH,3+10′,NA,NA
14,numerals-cent2144-1-fourteen-1,numerals-cent2144-1,Chan2019,fourteen,14,katoɾse,katorse,,FALSCH,4+10′,NA,NA
15,numerals-cent2144-1-fifteen-1,numerals-cent2144-1,Chan2019,fifteen,15,kinse,kinse,,FALSCH,5+10′,NA,NA
16,numerals-cent2144-1-sixteen-1,numerals-cent2144-1,Chan2019,sixteen,16,diesisies,diesisies,,FALSCH,10+{and}6,NA,NA
17,numerals-cent2144-1-seventeen-1,numerals-cent2144-1,Chan2019,seventeen,17,diesisiete,diesisiete,,FALSCH,10+{and}7,NA,NA
18,numerals-cent2144-1-eighteen-1,numerals-cent2144-1,Chan2019,eighteen,18,diesiotʃo,diesiotso,,FALSCH,10+{and}8,NA,NA
19,numerals-cent2144-1-nineteen-1,numerals-cent2144-1,Chan2019,nineteen,19,diesinueβe,diesinuebe,,FALSCH,10+{and}9,NA,NA
20,numerals-cent2144-1-twenty-1,numerals-cent2144-1,Chan2019,twenty,20,beinte,beinte,,FALSCH,20,NA,NA
21,numerals-cent2144-1-twentyone-1,numerals-cent2144-1,Chan2019,twentyone,21,beinteuno,beinteuno,,FALSCH,20+{and}1,NA,NA
22,numerals-cent2144-1-twentytwo-1,numerals-cent2144-1,Chan2019,twentytwo,22,beintiðos,beintidos,,FALSCH,20+{and}2,NA,NA
23,numerals-cent2144-1-twentythree-1,numerals-cent2144-1,Chan2019,twentythree,23,beintitɾes,beintitres,,FALSCH,20+{and}3,NA,NA
24,numerals-cent2144-1-twentyfour-1,numerals-cent2144-1,Chan2019,twentyfour,24,beintikuatɾo,beintikuatro,,FALSCH,20+{and}4,NA,NA
25,numerals-cent2144-1-twentyfive-1,numerals-cent2144-1,Chan2019,twentyfive,25,beintisinko,beintisinko,,FALSCH,20+{and}5,NA,NA
26,numerals-cent2144-1-twentysix-1,numerals-cent2144-1,Chan2019,twentysix,26,beintiseis,beintiseis,,FALSCH,20+{and}6,NA,NA
27,numerals-cent2144-1-twentyseven-1,numerals-cent2144-1,Chan2019,twentyseven,27,beintisiete,beintisiete,,FALSCH,20+{and}7,NA,NA
