Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-quio1240-1-one-1,numerals-quio1240-1,Chan2019,one,1,ko̜h²³,koh23,,FALSCH,1,NA,NA
2,numerals-quio1240-1-one-2,numerals-quio1240-1,Chan2019,one,1,ha̜i̜h²³,haih23,,FALSCH,1,NA,NA
3,numerals-quio1240-1-two-1,numerals-quio1240-1,Chan2019,two,2,tu̜²,tu2,,FALSCH,2,NA,NA
4,numerals-quio1240-1-two-2,numerals-quio1240-1,Chan2019,two,2,ɡaí³²,gai32,,FALSCH,2,NA,NA
5,numerals-quio1240-1-three-1,numerals-quio1240-1,Chan2019,three,3,ʔnï³,ni3,,FALSCH,3,NA,NA
6,numerals-quio1240-1-three-2,numerals-quio1240-1,Chan2019,three,3,ɡaih²³,gaih23,,FALSCH,3,NA,NA
7,numerals-quio1240-1-four-1,numerals-quio1240-1,Chan2019,four,4,tʸǘ̜h²,tyuh2,,FALSCH,4,NA,NA
8,numerals-quio1240-1-four-2,numerals-quio1240-1,Chan2019,four,4,tʸu̜í̜h²,tyuih2,,FALSCH,4,NA,NA
9,numerals-quio1240-1-five-1,numerals-quio1240-1,Chan2019,five,5,ʔná̜²,na2,,FALSCH,5,NA,NA
10,numerals-quio1240-1-five-2,numerals-quio1240-1,Chan2019,five,5,ʔñe̜í̜h²,neih2,,FALSCH,5,NA,NA
11,numerals-quio1240-1-six-1,numerals-quio1240-1,Chan2019,six,6,hñǘ̜h²,hnuh2,,FALSCH,6,NA,NA
12,numerals-quio1240-1-six-2,numerals-quio1240-1,Chan2019,six,6,hñu̜íh²,hnuih2,,FALSCH,6,NA,NA
13,numerals-quio1240-1-seven-1,numerals-quio1240-1,Chan2019,seven,7,dʸiá³²,dyia32,,FALSCH,7,NA,NA
14,numerals-quio1240-1-seven-2,numerals-quio1240-1,Chan2019,seven,7,dʸaí³²,dyai32,,FALSCH,7,NA,NA
15,numerals-quio1240-1-eight-1,numerals-quio1240-1,Chan2019,eight,8,hñá²,hna2,,FALSCH,8,NA,NA
16,numerals-quio1240-1-eight-2,numerals-quio1240-1,Chan2019,eight,8,hñe̜i̜³²,hnei32,,FALSCH,8,NA,NA
17,numerals-quio1240-1-nine-1,numerals-quio1240-1,Chan2019,nine,9,ñǘ̜²,nu2,,FALSCH,9,NA,NA
18,numerals-quio1240-1-nine-2,numerals-quio1240-1,Chan2019,nine,9,ñu̜í̜³²,nui32,,FALSCH,9,NA,NA
19,numerals-quio1240-1-ten-1,numerals-quio1240-1,Chan2019,ten,10,dʸa²,dya2,,FALSCH,10,NA,NA
20,numerals-quio1240-1-ten-2,numerals-quio1240-1,Chan2019,ten,10,dʸeí³²,dyei32,,FALSCH,10,NA,NA
21,numerals-quio1240-1-eleven-1,numerals-quio1240-1,Chan2019,eleven,11,dʸa³ko̜h³,dya3koh3,,FALSCH,10+1,NA,NA
22,numerals-quio1240-1-eleven-2,numerals-quio1240-1,Chan2019,eleven,11,dʸa³ha̜i̜h³,dya3haih3,,FALSCH,10+1,NA,NA
23,numerals-quio1240-1-twelve-1,numerals-quio1240-1,Chan2019,twelve,12,dʸa³tu̜³,dya3tu3,,FALSCH,10+2,NA,NA
24,numerals-quio1240-1-twelve-2,numerals-quio1240-1,Chan2019,twelve,12,dʸa³tu̜i̜h³,dya3tuih3,,FALSCH,10+2,NA,NA
25,numerals-quio1240-1-thirteen-1,numerals-quio1240-1,Chan2019,thirteen,13,dʸa³ʔnï³,dya3ni3,,FALSCH,10+3,NA,NA
26,numerals-quio1240-1-thirteen-2,numerals-quio1240-1,Chan2019,thirteen,13,dʸa³ɡaih³,dya3gaih3,,FALSCH,10+3,NA,NA
27,numerals-quio1240-1-fourteen-1,numerals-quio1240-1,Chan2019,fourteen,14,dʸa³tʸǘ̜³,dya3tyu3,,FALSCH,10+4,NA,NA
28,numerals-quio1240-1-fourteen-2,numerals-quio1240-1,Chan2019,fourteen,14,dʸa³tʸu̜í̜h³,dya3tyuih3,,FALSCH,10+4,NA,NA
29,numerals-quio1240-1-fifteen-1,numerals-quio1240-1,Chan2019,fifteen,15,dʸa³ʔná̜²,dya3na2,,FALSCH,10+5,NA,NA
30,numerals-quio1240-1-fifteen-2,numerals-quio1240-1,Chan2019,fifteen,15,dʸa³ʔñe̜í̜h³,dya3neih3,??,FALSCH,10+5,NA,NA
31,numerals-quio1240-1-sixteen-1,numerals-quio1240-1,Chan2019,sixteen,16,dʸa³hñǘ̜h³,dya3hnuh3,,FALSCH,10+6,NA,NA
32,numerals-quio1240-1-sixteen-2,numerals-quio1240-1,Chan2019,sixteen,16,dʸa³hñu̜íh³,dya3hnuih3,,FALSCH,10+6,NA,NA
33,numerals-quio1240-1-seventeen-1,numerals-quio1240-1,Chan2019,seventeen,17,dʸa³dʸiá³,dya3dyia3,,FALSCH,10+7,NA,NA
34,numerals-quio1240-1-seventeen-2,numerals-quio1240-1,Chan2019,seventeen,17,dʸa³dʸaí³,dya3dyai3,,FALSCH,10+7,NA,NA
35,numerals-quio1240-1-eighteen-1,numerals-quio1240-1,Chan2019,eighteen,18,dʸa³hñá³,dya3hna3,,FALSCH,10+8,NA,NA
36,numerals-quio1240-1-eighteen-2,numerals-quio1240-1,Chan2019,eighteen,18,dʸa³hñe̜i̜³,dya3hnei3,,FALSCH,10+8,NA,NA
37,numerals-quio1240-1-nineteen-1,numerals-quio1240-1,Chan2019,nineteen,19,dʸa³ñǘ̜³,dya3nu3,,FALSCH,10+9,NA,NA
38,numerals-quio1240-1-nineteen-2,numerals-quio1240-1,Chan2019,nineteen,19,dʸa³ñu̜í̜³,dya3nui3,,FALSCH,10+9,NA,NA
39,numerals-quio1240-1-twenty-1,numerals-quio1240-1,Chan2019,twenty,20,dʸiáh²,dyiah2,,FALSCH,20,NA,NA
40,numerals-quio1240-1-twenty-2,numerals-quio1240-1,Chan2019,twenty,20,dʸaíh²,dyaih2,,FALSCH,20,NA,NA
41,numerals-quio1240-1-twentyone-1,numerals-quio1240-1,Chan2019,twentyone,21,dʸiáh²ko̜h³,dyiah2koh3,,FALSCH,20+1,NA,NA
42,numerals-quio1240-1-twentyone-2,numerals-quio1240-1,Chan2019,twentyone,21,dʸaíh²ha̜i̜h³,dyaih2haih3,,FALSCH,20+1,NA,NA
