Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-klam1254-1-one-1,numerals-klam1254-1,Chan2019,one,1,n̥aas,naas,,FALSCH,1,NA,NA
2,numerals-klam1254-1-two-1,numerals-klam1254-1,Chan2019,two,2,laap,laap,,FALSCH,2,NA,NA
3,numerals-klam1254-1-three-1,numerals-klam1254-1,Chan2019,three,3,ndan,ndan,,FALSCH,3,NA,NA
4,numerals-klam1254-1-four-1,numerals-klam1254-1,Chan2019,four,4,woniip,woniip,,FALSCH,4,NA,NA
5,numerals-klam1254-1-five-1,numerals-klam1254-1,Chan2019,five,5,tonʼip,tonip,,FALSCH,5,NA,NA
6,numerals-klam1254-1-six-1,numerals-klam1254-1,Chan2019,six,6,n̥ačksept,nacksept,( č = tʃ),FALSCH,1+5′,NA,NA
7,numerals-klam1254-1-seven-1,numerals-klam1254-1,Chan2019,seven,7,lapksept,lapksept,,FALSCH,2+5′,NA,NA
8,numerals-klam1254-1-eight-1,numerals-klam1254-1,Chan2019,eight,8,ndanksept,ndanksept,,FALSCH,3+5′,NA,NA
9,numerals-klam1254-1-nine-1,numerals-klam1254-1,Chan2019,nine,9,n̥ačqʼeeks,nacqeeks,,FALSCH,1−10′,NA,NA
10,numerals-klam1254-1-ten-1,numerals-klam1254-1,Chan2019,ten,10,tewnʼip,tewnip,,FALSCH,10,Possibly there's a connecion to the second part of 5 -nʼip?,NA
11,numerals-klam1254-1-eleven-1,numerals-klam1254-1,Chan2019,eleven,11,tewnʼipʼant n̥aas,tewnipantnaas,,FALSCH,10+1,NA,NA
12,numerals-klam1254-1-fourteen-1,numerals-klam1254-1,Chan2019,fourteen,14,tewnʼipʼant woniip,tewnipantwoniip,,FALSCH,10+4,NA,NA
13,numerals-klam1254-1-twenty-1,numerals-klam1254-1,Chan2019,twenty,20,lapʼi tewnʼip,lapitewnip,,FALSCH,2⋅10,NA,NA
14,numerals-klam1254-1-twentyone-1,numerals-klam1254-1,Chan2019,twentyone,21,lapʼi tewnʼipʼant n̥aas,lapitewnipantnaas,,FALSCH,2⋅10+1,NA,NA
15,numerals-klam1254-1-twentytwo-1,numerals-klam1254-1,Chan2019,twentytwo,22,lapʼi tewnʼipʼant laap,lapitewnipantlaap,,FALSCH,2⋅10+2,NA,NA
16,numerals-klam1254-1-thirtythree-1,numerals-klam1254-1,Chan2019,thirtythree,33,ndaani tewnʼipant ndan,ndaanitewnipantndan,,FALSCH,3⋅10+3,NA,NA
17,numerals-klam1254-1-fortyfour-1,numerals-klam1254-1,Chan2019,fortyfour,44,wonipnʼi tewnʼipant woniip,wonipnitewnipantwoniip,,FALSCH,4⋅10+4,NA,NA
18,numerals-klam1254-1-fiftyfive-1,numerals-klam1254-1,Chan2019,fiftyfive,55,tonʼipʼi tewnʼipant tonʼip,tonipitewnipanttonip,,FALSCH,5⋅10+5,NA,NA
19,numerals-klam1254-1-hundred-1,numerals-klam1254-1,Chan2019,hundred,100,tewnʼipnʼi tewnʼip,tewnipnitewnip,,FALSCH,10⋅10,NA,NA
