"","Symbol","Freq"
"1","10",73850
"2","",65842
"3","2",46017
"4","1",30031
"5","5",28055
"6","3",18199
"7","4",17751
"8","20",12113
"9","6",11542
"10","7",10709
"11","8",10448
"12","9",9929
"13","CL",9104
"14","and",7028
"15","100",6334
"16","1000",5199
"17","CLF",1990
"18","Lig",1800
"19","LP",1564
"20","hand",1180
"21","it",653
"22","foot",586
"23","ART",520
"24","on",465
"25","other",460
"26","PLU",396
"27","LIG",368
"28","side",338
"29","15",298
"30","all",298
"31","fruit",297
"32","AND",280
"33","its",278
"34","CM",206
"35","with",199
"36","40",190
"37","50",189
"38","12",186
"39","finger",179
"40","go",174
"41","PR",172
"42","ATTR",169
"43","0",166
"44","30",156
"45","from",150
"46","half",146
"47","NHUM",145
"48","of",144
"49","take",140
"50","finished",135
"51","our",135
"52","person",131
"53","100000",126
"54","head",126
"55","OBL",124
"56","PL",119
"57","11",104
"58","thing",96
"59","again",95
"60","the",92
"61","top",91
"62","1000000",89
"63","ADJ",88
"64","whole",88
"65","10000000",87
"66","another",87
"67","one",84
"68","to",80
"69","complete",79
"70","EXIST",77
"71","hit",77
"72","ORD",76
"73","1000000000",75
"74","both",73
"75","this",73
"76","more",72
"77","above",69
"78","PFV",69
"79","sleep",69
"80","die",67
"81","atop",65
"82","finish",65
"83","together",62
"84","DEM",61
"85","plus",61
"86","only",60
"87","over",60
"88","be",58
"89","also",56
"90","come",56
"91","HUM",56
"92","aboard",55
"93","digit",55
"94","leg",54
"95","they",54
"96","400",53
"97","being",48
"98","up",48
"99","hands",47
"100","at",44
"101","cross",44
"102","gone",43
"103","10000",42
"104","pass",41
"105","down",40
"106","60",38
"107","quantity",38
"108","IPFV",37
"109","that",37
"110","toe",37
"111","left",36
"112","my",36
"113","NMLZ",36
"114","STAT",35
"115","end",34
"116","14",32
"117","24",32
"118","80",32
"119","LIG2",32
"120","SUBJ",32
"121","200",31
"122","ERG",31
"123","SG",31
"124","suffix",31
"125","ta",31
"126","there",31
"127","across",30
"128","including",30
"129","work",30
"130","CAUS",29
"131","sides",29
"132","get",28
"133","is",28
"134","NOM",27
"135","INAN",26
"136","dead",24
"137","16",23
"138","GEN",23
"139","hang",23
"140","arm",22
"141","crossed",22
"142","body",21
"143","bundled",21
"144","he",21
"145","RECP",21
"146","remaining",21
"147","already",20
"148","fill",20
"149","in",20
"150","like",20
"151","RED",20
"152","completed",19
"153","finishing",19
"154","heads",19
"155","LOC",19
"156","put",19
"157","remain",19
"158","your",19
"159","36",18
"160","climb",18
"161","flick",18
"162","making",18
"163","PREP",18
"164","return",18
"165","sitting",18
"166","unit",18
"167","VBLZ",18
"168","black",17
"169","circle",17
"170","eye",17
"171","finally",17
"172","hold",17
"173","lacking",17
"174","real",17
"175","big",16
"176","DU",16
"177","EMPH",16
"178","lose",16
"179","remains",16
"180","step",16
"181","25",15
"182","man",15
"183","beyond",14
"184","C",14
"185","INDEF",14
"186","jump",14
"187","repeated",14
"188","towards",14
"189","13",13
"190","arriving",13
"191","crossing",13
"192","HAB",13
"193","holding",13
"194","out",13
"195","REL",13
"196","19",12
"197","addition",12
"198","cut",12
"199","eating",12
"200","ID",12
"201","meet",12
"202","middle",12
"203","them",12
"204","away",11
"205","feet",11
"206","missing",11
"207","pair",11
"208","QUANT",11
"209","s",11
"210","some",11
"211","those",11
"212","ABL",10
"213","an",10
"214","full",10
"215","TIME",10
"216","32",9
"217","3SG",9
"218","AGRE",9
"219","along",9
"220","by",9
"221","caught",9
"222","closed",9
"223","counted",9
"224","indigenous",9
"225","measure",9
"226","north",9
"227","rush",9
"228","sits",9
"229","stands",9
"230","sun",9
"231","when",9
"232","28",8
"233","accompanying",8
"234","AN",8
"235","class",8
"236","goes",8
"237","hook",8
"238","INANM",8
"239","needed",8
"240","pairs",8
"241","17",7
"242","18",7
"243","3P",7
"244","a",7
"245","after",7
"246","almost",7
"247","H",7
"248","number",7
