"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"1","numerals-gaam1241-1-one-1","numerals-gaam1241-1","Chan2019","one",1,"t̪āmán","taman","","false","1",NA,NA,"NK"
"2","numerals-gaam1241-1-two-1","numerals-gaam1241-1","Chan2019","two",2,"d̪áāɡɡ","daagg","","false","2",NA,NA,"NK"
"3","numerals-gaam1241-1-three-1","numerals-gaam1241-1","Chan2019","three",3,"ɔ́ðɔ̄","odo","","false","3",NA,NA,"NK"
"4","numerals-gaam1241-1-four-1","numerals-gaam1241-1","Chan2019","four",4,"yə̄ə̄sə́","yaasa","","false","4",NA,NA,"NK"
"5","numerals-gaam1241-1-five-1","numerals-gaam1241-1","Chan2019","five",5,"áás-ááma᷇n","aasaaman","(lit: 'hand')","false","5{hand}",NA,NA,"NK"
"6","numerals-gaam1241-1-six-1","numerals-gaam1241-1","Chan2019","six",6,"t̪ə́ld̪ìɡɡ","taldigg","","false","1′+5′{eyes}",NA,NA,"NK"
"7","numerals-gaam1241-1-seven-1","numerals-gaam1241-1","Chan2019","seven",7,"íd̪iɡ-dáāɡɡ","idigdaagg","(lit: 'eyes-two')","false","5′{eyes}+2","The forms for 7 and 8 were erroneously transposed in Chan (2019); cf. Stirtz (2011:152).",NA,"NK"
"8","numerals-gaam1241-1-eight-1","numerals-gaam1241-1","Chan2019","eight",8,"íd̪iɡɡ-ɔ́ðɔ̄","idiggodo","(lit: 'eyes-three')","false","5′{eyes}+3","The forms for 7 and 8 were erroneously transposed in Chan (2019); cf. Stirtz (2011:152).",NA,"NK"
"9","numerals-gaam1241-1-nine-1","numerals-gaam1241-1","Chan2019","nine",9,"íd̪iɡ-yə̄ə̄sə́","idigyaasa","(lit: 'eyes-four')","false","5′{eyes}+4",NA,NA,"NK"
"10","numerals-gaam1241-1-ten-1","numerals-gaam1241-1","Chan2019","ten",10,"ə́sēɡ-dí","asegdi","(lit: 'hands-also')","false","5{hands}⋅2′{also}",NA,NA,"NK"
"11","numerals-gaam1241-1-eleven-1","numerals-gaam1241-1","Chan2019","eleven",11,"ə́sēɡdí ì ná t̪āmán","asegdiinataman","","false","(5{hands}⋅2′{also})+{+}1",NA,NA,"NK"
"12","numerals-gaam1241-1-twelve-1","numerals-gaam1241-1","Chan2019","twelve",12,"ə́sēɡdí ì ná d̪áāɡɡ","asegdiinadaagg","","false","(5{hands}⋅2′{also})+{+}2",NA,NA,"NK"
"13","numerals-gaam1241-1-thirteen-1","numerals-gaam1241-1","Chan2019","thirteen",13,"ə́sēɡdí ì ná ɔ́ðɔ̄","asegdiinaodo","","false","(5{hands}⋅2′{also})+{+}3",NA,NA,"NK"
"14","numerals-gaam1241-1-fourteen-1","numerals-gaam1241-1","Chan2019","fourteen",14,"ə́sēɡdí ì ná yə̄ə̄sə́","asegdiinayaasa","","false","(5{hands}⋅2′{also})+{+}4",NA,NA,"NK"
"15","numerals-gaam1241-1-fifteen-1","numerals-gaam1241-1","Chan2019","fifteen",15,"ə́sēɡdí ì ná áásááma᷇n","asegdiinaaasaaman","","false","(5{hands}⋅2′{also})+{+}5{hand}",NA,NA,"NK"
"16","numerals-gaam1241-1-sixteen-1","numerals-gaam1241-1","Chan2019","sixteen",16,"ə́sēɡdí ì ná t̪ə́ld̪ìɡɡ","asegdiinataldigg","","false","(5{hands}⋅2′{also})+{+}1′+5′{eyes}",NA,NA,"NK"
"17","numerals-gaam1241-1-seventeen-1","numerals-gaam1241-1","Chan2019","seventeen",17,"ə́sēɡdí ì ná íd̪iɡ-dáāɡɡ","asegdiinaidigdaagg","","false","(5{hands}⋅2′{also})+{+}5′{eyes}+2","The forms for 7 and 8 were erroneously transposed in Chan (2019); cf. Stirtz (2011:152).",NA,"NK"
