"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"1","numerals-awji1241-1-three-1","numerals-awji1241-1","Chan2019","three","3","təlàta","talata","( < Arabic )","true","?",NA,"3","NK"
"2","numerals-awji1241-1-four-1","numerals-awji1241-1","Chan2019","four","4","àrbəʕa","arbaa","( < Arabic )","true","?",NA,"4","NK"
"3","numerals-awji1241-1-seven-1","numerals-awji1241-1","Chan2019","seven","7","sə̀bəʕa","sabaa","( < Arabic )","true","?",NA,"7","NK"
"4","numerals-awji1241-1-nine-1","numerals-awji1241-1","Chan2019","nine","9","tə̀səʕa","tasaa","( < Arabic )","true","?",NA,"9","NK"
"5","numerals-awji1241-1-ninety-1","numerals-awji1241-1","Chan2019","ninety","90","təsʕìn","tasin","","false","?",NA,"90","NK"
"6","numerals-awji1241-1-hundred-1","numerals-awji1241-1","Chan2019","hundred","100","mə̀yət","mayat","","false","?",NA,"100","NK"
"7","numerals-awji1241-1-thousand-1","numerals-awji1241-1","Chan2019","thousand","1000","əlf","alf","","false","?",NA,"1000","NK"
"8","numerals-daha1245-1-nine-1","numerals-daha1245-1","Chan2019","nine","9","kenda","kenda","","false","?",NA,"9","NK"
"9","numerals-nafa1258-1-twohundred-1","numerals-nafa1258-1","Chan2019","twohundred","200","lafɛɛ","lafee","","FALSE","?",NA,NA,"EAT"
"10","numerals-nafa1258-1-fourhundred-1","numerals-nafa1258-1","Chan2019","fourhundred","400","lafɛɛ","lafee","","FALSE","?",NA,NA,"EAT"
"11","asut1235-1-60-1","asut1235-1",NA,"60",NA,"makumi mtandatu","makumi mtandatu",NA,NA,"?",NA,NA,"EAT"
"12","numerals-igas1238-1-fourhundred-1","numerals-igas1238-1","Chan2019","fourhundred","400","íjɔɡbɔrɔ̀","ijogboro","20 in 20 places","FALSE","?",NA,"same form as 400","EAT"
"13","numerals-nyan1302-1-thousand-1","numerals-nyan1302-1","Chan2019","thousand","1000","ohutu ohuto","ohutuohuto",NA,"FALSE","?",NA,"100’·100’? - likely an error from source","EAT"
"14","numerals-nyan1302-1-twothousand-1","numerals-nyan1302-1","Chan2019","twothousand","2000","ohutu ohutotabʰa","ohutuohutotabha",NA,"FALSE","?",NA,"100’·100’·2?","EAT"
