enock,Africa,Glottocode,Language-level Glottocode,Glottolog 5.3 Classification
numerals-aari1239-1.csv,Africa001-SouthOmotic-numerals-aari1239-1.csv,aari1239,aari1239,"South Omotic, AHK, Aari-Gayil, Aari"
gayi1237.csv,Africa002-SouthOmotic-numerals-gayi1237-1.csv,gayi1237,gayi1237,"South Omotic, AHK, Aari-Gayil, Gayil"
numerals-hame1242-1.csv,Africa003-SouthOmotic-numerals-hame1242-1.csv,hame1242,hame1242,"South Omotic, AHK, Hamer-Karo, Hamer-Banna"
numerals-karo1297-1.csv,Africa004-SouthOmotic-numerals-karo1297-1.csv,karo1297,karo1297,"South Omotic, AHK, Hamer-Karo, Karo (Ethiopia)"
gamo1243.csv,Africa005-TaNeOmotic-numerals-gamo1243-1.csv,gamo1243,gamo1243,"Ta-Ne-Omotic, Ometo, North-West Ometo, Central Ometo, Dawro-Gofa-Gamo, Gamo"
numerals-shab1252-1.csv,Africa006-isolate-Shabo-numerals-shab1252-1.csv,shab1252,shab1252,[isolate]: Shabo
ekaj1238.csv,Africa007-AtlanticCongo-numerals-ekaj1238-1.csv,ekaj1238,ekaj1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Bakor, Northern Bakor, Nnam-Ekajuk, Ekajuk"
nkem1242.csv,Africa008-AtlanticCongo-numerals-nkem1242-1.csv,nkem1242,nkem1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Bakor, Northern Bakor, Abanyom-Nkem-Nkum, Nkem-Nkum"
nden1250.csv,Africa009-AtlanticCongo-numerals-nden1250-1.csv,nden1250,nden1250,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Bakor, Nde-Efutop, Nde-Nsele-Nta"
ejag1239.csv,Africa010-AtlanticCongo-numerals-ejag1239-1.csv,ejag1239,ejag1239,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Ejagham"
numerals-mbee1249-1.csv,Africa011-AtlanticCongo-numerals-mbee1249-1.csv,mbee1249,mbee1249,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Mbe"
numerals-akoo1248-1.csv,Africa012-AtlanticCongo-numerals-akoo1248-1.csv,akoo1248,akoo1248,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Lundu-Balong (A.10), Greater Manenguba, Bafaw-Balong-Manenguba, Manenguba, Central Manenguba, Akoose"
numerals-baka1273-1.csv,Africa013-AtlanticCongo-numerals-baka1273-1.csv,baka1273,baka1273,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Lundu-Balong (A.10), Greater Manenguba, Bafaw-Balong-Manenguba, Manenguba, Central Manenguba, Bakaka"
numerals-orok1266-1.csv,Africa014-AtlanticCongo-numerals-orok1266-1.csv,orok1266,orok1266,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Lundu-Balong (A.10), Greater Manenguba, Bafaw-Balong-Manenguba, Bafawic-Bakweric, Bafawic, Oroko"
dual1243.csv,Africa015-AtlanticCongo-numerals-dual1243-1.csv,dual1243,dual1243,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Sawabantu, Dualaic, Duala-Malimba, Duala"
numerals-bata1285-1.csv,Africa016-AtlanticCongo-numerals-bata1285-1.csv,bata1285,bata1285,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Sawabantu, Bengaic, Batanga"
numerals-beng1282-1.csv,Africa017-AtlanticCongo-numerals-beng1282-1.csv,beng1282,beng1282,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Sawabantu, Bengaic, Benga"
numerals-bekw1242-1.csv,Africa018-AtlanticCongo-numerals-bekw1242-1.csv,bekw1242,bekw1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Mpoic, Bekwil"
mpon1254.csv,Africa019-AtlanticCongo-numerals-mpon1254-1.csv,mpon1254,mpon1254,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Mpoic, Mpongmpong"
numerals-mpie1238-1.csv,Africa020-AtlanticCongo-numerals-mpie1238-1.csv,mpie1238,mpie1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Mpoic, Mpiemo-Ukhwejo, Mpiemo"
numerals-ukhw1241-1.csv,Africa021-AtlanticCongo-numerals-ukhw1241-1.csv,ukhw1241,ukhw1241,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Mpoic, Mpiemo-Ukhwejo, Ukhwejo"
