"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"1","numerals-gawa1247-1-twohundred-3","numerals-gawa1247-1","Chan2019","twohundred","200","'d̪ɛsɪɕiˑ","desici","","false","[2′′]⋅10′",NA,NA,"KM","[2′′]⋅10′","2⋅10","abs(2*10)",1,20,FALSE
"2","numerals-lamb1269-1-thirty-1","numerals-lamb1269-1","Chan2019","thirty","30","tis","tis","","false","2⋅10′′","",NA,"KM","2⋅10′′","2⋅10","abs(2*10)",1,20,FALSE
"3","numerals-lamb1269-1-forty-1","numerals-lamb1269-1","Chan2019","forty","40","t͡ʃjaɭis","tsjalis","","false","3⋅10′′","",NA,"KM","3⋅10′′","3⋅10","abs(3*10)",1,30,FALSE
"4","numerals-acha1249-1-twentyeight-1","numerals-acha1249-1","Chan2019","twentyeight","28","sɿ55 tʂʰɿ55 tɑ31 pjɑ31 mɛ31luŋ35","sr55tshr55ta31pja31me31lung35","","false","(2⋅10)+(2⋅3)","","","KM","(2⋅10)+(2⋅3)","(2⋅10)+(2⋅3)","abs(abs(2*10))+abs(abs(2*3))",1,26,FALSE
"5","numerals-darm1243-1-ninetyone-1","numerals-darm1243-1","Chan2019","ninetyone","91","ɟjɛca cjɛt̪ɛ","jjecacjete","","false","(8⋅10′)+(10+9)","",NA,"KM","(8⋅10′)+(10+9)","(8⋅10)+(10+9)","abs(abs(8*10))+abs(10+9)",1,99,FALSE
"6","numerals-darm1243-1-ninetynine-1","numerals-darm1243-1","Chan2019","ninetynine","99","ɟjɛca ciɾɡu","jjecacirgu","","false","(8⋅10′)+(10+1)","",NA,"KM","(8⋅10′)+(10+1)","(8⋅10)+(10+1)","abs(abs(8*10))+abs(10+1)",1,91,FALSE
"7","numerals-wola1242-1-thousand-1","numerals-wola1242-1","Chan2019","thousand","1000","ʃáʔa","saa",NA,"false","100","",NA,"KM","100","100","100",1,100,FALSE
"8","numerals-wola1242-1-thousand-2","numerals-wola1242-1","Chan2019","thousand","1000","ʔissí ʃáʔa","issisaa",NA,"false","1⋅100","",NA,"KM","1⋅100","1⋅100","abs(1*100)",1,100,FALSE
"9","numerals-wola1242-1-twothousand-1","numerals-wola1242-1","Chan2019","twothousand","2000","naaʔʔú ʃáʔa","naausaa",NA,"false","2⋅100","",NA,"KM","2⋅100","2⋅100","abs(2*100)",1,200,FALSE
"10","numerals-bakw1243-1-twentyone-1","numerals-bakw1243-1","Chan2019","twentyone","21","ɡrʊ̀ bɛ̀ de᷅ː","grubede","","FALSE","10+{and}1","",NA,"EAT","10+1","10+1","10+1",1,11,FALSE
"11","numerals-bakw1243-1-twentytwo-1","numerals-bakw1243-1","Chan2019","twentytwo","22","ɡrʊ̀ bɛ̀ sɔ᷅ː","grubeso","","FALSE","10+{and}2","",NA,"EAT","10+2","10+2","10+2",1,12,FALSE
"12","numerals-bakw1243-1-twentythree-1","numerals-bakw1243-1","Chan2019","twentythree","23","ɡrʊ̀ bɛ̀ tʌ̄ː","grubet","","FALSE","10+{and}3","",NA,"EAT","10+3","10+3","10+3",1,13,FALSE
"13","numerals-bakw1243-1-twentyfour-1","numerals-bakw1243-1","Chan2019","twentyfour","24","ɡrʊ̀ bɛ̀ mɾɔ̄ː","grubemro","","FALSE","10+{and}4","",NA,"EAT","10+4","10+4","10+4",1,14,FALSE
"14","numerals-bakw1243-1-twentyfive-1","numerals-bakw1243-1","Chan2019","twentyfive","25","ɡrʊ̀ bɛ̀ ɡ͡bə̀ə̄","grubegbaa","","FALSE","10+{and}5","",NA,"EAT","10+5","10+5","10+5",1,15,FALSE
"15","numerals-bakw1243-1-twentysix-1","numerals-bakw1243-1","Chan2019","twentysix","26","ɡrʊ̀ bɛ̀ ŋǔːɗō","grubengudo","","FALSE","10+{and}5′+1","",NA,"EAT","10+5′+1","10+5+1","10+5+1",1,16,FALSE
"16","numerals-bakw1243-1-twentyseven-1","numerals-bakw1243-1","Chan2019","twentyseven","27","ɡrʊ̀ bɛ̀ ŋǔːsɔ̄","grubenguso","","FALSE","10+{and}5′+2","",NA,"EAT","10+5′+2","10+5+2","10+5+2",1,17,FALSE
"17","numerals-bakw1243-1-twentyeight-1","numerals-bakw1243-1","Chan2019","twentyeight","28","ɡrʊ̀ bɛ̀ ŋǔːtʌ̄","grubengut","","FALSE","10+{and}5′+3","",NA,"EAT","10+5′+3","10+5+3","10+5+3",1,18,FALSE
"18","numerals-bakw1243-1-twentynine-1","numerals-bakw1243-1","Chan2019","twentynine","29","ɡrʊ̀ bɛ̀ ŋǔːmɾɔ̄","grubengumro","","FALSE","10+{and}5′+4","",NA,"EAT","10+5′+4","10+5+4","10+5+4",1,19,FALSE
