"","Glottocode","ID","is.glossed"
"141","ampa1239","barlowpacific-ampa1239-1",TRUE
"142","amri1238","numerals-amri1238-1",TRUE
"143","amto1250","barlowpacific-amto1250-1",TRUE
"144","amun1246","numerals-amun1246-1",TRUE
"145","anaa1238","numerals-anaa1238-1",TRUE
"146","anak1240","numerals-anak1240-1",TRUE
"147","anal1239","numerals-anal1239-1",TRUE
"148","anam1247","barlowpacific-anam1247-1",TRUE
"149","anam1248","barlowpacific-anam1248-1",TRUE
"150","anam1249","numerals-anam1249-1",TRUE
"151","anda1283","barlowpacific-anda1283-1",TRUE
"152","anda1284","barlowpacific-anda1284-1",TRUE
"153","ande1247","numerals-ande1247-1",TRUE
"154","andi1255","numerals-andi1255-1",TRUE
"155","andi1257","numerals-andi1257-1",TRUE
"156","ando1256","numerals-ando1256-1",TRUE
"157","andr1248","numerals-andr1248-1",TRUE
"158","anei1239","numerals-anei1239-1",TRUE
"159","anem1248","barlowpacific-anem1248-1",TRUE
"160","anem1249","numerals-anem1249-1",TRUE
"161","anga1288","sand-Angami",TRUE
"162","anga1290","numerals-anga1290-1",TRUE
"163","anga1292","barlowpacific-anga1292-1",TRUE
"164","anga1293","barlowpacific-anga1293-1",TRUE
"165","anga1294","barlowpacific-anga1294-1",TRUE
"166","anga1316","numerals-anga1316-1",TRUE
"167","angg1239","barlowpacific-angg1239-1",TRUE
"168","angi1238","numerals-angi1238-1",TRUE
"169","ango1254","barlowpacific-ango1254-3",TRUE
"170","ango1255","barlowpacific-ango1255-1",TRUE
"171","anii1245","numerals-anii1245-1",TRUE
"172","anim1239","numerals-anim1239-1",TRUE
"173","anin1240","numerals-anin1240-2",TRUE
"174","anja1238","barlowpacific-anja1238-1",TRUE
"175","anka1246","numerals-anka1246-1",TRUE
"176","anma1239","numerals-anma1239-1",TRUE
"177","anor1241","barlowpacific-anor1241-1",TRUE
"178","ansu1237","numerals-ansu1237-1",TRUE
"179","anta1255","barlowpacific-anta1255-2",TRUE
"180","anua1242","numerals-anua1242-1",TRUE
"181","anuf1239","numerals-anuf1239-1",TRUE
"182","anuk1239","numerals-anuk1239-1",TRUE
"183","anus1237","barlowpacific-anus1237-1",TRUE
"184","anut1237","numerals-anut1237-1",TRUE
"185","anuu1243","numerals-anuu1243-1",TRUE
"186","aohe1237","barlowpacific-aohe1237-2",TRUE
"187","aona1235","sand-Ao_2",TRUE
"188","aona1235","sand-Ao_1",TRUE
"189","aoua1234","numerals-aoua1234-1",TRUE
"190","apal1255","numerals-apal1255-1",TRUE
"191","apal1256","numerals-apal1256-1",TRUE
"192","apal1257","numerals-apal1257-1",TRUE
"193","apat1240","sand-Apatani",TRUE
"194","apia1248","numerals-apia1248-1",TRUE
"195","apin1244","numerals-apin1244-1",TRUE
"196","apma1240","numerals-apma1240-1",TRUE
"197","apma1241","barlowpacific-apma1241-1",TRUE
"198","apur1254","numerals-apur1254-2",TRUE
"199","aput1237","numerals-aput1237-1",TRUE
"200","arab1267","bowernnumerals-ArabPea",TRUE
"201","arab1268","numerals-arab1268-1",TRUE
"202","arag1245","numerals-arag1245-1",TRUE
"203","arak1252","numerals-arak1252-1",TRUE
"204","aral1243","numerals-aral1243-1",TRUE
"205","aram1253","numerals-aram1253-1",TRUE
"206","aran1237","barlowpacific-aran1237-1",TRUE
"207","aran1261","numerals-aran1261-1",TRUE
"208","arao1248","numerals-arao1248-1",TRUE
"209","arap1274","numerals-arap1274-1",TRUE
"210","arar1265","numerals-arar1265-1",TRUE
"211","araw1272","barlowpacific-araw1272-1",TRUE
"212","araw1273","numerals-araw1273-1",TRUE
"213","araw1276","numerals-araw1276-1",TRUE
"214","arbe1236","numerals-arbe1236-1",TRUE
"215","arch1244","numerals-arch1244-1",TRUE
"216","area1240","numerals-area1240-1",TRUE
"217","aree1239","barlowpacific-aree1239-1",TRUE
"218","arem1240","numerals-arem1240-1",TRUE
"219","aret1240","numerals-aret1240-1",TRUE
"220","argo1244","numerals-argo1244-1",TRUE
"221","argu1237","numerals-argu1237-1",TRUE
"222","arhu1242","numerals-arhu1242-1",TRUE
"223","arib1240","numerals-arib1240-1",TRUE
"224","arib1241","numerals-arib1241-1",TRUE
"225","arif1239","numerals-arif1239-1",TRUE
"226","arii1243","barlowpacific-arii1243-1",TRUE
"227","arik1262","numerals-arik1262-1",TRUE
"228","arik1265","numerals-arik1265-1",TRUE
"229","arom1237","numerals-arom1237-1",TRUE
"230","arop1242","numerals-arop1242-1",TRUE
"231","arop1243","numerals-arop1243-1",TRUE
"232","aros1241","numerals-aros1241-1",TRUE
"233","arta1239","numerals-arta1239-1",TRUE
"234","arua1260","numerals-arua1260-1",TRUE
"235","arua1261","numerals-arua1261-1",TRUE
"236","arue1240","barlowpacific-arue1240-1",TRUE
"237","aruo1240","barlowpacific-aruo1240-1",TRUE
"238","asar1240","barlowpacific-asar1240-1",TRUE
"239","asha1243","numerals-asha1243-1",TRUE
"240","ashe1272","numerals-ashe1272-1",TRUE
"241","ashk1246","numerals-ashk1246-1",TRUE
"242","asho1236","numerals-asho1236-1",TRUE
"243","asil1242","barlowpacific-asil1242-1",TRUE
"244","asko1238","barlowpacific-asko1238-2",TRUE
"245","assa1263","sand-Assamese",TRUE
"246","assi1247","numerals-assi1247-1",TRUE
"247","asss1237","numerals-asss1237-2",TRUE
"248","assy1241","numerals-assy1241-1",TRUE
"249","astu1245","numerals-astu1245-1",TRUE
"250","asue1235","barlowpacific-asue1235-1",TRUE
"251","asum1237","numerals-asum1237-1",TRUE
