"","Glottocode","ID","is.glossed"
"557","bisl1239","barlowpacific-bisl1239-1",TRUE
"558","biso1243","barlowpacific-biso1243-1",TRUE
"559","biss1248","numerals-biss1248-1",TRUE
"560","bisu1244","numerals-bisu1244-1",TRUE
"561","bitt1240","numerals-bitt1240-1",TRUE
"562","bitu1242","numerals-bitu1242-1",TRUE
"563","biwa1243","barlowpacific-biwa1243-3",TRUE
"564","biyo1243","numerals-biyo1243-1",TRUE
"565","biyo1244","barlowpacific-biyo1244-1",TRUE
"566","blab1237","numerals-blab1237-1",TRUE
"567","blaf1238","numerals-blaf1238-1",TRUE
"568","blag1240","numerals-blag1240-1",TRUE
"569","blan1242","numerals-blan1242-1",TRUE
"570","boan1242","numerals-boan1242-1",TRUE
"571","boan1243","numerals-boan1243-1",TRUE
"572","bobo1254","numerals-bobo1254-1",TRUE
"573","bobo1255","numerals-bobo1255-1",TRUE
"574","bode1246","numerals-bode1246-1",TRUE
"575","bodo1266","numerals-bodo1266-1",TRUE
"576","bodo1267","numerals-bodo1267-1",TRUE
"577","bodo1269","sand-Bodo",TRUE
"578","boga1247","barlowpacific-boga1247-1",TRUE
"579","boht1238","numerals-boht1238-1",TRUE
"580","boik1241","numerals-boik1241-1",TRUE
"581","boko1261","numerals-boko1261-1",TRUE
"582","boko1267","numerals-boko1267-1",TRUE
"583","boky1238","numerals-boky1238-1",TRUE
"584","bola1250","numerals-bola1250-1",TRUE
"585","bola1252","barlowpacific-bola1252-1",TRUE
"586","boli1256","numerals-boli1256-1",TRUE
"587","bolo1260","numerals-bolo1260-1",TRUE
"588","bolo1263","numerals-bolo1263-1",TRUE
"589","bolo1266","numerals-bolo1266-1",TRUE
"590","bolo1268","barlowpacific-bolo1268-2",TRUE
"591","boly1239","numerals-boly1239-1",TRUE
"592","bomw1238","numerals-bomw1238-1",TRUE
"593","bona1250","numerals-bona1250-1",TRUE
"594","bond1245","numerals-bond1245-1",TRUE
"595","bond1246","numerals-bond1246-2",TRUE
"596","bond1247","numerals-bond1247-1",TRUE
"597","bond1248","numerals-bond1248-1",TRUE
"598","bone1254","barlowpacific-bone1254-1",TRUE
"599","bone1255","barlowpacific-bone1255-1",TRUE
"600","bong1284","numerals-bong1284-1",TRUE
"601","bong1284","numerals-bong1284-2",TRUE
"602","bong1285","numerals-bong1285-1",TRUE
"603","bong1287","numerals-bong1287-1",TRUE
"604","bong1289","numerals-bong1289-1",TRUE
"605","bong1291","barlowpacific-bong1291-1",TRUE
"606","bonk1244","barlowpacific-bonk1244-1",TRUE
"607","book1241","numerals-book1241-1",TRUE
"608","bopa1235","barlowpacific-bopa1235-1",TRUE
"609","bora1263","numerals-bora1263-1",TRUE
"610","bore1247","barlowpacific-bore1247-1",TRUE
"611","bori1243","sand-Adi",TRUE
"612","boro1279","numerals-boro1279-1",TRUE
"613","boro1282","numerals-boro1282-1",TRUE
