"","NumberValue","Gloss.math","n","prop","number.strategies"
"41","100","5⋅10⋅2",1,0.000256739409499358,27
"42","100","5⋅20",156,0.0400513478818999,27
"43","100","5⋅2⋅10",16,0.00410783055198973,27
"44","100","5⋅2⋅3+5⋅2⋅3+5⋅2⋅3+5⋅2",1,0.000256739409499358,27
"45","100","5⋅2⋅5⋅2",1,0.000256739409499358,27
"46","100","5⋅5⋅4",1,0.000256739409499358,27
"47","100","80+10⋅2",2,0.000513478818998716,27
"48","100","80+20",2,0.000513478818998716,27
"49","1000","(2⋅20+10)⋅20",1,0.000296296296296296,34
"50","1000","1000",3064,0.907851851851852,34
"51","1000","100⋅10",97,0.0287407407407407,34
"52","1000","100⋅2⋅5",3,0.000888888888888889,34
"53","1000","100⋅5⋅2",3,0.000888888888888889,34
"54","1000","10⋅100",65,0.0192592592592593,34
"55","1000","10⋅10⋅10",54,0.016,34
"56","1000","10⋅20+800",3,0.000888888888888889,34
"57","1000","10⋅5⋅20",5,0.00148148148148148,34
"58","1000","1⋅1000",2,0.000592592592592593,34
"59","1000","200⋅5",21,0.00622222222222222,34
"60","1000","20⋅10⋅5",6,0.00177777777777778,34
"61","1000","20⋅20⋅2+20⋅10",1,0.000296296296296296,34
"62","1000","20⋅2⋅5+400⋅2",1,0.000296296296296296,34
"63","1000","20⋅4⋅10+200",1,0.000296296296296296,34
"64","1000","20⋅50",2,0.000592592592592593,34
"65","1000","20⋅5⋅10",12,0.00355555555555556,34
"66","1000","20⋅5⋅5⋅2",1,0.000296296296296296,34
"67","1000","2⋅20⋅5⋅5",1,0.000296296296296296,34
"68","1000","2⋅400+100⋅2",1,0.000296296296296296,34
"69","1000","2⋅400+10⋅20",7,0.00207407407407407,34
"70","1000","2⋅400+5⋅40",1,0.000296296296296296,34
"71","1000","2⋅5⋅100",1,0.000296296296296296,34
"72","1000","2⋅5⋅2⋅2⋅5⋅5",1,0.000296296296296296,34
"73","1000","2⋅5⋅5⋅20",2,0.000592592592592593,34
"74","1000","400⋅2+10⋅20",1,0.000296296296296296,34
"75","1000","400⋅2+200",1,0.000296296296296296,34
"76","1000","400⋅2+20⋅10",11,0.00325925925925926,34
"77","1000","500⋅2",1,0.000296296296296296,34
"78","1000","50⋅10⋅2",1,0.000296296296296296,34
"79","1000","5⋅10⋅20",1,0.000296296296296296,34
"80","1000","5⋅200",1,0.000296296296296296,34
"81","1000","5⋅2⋅10⋅5⋅2",1,0.000296296296296296,34
"82","1000","5⋅2⋅5⋅20",1,0.000296296296296296,34
"83","10000","10000",40,0.43010752688172,4
"84","10000","1000⋅10",12,0.129032258064516,4
"85","10000","10⋅1000",40,0.43010752688172,4
"86","10000","20⋅5⋅20⋅5",1,0.010752688172043,4
"87","100000","100000",91,0.752066115702479,5
"88","100000","1000⋅100",9,0.0743801652892562,5
"89","100000","100⋅1000",18,0.148760330578512,5
"90","100000","100⋅10⋅100",1,0.00826446280991736,5
"91","100000","10⋅10000",2,0.0165289256198347,5
"92","1000000","1000000",55,0.611111111111111,5
"93","1000000","100000⋅10",1,0.0111111111111111,5
"94","1000000","1000⋅1000",1,0.0111111111111111,5
"95","1000000","1000⋅100⋅10",1,0.0111111111111111,5
"96","1000000","10⋅100000",32,0.355555555555556,5
"97","10000000","10000000",75,0.797872340425532,5
"98","10000000","1000000⋅10",1,0.0106382978723404,5
"99","10000000","1000⋅1⋅1000⋅1⋅10",1,0.0106382978723404,5
"100","10000000","100⋅100000",2,0.0212765957446809,5
"101","10000000","10⋅1000000",15,0.159574468085106,5
"102","100000000","100⋅1000000",15,0.789473684210526,2
"103","100000000","10⋅10000000",4,0.210526315789474,2
"104","1000000000","1000000000",49,0.830508474576271,5
"105","1000000000","10000000⋅100",1,0.0169491525423729,5
"106","1000000000","1000⋅1000000",1,0.0169491525423729,5
"107","1000000000","100⋅10000000",6,0.101694915254237,5
"108","1000000000","10⋅100000000",2,0.0338983050847458,5
"109","10000000000","1000⋅10000000",1,0.0666666666666667,3
