"","Symbol","ASCII","Freq"
"1","+",43,86292
"2","⋅",8901,77363
"3","[",91,39836
"4","]",93,39836
"5","′",8242,39169
"6",")",41,35506
"7","(",40,35505
"8","″",8243,6202
"9","?",63,3630
"10","−",8722,2479
"11","⁗",8279,1849
"12","‴",8244,682
"13","½",189,25
"14","a",97,23
"15","n",110,19
"16","d",100,18
"17","I",73,13
"18","D",68,12
"19","e",101,10
"20","o",111,9
"21","s",115,9
"22","“",8220,6
"23","=",61,5
"24","i",105,5
"25","k",107,5
"26","m",109,5
"27","f",102,4
"28","l",108,4
"29","r",114,4
"30","t",116,4
"31",".",46,3
"32","—",8212,2
"33",",",44,2
"34","/",47,2
"35","h",104,2
"36","p",112,2
"37","w",119,2
"38","_",95,1
"39",">",62,1
"40","÷",247,1
"41","b",98,1
"42","G",71,1
"43","u",117,1
"44","x",120,1
