ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,Glosser,Gloss.clean,Gloss.math
mpuo1241-1-23-1,mpuo1241-1,NA,23,NA,makub mbôl é bítár,makub mbôl é bítár,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}3,NA,NA,EAT,(10⋅2)+[LIG]3,(10⋅2)+LIG3
mpuo1241-1-24-1,mpuo1241-1,NA,24,NA,makub mbôl é bína,makub mbôl é bína,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}4,NA,NA,EAT,(10⋅2)+[LIG]4,(10⋅2)+LIG4
mpuo1241-1-25-1,mpuo1241-1,NA,25,NA,makub mbôl é bítɛ́ːn,makub mbôl é bítɛ́ːn,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}5,NA,NA,EAT,(10⋅2)+[LIG]5,(10⋅2)+LIG5
mpuo1241-1-26-1,mpuo1241-1,NA,26,NA,makub mbôl é bíʃáːm,makub mbôl é bíʃáːm,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}6,NA,NA,EAT,(10⋅2)+[LIG]6,(10⋅2)+LIG6
mpuo1241-1-27-1,mpuo1241-1,NA,27,NA,makub mbôl é nsámwɛ̂ːn,makub mbôl é nsámwɛ̂ːn,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}6′+1′,NA,NA,EAT,(10⋅2)+[LIG]6′+1′,(10⋅2)+LIG6+1
mpuo1241-1-28-1,mpuo1241-1,NA,28,NA,makub mbôl é bínán,makub mbôl é bínán,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}[4]+4′,NA,NA,EAT,(10⋅2)+[LIG][4]+4′,(10⋅2)+LIG4+4
mpuo1241-1-29-1,mpuo1241-1,NA,29,NA,makub mbôl é biv́wa,makub mbôl é biv́wa,NA,NA,({CL″}10⋅{CL′}2)+[LIG]{CL′}9,NA,NA,EAT,(10⋅2)+[LIG]9,(10⋅2)+LIG9
mpuo1241-2-7-1,mpuo1241-2,NA,7,NA,nsámwâːn,nsámwâːn,NA,NA,6+[LIG]1′,NA,NA,EAT,6+[LIG]1′,6+LIG1
mpuo1241-2-22-1,mpuo1241-2,NA,22,NA,akǔm mwɔl ɪ byɛ̌l,akǔm mwɔl ɪ byɛ̌l,NA,NA,({CL′}10⋅{CL″}2)+[LIG]2,NA,NA,EAT,(10⋅2)+[LIG]2,(10⋅2)+LIG2
mpuo1241-2-23-1,mpuo1241-2,NA,23,NA,akǔm mwɔl ɪtár,akǔm mwɔl ɪtár,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}3,NA,NA,EAT,(10⋅2)+[LIG]3,(10⋅2)+LIG3
