Language_ID,ID,NumberValue,Value,Form,Gloss,Alternate_gloss,Comment_glosser
gand1255-1,gand1255-1-2-1,NA,2,NA,NA,NA,chan2019
gand1255-1,gand1255-1-3-1,NA,3,NA,NA,NA,chan2019
gand1255-1,gand1255-1-4-1,NA,4,NA,NA,NA,chan2019
gand1255-1,gand1255-1-10-1,NA,10,NA,NA,NA,chan2019
gand1255-1,gand1255-1-11-1,NA,10+{+}1,NA,NA,NA,chan2019
gand1255-1,gand1255-1-12-1,NA,10+{+}2,NA,NA,NA,chan2019
gand1255-1,gand1255-1-13-1,NA,10+{+}3,NA,NA,NA,chan2019
gand1255-1,gand1255-1-14-1,NA,10+{+}4,NA,NA,NA,chan2019
gand1255-1,gand1255-1-15-1,NA,10+{+}5,NA,NA,NA,chan2019
gand1255-1,gand1255-1-16-1,NA,10+{+}6,NA,NA,NA,chan2019
gand1255-1,gand1255-1-17-1,NA,10+{+}7,NA,NA,NA,chan2019
gand1255-1,gand1255-1-18-1,NA,10+{+}{CL}4’+4,NA,NA,NA,chan2019
gand1255-1,gand1255-1-19-1,NA,10+{+}{CL}9,NA,NA,NA,chan2019
gand1255-1,gand1255-1-60-1,NA,[10’]·{CL”’}6,NA,NA,NA,chan2019
gand1255-1,gand1255-1-70-1,NA,[10’]·{CL”’}7,NA,NA,NA,chan2019
