"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Glosser","Alternate_gloss","Comment_glosser"
"1","barlowpacific-ahin1234-1-one-1","barlowpacific-ahin1234-1","Barlow2024","one","1","hakɨy","hakiy",NA,"FALSE","1","EAT",NA,NA
"2","barlowpacific-ahin1234-1-two-1","barlowpacific-ahin1234-1","Barlow2024","two","2","duwa","duwa",NA,"FALSE","2","EAT",NA,NA
"3","barlowpacific-ahin1234-1-three-1","barlowpacific-ahin1234-1","Barlow2024","three","3","tallu","tallu",NA,"FALSE","3","EAT",NA,NA
"4","barlowpacific-ahin1234-1-four-1","barlowpacific-ahin1234-1","Barlow2024","four","4","qɨpat","qipat",NA,"FALSE","4","EAT",NA,NA
"5","barlowpacific-ahin1234-1-five-1","barlowpacific-ahin1234-1","Barlow2024","five","5","lima","lima",NA,"FALSE","5","EAT",NA,NA
"6","barlowpacific-ahin1234-1-six-1","barlowpacific-ahin1234-1","Barlow2024","six","6","qɨnɨm","qinim",NA,"FALSE","6","EAT",NA,NA
"7","barlowpacific-ahin1234-1-seven-1","barlowpacific-ahin1234-1","Barlow2024","seven","7","pitu","pitu",NA,"FALSE","7","EAT",NA,NA
"8","barlowpacific-ahin1234-1-eight-1","barlowpacific-ahin1234-1","Barlow2024","eight","8","walu","walu",NA,"FALSE","8","EAT",NA,NA
"9","barlowpacific-ahin1234-1-nine-1","barlowpacific-ahin1234-1","Barlow2024","nine","9","hiyam","hiyam",NA,"FALSE","9","EAT",NA,NA
"10","barlowpacific-ahin1234-1-ten-1","barlowpacific-ahin1234-1","Barlow2024","ten","10","hampulu","hampulu",NA,"FALSE","10","EAT",NA,NA
"11","barlowpacific-ahin1234-1-twenty-1","barlowpacific-ahin1234-1","Barlow2024","twenty","20","duwan pulu","duwanpulu",NA,"FALSE","2·10","EAT",NA,NA
"12","barlowpacific-ahin1234-1-hundred-1","barlowpacific-ahin1234-1","Barlow2024","hundred","100","lahuh","lahuh",NA,"FALSE","100","EAT",NA,NA
"13","barlowpacific-ahin1234-1-hundred-2","barlowpacific-ahin1234-1","Barlow2024","hundred","100","hanlahuh","hanlahuh",NA,"FALSE","1·100","EAT",NA,NA
"14","barlowpacific-ahin1234-1-thousand-1","barlowpacific-ahin1234-1","Barlow2024","thousand","1000","libu","libu",NA,"FALSE","1000","EAT",NA,NA
"15","barlowpacific-ahin1234-1-thousand-2","barlowpacific-ahin1234-1","Barlow2024","thousand","1000","hanlibu","hanlibu",NA,"FALSE","1·1000","EAT",NA,NA
"16","barlowpacific-bowa1234-3-one-1","barlowpacific-bowa1234-3","Barlow2024","one","1","ti","ti",NA,"FALSE","1","EAT",NA,NA
"17","barlowpacific-bowa1234-3-two-1","barlowpacific-bowa1234-3","Barlow2024","two","2","rua","rua",NA,"FALSE","2","EAT",NA,NA
"18","barlowpacific-bowa1234-3-three-1","barlowpacific-bowa1234-3","Barlow2024","three","3","tala","tala",NA,"FALSE","3","EAT",NA,NA
"19","barlowpacific-bowa1234-3-four-1","barlowpacific-bowa1234-3","Barlow2024","four","4","hāu","hau",NA,"FALSE","4","EAT",NA,NA
"20","barlowpacific-bowa1234-3-five-1","barlowpacific-bowa1234-3","Barlow2024","five","5","lima","lima",NA,"FALSE","5","EAT",NA,NA
"21","barlowpacific-bowa1234-3-six-1","barlowpacific-bowa1234-3","Barlow2024","six","6","uōno","uono",NA,"FALSE","6","EAT",NA,NA
"22","barlowpacific-bowa1234-3-seven-1","barlowpacific-bowa1234-3","Barlow2024","seven","7","andatala","andatala",NA,"FALSE","10'-3","EAT",NA,NA
"23","barlowpacific-bowa1234-3-eight-1","barlowpacific-bowa1234-3","Barlow2024","eight","8","andurua","andurua",NA,"FALSE","10'-2","EAT",NA,NA
"24","barlowpacific-bowa1234-3-nine-1","barlowpacific-bowa1234-3","Barlow2024","nine","9","andati","andati",NA,"FALSE","10'-1","EAT",NA,NA
"25","barlowpacific-bowa1234-3-ten-1","barlowpacific-bowa1234-3","Barlow2024","ten","10","sengul","sengul",NA,"FALSE","10","EAT",NA,NA
"26","barlowpacific-bowa1234-3-eleven-1","barlowpacific-bowa1234-3","Barlow2024","eleven","11","sengul ti","sengulti",NA,"FALSE","10+1","EAT",NA,NA
"27","barlowpacific-bowa1234-3-twenty-1","barlowpacific-bowa1234-3","Barlow2024","twenty","20","rungul","rungul",NA,"FALSE","2·10","EAT",NA,NA
"28","barlowpacific-bowa1234-3-thirty-1","barlowpacific-bowa1234-3","Barlow2024","thirty","30","tulungul","tulungul",NA,"FALSE","3·10","EAT",NA,NA
"29","barlowpacific-bowa1234-3-forty-1","barlowpacific-bowa1234-3","Barlow2024","forty","40","hangul","hangul",NA,"FALSE","4·10","EAT",NA,NA
"30","barlowpacific-bowa1234-3-fifty-1","barlowpacific-bowa1234-3","Barlow2024","fifty","50","limungul","limungul",NA,"FALSE","5·10","EAT",NA,NA
"31","barlowpacific-bowa1234-3-sixty-1","barlowpacific-bowa1234-3","Barlow2024","sixty","60","wonongul","wonongul",NA,"FALSE","6·10","EAT",NA,NA
"32","barlowpacific-bowa1234-3-seventy-1","barlowpacific-bowa1234-3","Barlow2024","seventy","70","andatalungul","andatalungul",NA,"FALSE","(10'-3)·10","EAT",NA,NA
"33","barlowpacific-bowa1234-3-eighty-1","barlowpacific-bowa1234-3","Barlow2024","eighty","80","andurungul","andurungul",NA,"FALSE","(10'-2)·10","EAT",NA,NA
"34","barlowpacific-bowa1234-3-ninety-1","barlowpacific-bowa1234-3","Barlow2024","ninety","90","andassungul","andassungul",NA,"FALSE","(10'-1)·10","EAT",NA,NA
"35","barlowpacific-bowa1234-3-hundred-1","barlowpacific-bowa1234-3","Barlow2024","hundred","100","sengat","sengat",NA,"FALSE","100","EAT",NA,NA
"36","barlowpacific-bowa1234-3-twohundred-1","barlowpacific-bowa1234-3","Barlow2024","twohundred","200","rungat","rungat",NA,"FALSE","2·100","EAT",NA,NA
"37","barlowpacific-bowa1234-3-threehundred-1","barlowpacific-bowa1234-3","Barlow2024","threehundred","300","tulungat","tulungat",NA,"FALSE","3·100","EAT",NA,NA
"38","barlowpacific-bowa1234-3-fourhundred-1","barlowpacific-bowa1234-3","Barlow2024","fourhundred","400","hangat","hangat",NA,"FALSE","4·100","EAT",NA,NA
"39","barlowpacific-bowa1234-3-fivehundred-1","barlowpacific-bowa1234-3","Barlow2024","fivehundred","500","limangat","limangat",NA,"FALSE","5·100","EAT",NA,NA
"40","barlowpacific-bowa1234-3-sixhundred-1","barlowpacific-bowa1234-3","Barlow2024","sixhundred","600","anangat","anangat",NA,"FALSE","6·100","EAT",NA,NA
"41","barlowpacific-bowa1234-3-sevenhundred-1","barlowpacific-bowa1234-3","Barlow2024","sevenhundred","700","andatulangat","andatulangat",NA,"FALSE","(10'-3)·100","EAT",NA,NA
"42","barlowpacific-bowa1234-3-eighthundred-1","barlowpacific-bowa1234-3","Barlow2024","eighthundred","800","andurungat","andurungat",NA,"FALSE","(10'-2)·100","EAT",NA,NA
"43","barlowpacific-bowa1234-3-ninehundred-1","barlowpacific-bowa1234-3","Barlow2024","ninehundred","900","andassangat","andassangat",NA,"FALSE","(10'-1)·100","EAT",NA,NA
"44","barlowpacific-bowa1234-3-thousand-1","barlowpacific-bowa1234-3","Barlow2024","thousand","1000","pā́ti","pati",NA,"FALSE","1000","EAT",NA,NA
"45","barlowpacific-plat1254-1-one-1","barlowpacific-plat1254-1","Barlow2024","one","1","iraý","iray",NA,"FALSE","1","EAT",NA,NA
"46","barlowpacific-plat1254-1-one-2","barlowpacific-plat1254-1","Barlow2024","one","1","raikĕ","raike",NA,"FALSE","1′","EAT",NA,NA
"47","barlowpacific-plat1254-1-two-1","barlowpacific-plat1254-1","Barlow2024","two","2","róa","roa",NA,"FALSE","2","EAT",NA,NA
"48","barlowpacific-plat1254-1-two-2","barlowpacific-plat1254-1","Barlow2024","two","2","róa","roa",NA,"FALSE","2","EAT",NA,NA
"49","barlowpacific-plat1254-1-three-1","barlowpacific-plat1254-1","Barlow2024","three","3","telŏ","telo",NA,"FALSE","3","EAT",NA,NA
"50","barlowpacific-plat1254-1-three-2","barlowpacific-plat1254-1","Barlow2024","three","3","telŏ","telo",NA,"FALSE","4","EAT",NA,NA
"51","barlowpacific-plat1254-1-four-1","barlowpacific-plat1254-1","Barlow2024","four","4","efatră","efatra",NA,"FALSE","4","EAT",NA,NA
"52","barlowpacific-plat1254-1-four-2","barlowpacific-plat1254-1","Barlow2024","four","4","efatsė","efatse",NA,"FALSE","4","EAT",NA,NA
"53","barlowpacific-plat1254-1-five-1","barlowpacific-plat1254-1","Barlow2024","five","5","dimý","dimy",NA,"FALSE","5","EAT",NA,NA
"54","barlowpacific-plat1254-1-five-2","barlowpacific-plat1254-1","Barlow2024","five","5","dimý","dimy",NA,"FALSE","5","EAT",NA,NA
"55","barlowpacific-plat1254-1-six-1","barlowpacific-plat1254-1","Barlow2024","six","6","enină","enina",NA,"FALSE","6","EAT",NA,NA
"56","barlowpacific-plat1254-1-six-2","barlowpacific-plat1254-1","Barlow2024","six","6","enină","enina",NA,"FALSE","6","EAT",NA,NA
"57","barlowpacific-plat1254-1-seven-1","barlowpacific-plat1254-1","Barlow2024","seven","7","fitó","fito",NA,"FALSE","7","EAT",NA,NA
"58","barlowpacific-plat1254-1-seven-2","barlowpacific-plat1254-1","Barlow2024","seven","7","fitó","fito",NA,"FALSE","7","EAT",NA,NA
"59","barlowpacific-plat1254-1-eight-1","barlowpacific-plat1254-1","Barlow2024","eight","8","caló","calo",NA,"FALSE","8","EAT",NA,NA
"60","barlowpacific-plat1254-1-eight-2","barlowpacific-plat1254-1","Barlow2024","eight","8","caló","calo",NA,"FALSE","8","EAT",NA,NA
"61","barlowpacific-plat1254-1-nine-1","barlowpacific-plat1254-1","Barlow2024","nine","9","sirý","siry",NA,"FALSE","9","EAT",NA,NA
"62","barlowpacific-plat1254-1-nine-2","barlowpacific-plat1254-1","Barlow2024","nine","9","sirý","siry",NA,"FALSE","9","EAT",NA,NA
"63","barlowpacific-plat1254-1-ten-1","barlowpacific-plat1254-1","Barlow2024","ten","10","foló","folo",NA,"FALSE","10","EAT",NA,NA
"64","barlowpacific-plat1254-1-ten-2","barlowpacific-plat1254-1","Barlow2024","ten","10","foló","folo",NA,"FALSE","10","EAT",NA,NA
"65","barlowpacific-plat1254-1-eleven-1","barlowpacific-plat1254-1","Barlow2024","eleven","11","iraikă ambý ny folŏ","iraikaambynyfolo",NA,"FALSE","1′+10","EAT",NA,NA
"66","barlowpacific-plat1254-1-eleven-2","barlowpacific-plat1254-1","Barlow2024","eleven","11","iraikă ambý ny folŏ","iraikaambynyfolo",NA,"FALSE","1′+10","EAT",NA,NA
"67","barlowpacific-plat1254-1-twelve-1","barlowpacific-plat1254-1","Barlow2024","twelve","12","roambinifolŏ","roambinifolo",NA,"FALSE","2+10","EAT",NA,NA
"68","barlowpacific-plat1254-1-twelve-2","barlowpacific-plat1254-1","Barlow2024","twelve","12","roambinifolŏ","roambinifolo",NA,"FALSE","2+10","EAT",NA,NA
"69","barlowpacific-plat1254-1-twenty-1","barlowpacific-plat1254-1","Barlow2024","twenty","20","roa polŏ","roapolo",NA,"FALSE","2·10","EAT",NA,NA
"70","barlowpacific-plat1254-1-twenty-2","barlowpacific-plat1254-1","Barlow2024","twenty","20","roa polŏ","roapolo",NA,"FALSE","2·10","EAT",NA,NA
"71","barlowpacific-plat1254-1-thirty-1","barlowpacific-plat1254-1","Barlow2024","thirty","30","telŏ polŏ","telopolo",NA,"FALSE","3·10","EAT",NA,NA
"72","barlowpacific-plat1254-1-thirty-2","barlowpacific-plat1254-1","Barlow2024","thirty","30","telŏ polŏ","telopolo",NA,"FALSE","3·10","EAT",NA,NA
"73","barlowpacific-plat1254-1-forty-1","barlowpacific-plat1254-1","Barlow2024","forty","40","efá polŏ","efapolo",NA,"FALSE","4·10","EAT",NA,NA
"74","barlowpacific-plat1254-1-forty-2","barlowpacific-plat1254-1","Barlow2024","forty","40","efá polŏ","efapolo",NA,"FALSE","4·10","EAT",NA,NA
"75","barlowpacific-plat1254-1-fifty-1","barlowpacific-plat1254-1","Barlow2024","fifty","50","dimam-polŏ","dimampolo",NA,"FALSE","5·10","EAT",NA,NA
