"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Glosser","Alternate_gloss","Comment_glosser"
"1","numerals-abee1242-1-one-1","numerals-abee1242-1","Chan2019","one","1","ŋ̀k͡pɔ̄","ngkpo",NA,"FALSE","1","EAT",NA,NA
"2","numerals-abee1242-1-two-1","numerals-abee1242-1","Chan2019","two","2","āɲʊ̃́","anu",NA,"FALSE","2","EAT",NA,NA
"3","numerals-abee1242-1-three-1","numerals-abee1242-1","Chan2019","three","3","āɾí","ari",NA,"FALSE","3","EAT",NA,NA
"4","numerals-abee1242-1-four-1","numerals-abee1242-1","Chan2019","four","4","àlɛ́","ale",NA,"FALSE","4","EAT",NA,NA
"5","numerals-abee1242-1-five-1","numerals-abee1242-1","Chan2019","five","5","ōní","oni",NA,"FALSE","5","EAT",NA,NA
"6","numerals-abee1242-1-six-1","numerals-abee1242-1","Chan2019","six","6","lɔ̀hɔ̃̀","loho",NA,"FALSE","6","EAT",NA,"5+1"
"7","numerals-abee1242-1-seven-1","numerals-abee1242-1","Chan2019","seven","7","lɔ̀hʍ̃ã̄ɾí","lohwari",NA,"FALSE","7","EAT",NA,"CHECK: 5+2"
"8","numerals-abee1242-1-eight-1","numerals-abee1242-1","Chan2019","eight","8","èpʲè","epje",NA,"FALSE","8","EAT",NA,NA
"9","numerals-abee1242-1-nine-1","numerals-abee1242-1","Chan2019","nine","9","ɲāàkó","naako",NA,"FALSE","9","EAT",NA,NA
"10","numerals-abee1242-1-ten-1","numerals-abee1242-1","Chan2019","ten","10","ǹnɛ̀","nne",NA,"FALSE","10","EAT",NA,NA
"11","numerals-abee1242-1-eleven-1","numerals-abee1242-1","Chan2019","eleven","11","ǹnɛ̀ŋ̀k͡pɔ̄","nnengkpo",NA,"FALSE","10+1","EAT",NA,NA
"12","numerals-abee1242-1-twelve-1","numerals-abee1242-1","Chan2019","twelve","12","ǹnàɲʊ̃́","nnanu",NA,"FALSE","10+2","EAT",NA,NA
"13","numerals-abee1242-1-thirteen-1","numerals-abee1242-1","Chan2019","thirteen","13","ǹnàɾí","nnari",NA,"FALSE","10+3","EAT",NA,NA
"14","numerals-abee1242-1-fourteen-1","numerals-abee1242-1","Chan2019","fourteen","14","ǹnàlɛ́","nnale",NA,"FALSE","10+4","EAT",NA,NA
"15","numerals-abee1242-1-fifteen-1","numerals-abee1242-1","Chan2019","fifteen","15","ǹnòní","nnoni",NA,"FALSE","10+5","EAT",NA,NA
"16","numerals-abee1242-1-sixteen-1","numerals-abee1242-1","Chan2019","sixteen","16","ǹnɛ̀lɔ̀hɔ̃̀","nneloho",NA,"FALSE","10+6","EAT",NA,NA
"17","numerals-abee1242-1-seventeen-1","numerals-abee1242-1","Chan2019","seventeen","17","ǹnɛ̀lɔ̀hʍ̃ã̄ɾí","nnelohwari",NA,"FALSE","10+7","EAT",NA,NA
"18","numerals-abee1242-1-eighteen-1","numerals-abee1242-1","Chan2019","eighteen","18","ǹnèpʲè","nnepje",NA,"FALSE","10+8","EAT",NA,NA
"19","numerals-abee1242-1-nineteen-1","numerals-abee1242-1","Chan2019","nineteen","19","ǹɲāàkó","nnaako",NA,"FALSE","10+9","EAT",NA,NA
"20","numerals-abee1242-1-twenty-1","numerals-abee1242-1","Chan2019","twenty","20","òbɾāɲʊ̃̀","obranu",NA,"FALSE","10·2","EAT",NA,NA
"21","numerals-abee1242-1-twentyone-1","numerals-abee1242-1","Chan2019","twentyone","21","òbɾāɲʊ̃̀ édʒì ŋ̀k͡pɔ̄","obranuedzingkpo",NA,"FALSE","(10·2)+{LIG}1","EAT",NA,NA
"22","numerals-abee1242-1-twentytwo-1","numerals-abee1242-1","Chan2019","twentytwo","22","òbɾāɲʊ̃̀ édʒì āɲʊ̃́","obranuedzianu",NA,"FALSE","(10·2)+{LIG}2","EAT",NA,NA
"23","numerals-abee1242-1-twentythree-1","numerals-abee1242-1","Chan2019","twentythree","23","òbɾāɲʊ̃̀ édʒì āɾí","obranuedziari",NA,"FALSE","(10·2)+{LIG}3","EAT",NA,NA
"24","numerals-abee1242-1-twentyfour-1","numerals-abee1242-1","Chan2019","twentyfour","24","òbɾāɲʊ̃̀ édʒì àlɛ́","obranuedziale",NA,"FALSE","(10·2)+{LIG}4","EAT",NA,NA
"25","numerals-abee1242-1-twentyfive-1","numerals-abee1242-1","Chan2019","twentyfive","25","òbɾāɲʊ̃̀ édʒì ōní","obranuedzioni",NA,"FALSE","(10·2)+{LIG}5","EAT",NA,NA
"26","numerals-abee1242-1-twentysix-1","numerals-abee1242-1","Chan2019","twentysix","26","òbɾāɲʊ̃̀ édʒì lɔ̀hɔ̃̀","obranuedziloho",NA,"FALSE","(10·2)+{LIG}6","EAT",NA,NA
"27","numerals-abee1242-1-twentyseven-1","numerals-abee1242-1","Chan2019","twentyseven","27","òbɾāɲʊ̃̀ édʒì lɔ̀hʍ̃ã̄ɾí","obranuedzilohwari",NA,"FALSE","(10·2)+{LIG}7","EAT",NA,NA
"28","numerals-abee1242-1-twentyeight-1","numerals-abee1242-1","Chan2019","twentyeight","28","òbɾāɲʊ̃̀ édʒì èpʲè","obranuedziepje",NA,"FALSE","(10·2)+{LIG}8","EAT",NA,NA
"29","numerals-abee1242-1-twentynine-1","numerals-abee1242-1","Chan2019","twentynine","29","òbɾāɲʊ̃̀ édʒì ɲāàkó","obranuedzinaako",NA,"FALSE","(10·2)+{LIG}9","EAT",NA,NA
"30","numerals-abee1242-1-thirty-1","numerals-abee1242-1","Chan2019","thirty","30","òbɾāsà","obrasa",NA,"FALSE","10·3","EAT",NA,NA
"31","numerals-abee1242-1-forty-1","numerals-abee1242-1","Chan2019","forty","40","òbɾānà","obrana",NA,"FALSE","10·4","EAT",NA,NA
"32","numerals-abee1242-1-fifty-1","numerals-abee1242-1","Chan2019","fifty","50","òbɾōnù","obronu",NA,"FALSE","10·5","EAT",NA,NA
"33","numerals-abee1242-1-sixty-1","numerals-abee1242-1","Chan2019","sixty","60","òbɾã̄ʃē","obrase",NA,"FALSE","10·6","EAT",NA,NA
"34","numerals-abee1242-1-seventy-1","numerals-abee1242-1","Chan2019","seventy","70","òbɾã̄sɔ̂","obraso",NA,"FALSE","10·7","EAT",NA,NA
"35","numerals-abee1242-1-eighty-1","numerals-abee1242-1","Chan2019","eighty","80","òbɾãmʊ̃̀kwɛ́","obramukwe",NA,"FALSE","10·8","EAT",NA,NA
"36","numerals-abee1242-1-ninety-1","numerals-abee1242-1","Chan2019","ninety","90","òbɾãŋɡòrá","obranggora",NA,"FALSE","10·9","EAT",NA,NA
"37","numerals-abee1242-1-hundred-1","numerals-abee1242-1","Chan2019","hundred","100","jā","ja",NA,"FALSE","100","EAT",NA,NA
"38","numerals-abee1242-1-twohundred-1","numerals-abee1242-1","Chan2019","twohundred","200","jā āŋʊ̃́","jaangu",NA,"FALSE","100·2","EAT",NA,NA
"39","numerals-abee1242-1-thousand-1","numerals-abee1242-1","Chan2019","thousand","1000","àk͡pī","akpi",NA,"FALSE","1000","EAT",NA,NA
"40","numerals-abee1242-1-twothousand-1","numerals-abee1242-1","Chan2019","twothousand","2000","àk͡pī āŋʊ̃́","akpiangu",NA,"FALSE","1000·2","EAT",NA,NA
"41","numerals-abid1235-1-one-1","numerals-abid1235-1","Chan2019","one","1","ń̩nɔ̀","nno",NA,"FALSE","1","EAT",NA,NA
"42","numerals-abid1235-1-two-1","numerals-abid1235-1","Chan2019","two","2","áānʊ̄","aanu",NA,"FALSE","2","EAT",NA,NA
"43","numerals-abid1235-1-three-1","numerals-abid1235-1","Chan2019","three","3","ɛ̃́ɛ̃̄tɪ̄","eeti",NA,"FALSE","3","EAT",NA,NA
