"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","rb","sb","cb"
"1","numerals-mawa1270-1-nine-1","numerals-mawa1270-1","Chan2019","nine","9","kʷapinikara","kwapinikara","( 10 - 1 ) ?","false","10[−]1{−]",NA,NA,"NK",TRUE,FALSE,FALSE
"2","numerals-mawa1270-1-nineteen-1","numerals-mawa1270-1","Chan2019","nineteen","19","kʷaːjan buti kʷapinikara","kwajanbutikwapinikara","","false","10+{+}(10[−]1{−])",NA,NA,"NK",TRUE,FALSE,FALSE
"3","numerals-mawa1270-1-twentynine-1","numerals-mawa1270-1","Chan2019","twentynine","29","oos pəni buti kʷapinikara","oospanibutikwapinikara","","false","20⋅1+{+}(10[−]1{−])",NA,NA,"NK",TRUE,FALSE,FALSE
"4","numerals-acol1236-1-twentyone-1","numerals-acol1236-1","Chan2019","twentyone","21","píèr àríò wí àcíèl","pierariowiaciel","","FALSE","(10⋅2)+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"5","numerals-akum1238-1-twentyone-1","numerals-akum1238-1","Chan2019","twentyone","21","ikam ka ájì","ikamkaaji","","FALSE","20+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"6","numerals-akum1238-1-thirty-1","numerals-akum1238-1","Chan2019","thirty","30","ikam ka ikùr","ikamkaikur","","FALSE","20+{LIG]10",NA,NA,"EAT",TRUE,FALSE,FALSE
"7","numerals-akum1238-1-fifty-1","numerals-akum1238-1","Chan2019","fifty","50","akam afã̀ ikùr","akamafaikur","","FALSE","(20⋅2)+{LIG]10",NA,NA,"EAT",TRUE,FALSE,FALSE
"8","numerals-akum1238-1-seventy-1","numerals-akum1238-1","Chan2019","seventy","70","akam ata ka ikùr","akamatakaikur","","FALSE","(20⋅3)+{LIG]10",NA,NA,"EAT",TRUE,FALSE,FALSE
"9","numerals-akum1238-1-ninety-1","numerals-akum1238-1","Chan2019","ninety","90","akam aɲì ka ikùr","akamanikaikur","","FALSE","(20⋅4)+{LIG]10",NA,NA,"EAT",TRUE,FALSE,FALSE
"10","numerals-baba1266-1-twelve-1","numerals-baba1266-1","Chan2019","twelve","12","ǹdʒùsə̀ bò","ndzusabo","","FALSE","{LIG}[10]+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"11","numerals-baba1266-1-thirteen-1","numerals-baba1266-1","Chan2019","thirteen","13","ǹdʒùsə̀ táʔ","ndzusata","","FALSE","{LIG}[10]+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
