"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"1","numerals-lend1245-1-eleven-2","numerals-lend1245-1","Chan2019","eleven",11,"dre ndidjo dirina","drendidjodirina",NA,"FALSE",NA,NA,NA,"EAT"
"2","numerals-lend1245-1-twelve-2","numerals-lend1245-1","Chan2019","twelve",12,"dre ndidjo arorina","drendidjoarorina",NA,"FALSE",NA,NA,NA,"EAT"
"3","numerals-lend1245-1-thirteen-1","numerals-lend1245-1","Chan2019","thirteen",13,"d͡ʒǔ-ði","dzudi",NA,"FALSE",NA,NA,NA,"EAT"
"4","numerals-lend1245-1-thirteen-2","numerals-lend1245-1","Chan2019","thirteen",13,"dre ndidjo ɡborina","drendidjogborina",NA,"FALSE",NA,NA,NA,"EAT"
"5","numerals-lend1245-1-fourteen-2","numerals-lend1245-1","Chan2019","fourteen",14,"dre ndidjo thorina","drendidjothorina",NA,"FALSE",NA,NA,NA,"EAT"
"6","numerals-lend1245-1-fifteen-1","numerals-lend1245-1","Chan2019","fifteen",15,"pɪ-ði","pidi",NA,"FALSE",NA,NA,NA,"EAT"
"7","numerals-lend1245-1-sixteen-1","numerals-lend1245-1","Chan2019","sixteen",16,"pɪ","pi",NA,"FALSE",NA,NA,NA,"EAT"
"8","numerals-lend1245-1-sixteen-2","numerals-lend1245-1","Chan2019","sixteen",16,"dre ndidjo azarina","drendidjoazarina",NA,"FALSE",NA,NA,NA,"EAT"
"9","numerals-lend1245-1-seventeen-1","numerals-lend1245-1","Chan2019","seventeen",17,"dre ndidjo aruɡborina","drendidjoarugborina",NA,"FALSE",NA,NA,NA,"EAT"
"10","numerals-lend1245-1-eighteen-1","numerals-lend1245-1","Chan2019","eighteen",18,"dre ndidjo arurina","drendidjoarurina",NA,"FALSE",NA,NA,NA,"EAT"
"11","numerals-lend1245-1-nineteen-1","numerals-lend1245-1","Chan2019","nineteen",19,"dre ndidjo dredhirina","drendidjodredhirina",NA,"FALSE",NA,NA,NA,"EAT"
"12","numerals-lend1245-1-twenty-1","numerals-lend1245-1","Chan2019","twenty",20,"dredrenɡa aro","dredrengaaro",NA,"FALSE",NA,NA,NA,"EAT"
"13","numerals-lend1245-1-twentyone-1","numerals-lend1245-1","Chan2019","twentyone",21,"dredrenɡa aro ndidjo dirina","dredrengaarondidjodirina",NA,"FALSE",NA,NA,NA,"EAT"
"14","numerals-lend1245-1-twentytwo-1","numerals-lend1245-1","Chan2019","twentytwo",22,"dredrenɡa aro ndidjo arorina","dredrengaarondidjoarorina",NA,"FALSE",NA,NA,NA,"EAT"
"15","numerals-lend1245-1-twentythree-1","numerals-lend1245-1","Chan2019","twentythree",23,"dredrenɡa aro ndidjo ɡborina","dredrengaarondidjogborina",NA,"FALSE",NA,NA,NA,"EAT"
"16","numerals-lend1245-1-twentyfour-1","numerals-lend1245-1","Chan2019","twentyfour",24,"dredrenɡa aro ndidjo thorina","dredrengaarondidjothorina",NA,"FALSE",NA,NA,NA,"EAT"
"17","numerals-lend1245-1-twentyfive-1","numerals-lend1245-1","Chan2019","twentyfive",25,"dredrenɡa aro ndidjo mburina","dredrengaarondidjomburina",NA,"FALSE",NA,NA,NA,"EAT"
"18","numerals-lend1245-1-twentysix-1","numerals-lend1245-1","Chan2019","twentysix",26,"dredrenɡa aro ndidjo azarina","dredrengaarondidjoazarina",NA,"FALSE",NA,NA,NA,"EAT"
"19","numerals-lend1245-1-twentyseven-1","numerals-lend1245-1","Chan2019","twentyseven",27,"dredrenɡa aro ndidjo aruɡborina","dredrengaarondidjoarugborina",NA,"FALSE",NA,NA,NA,"EAT"
"20","numerals-lend1245-1-twentyeight-1","numerals-lend1245-1","Chan2019","twentyeight",28,"dredrenɡa aro ndidjo arurina","dredrengaarondidjoarurina",NA,"FALSE",NA,NA,NA,"EAT"
"21","numerals-lend1245-1-twentynine-1","numerals-lend1245-1","Chan2019","twentynine",29,"dredrenɡa aro ndidjo dredhirina","dredrengaarondidjodredhirina",NA,"FALSE",NA,NA,NA,"EAT"
"22","numerals-lend1245-1-thirty-1","numerals-lend1245-1","Chan2019","thirty",30,"dredrenɡa ɡbo","dredrengagbo",NA,"FALSE",NA,NA,NA,"EAT"
"23","numerals-lend1245-1-forty-1","numerals-lend1245-1","Chan2019","forty",40,"dredrenɡa tho","dredrengatho",NA,"FALSE",NA,NA,NA,"EAT"
"24","numerals-lend1245-1-fifty-1","numerals-lend1245-1","Chan2019","fifty",50,"dredrenɡa mbu","dredrengambu",NA,"FALSE",NA,NA,NA,"EAT"
"25","numerals-lend1245-1-sixty-1","numerals-lend1245-1","Chan2019","sixty",60,"dredrenɡa aza","dredrengaaza",NA,"FALSE",NA,NA,NA,"EAT"
"26","numerals-lend1245-1-seventy-1","numerals-lend1245-1","Chan2019","seventy",70,"dredrenɡa aruɡbo","dredrengaarugbo",NA,"FALSE",NA,NA,NA,"EAT"
"27","numerals-lend1245-1-eighty-1","numerals-lend1245-1","Chan2019","eighty",80,"dredrenɡa aru","dredrengaaru",NA,"FALSE",NA,NA,NA,"EAT"
"28","numerals-lend1245-1-ninety-1","numerals-lend1245-1","Chan2019","ninety",90,"dredrenɡa dredhi","dredrengadredhi",NA,"FALSE",NA,NA,NA,"EAT"
"29","numerals-lend1245-1-hundred-1","numerals-lend1245-1","Chan2019","hundred",100,"mia di","miadi","( from Arabic 'miya' )","FALSE",NA,NA,NA,"EAT"
"30","numerals-lend1245-1-twohundred-1","numerals-lend1245-1","Chan2019","twohundred",200,"mia aro","miaaro",NA,"FALSE",NA,NA,NA,"EAT"
"31","numerals-lend1245-1-thousand-1","numerals-lend1245-1","Chan2019","thousand",1000,"lufu di","lufudi","( < Arabic 'alip')","TRUE",NA,NA,NA,"EAT"
"32","numerals-lend1245-1-twothousand-1","numerals-lend1245-1","Chan2019","twothousand",2000,"lufu aro","lufuaro",NA,"FALSE",NA,NA,NA,"EAT"
"33","numerals-sici1249-1-twelve-1","numerals-sici1249-1","Chan2019","twelve",12,"kɛ̄ ná sɔ̃̀ɔ̃̀nì","kenasooni",NA,"FALSE",NA,NA,NA,"EAT"
"34","numerals-sici1249-1-thirteen-1","numerals-sici1249-1","Chan2019","thirteen",13,"kɛ̄ ná tã̀ã̀rì","kenataari",NA,"FALSE",NA,NA,NA,"EAT"
"35","numerals-sici1249-1-fourteen-1","numerals-sici1249-1","Chan2019","fourteen",14,"kɛ̄ ná sìcɛ̀ɛ̀rì","kenasiceeri",NA,"FALSE",NA,NA,NA,"EAT"
"36","numerals-sici1249-1-fifteen-1","numerals-sici1249-1","Chan2019","fifteen",15,"kɛ̄ ná kánkūrò","kenakankuro",NA,"FALSE",NA,NA,NA,"EAT"
"37","numerals-sici1249-1-sixteen-1","numerals-sici1249-1","Chan2019","sixteen",16,"kɛ̄ ná ɡ͡bāārù","kenagbaaru",NA,"FALSE",NA,NA,NA,"EAT"
"38","numerals-sici1249-1-seventeen-1","numerals-sici1249-1","Chan2019","seventeen",17,"kɛ̄ ná ɡ͡bārsɔ̃̀ɔ̃̀nì","kenagbarsooni",NA,"FALSE",NA,NA,NA,"EAT"
"39","numerals-sici1249-1-eighteen-1","numerals-sici1249-1","Chan2019","eighteen",18,"kɛ̄ ná ɡ͡bārtã̀ã̀rì","kenagbartaari",NA,"FALSE",NA,NA,NA,"EAT"
"40","numerals-sici1249-1-eighteen-2","numerals-sici1249-1","Chan2019","eighteen",18,"kɛ̄ ná kāzɛ̄ɛm̀bē","kenakazeembe",NA,"FALSE",NA,NA,NA,"EAT"
"41","numerals-sici1249-1-nineteen-1","numerals-sici1249-1","Chan2019","nineteen",19,"kɛ̄ ná ɡ͡bārsìcɛ̀ɛ̀rì","kenagbarsiceeri",NA,"FALSE",NA,NA,NA,"EAT"
"42","numerals-sici1249-1-nineteen-2","numerals-sici1249-1","Chan2019","nineteen",19,"kɛ̄ ná nìkĩ̀ndáʔá","kenanikindaa",NA,"FALSE",NA,NA,NA,"EAT"
"43","numerals-siss1242-1-twohundred-1","numerals-siss1242-1","Chan2019","twohundred",200,"zɔwɛllɛ","zowelle",NA,"FALSE",NA,NA,NA,"EAT"
"44","numerals-suga1248-1-eleven-1","numerals-suga1248-1","Chan2019","eleven",11,"ɟer cà mum","jercamum",NA,"FALSE",NA,NA,NA,"EAT"
"45","numerals-suga1248-1-twelve-1","numerals-suga1248-1","Chan2019","twelve",12,"ɟer cà ɓaara","jercabaara",NA,"FALSE",NA,NA,NA,"EAT"
"46","numerals-suga1248-1-thirteen-1","numerals-suga1248-1","Chan2019","thirteen",13,"ɟer cà taara","jercataara",NA,"FALSE",NA,NA,NA,"EAT"
"47","numerals-suga1248-1-fourteen-1","numerals-suga1248-1","Chan2019","fourteen",14,"ɟer cà naànà","jercanaana",NA,"FALSE",NA,NA,NA,"EAT"
"48","numerals-suga1248-1-fifteen-1","numerals-suga1248-1","Chan2019","fifteen",15,"ɟer cà tɛ́ɛ́ŋna","jercateengna",NA,"FALSE",NA,NA,NA,"EAT"
"49","numerals-suga1248-1-sixteen-1","numerals-suga1248-1","Chan2019","sixteen",16,"ɟer cà tánmum","jercatanmum",NA,"FALSE",NA,NA,NA,"EAT"
"50","numerals-suga1248-1-seventeen-1","numerals-suga1248-1","Chan2019","seventeen",17,"ɟer cà tánɓáára","jercatanbaara",NA,"FALSE",NA,NA,NA,"EAT"
"51","numerals-suga1248-1-eighteen-1","numerals-suga1248-1","Chan2019","eighteen",18,"ɟer cà sɛ́ɛ̀","jercasee",NA,"FALSE",NA,NA,NA,"EAT"
"52","numerals-suga1248-1-nineteen-1","numerals-suga1248-1","Chan2019","nineteen",19,"ɟer cà tínáànà","jercatinaana",NA,"FALSE",NA,NA,NA,"EAT"
"53","tivv1240-1-21-1","tivv1240-1",NA,"21",NA,"íkyúnꜜdu kàː mɔ́ꜜm","íkyúnꜜdu kàː mɔ́ꜜm",NA,NA,NA,NA,NA,"EAT"
"54","tivv1240-1-22-1","tivv1240-1",NA,"22",NA,"íkyúnꜜdu kàː úháꜜr","íkyúnꜜdu kàː úháꜜr",NA,NA,NA,NA,NA,"EAT"
"55","tivv1240-1-23-1","tivv1240-1",NA,"23",NA,"íkyúnꜜdu kàː útáŕ","íkyúnꜜdu kàː útáŕ",NA,NA,NA,NA,NA,"EAT"
"56","tivv1240-1-24-1","tivv1240-1",NA,"24",NA,"íkyúnꜜdu kàː únjì:","íkyúnꜜdu kàː únjì:",NA,NA,NA,NA,NA,"EAT"
"57","tivv1240-1-25-1","tivv1240-1",NA,"25",NA,"íkyúnꜜdu kàː útã́ː","íkyúnꜜdu kàː útã́ː",NA,NA,NA,NA,NA,"EAT"
"58","tivv1240-1-26-1","tivv1240-1",NA,"26",NA,"íkyúnꜜdu kàː átérátáŕ","íkyúnꜜdu kàː átérátáŕ",NA,NA,NA,NA,NA,"EAT"
"59","tivv1240-1-27-1","tivv1240-1",NA,"27",NA,"íkyúnꜜdu kàː útã́ː kàː úháꜜr","íkyúnꜜdu kàː útã́ː kàː úháꜜr",NA,NA,NA,NA,NA,"EAT"
"60","tivv1240-1-28-1","tivv1240-1",NA,"28",NA,"íkyúnꜜdu kàː ániènì","íkyúnꜜdu kàː ániènì",NA,NA,NA,NA,NA,"EAT"
"61","tivv1240-1-29-1","tivv1240-1",NA,"29",NA,"íkyúnꜜdu kàː útã́ː kàː únjì:","íkyúnꜜdu kàː útã́ː kàː únjì:",NA,NA,NA,NA,NA,"EAT"
"62","numerals-tumb1250-1-twenty-2","numerals-tumb1250-1","Chan2019","twenty",20,"ɣá-ŵîri","gawiri","???","FALSE",NA,"10′·2",NA,"EAT"
