"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Glottocode","Language.level_Glottocode","Use_in_analyses"
"1",4340,"numerals-achu1247-1-seven-1","numerals-achu1247-1","Chan2019","seven",7,"át·íwáté c͗ásti a·yéq͗ti","atiwatecastiayeqti","","FALSCH","?","seems to be 5+3, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA,"achu1247","achu1247","YES"
"2",4341,"numerals-achu1247-1-seven-2","numerals-achu1247-1","Chan2019","seven",7,"Lát·íwáté c͗ásti a·tú·m͗i","latiwatecastiatumi","","FALSCH","?","seems to be 5+3, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA,"achu1247","achu1247","YES"
"3",4342,"numerals-achu1247-1-eight-1","numerals-achu1247-1","Chan2019","eight",8,"lát·íwáté haq͗ a·yéq͗ti","latiwatehaqayeqti","","FALSCH","?","seems to be 5+2, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA,"achu1247","achu1247","YES"
"4",4343,"numerals-achu1247-1-eight-2","numerals-achu1247-1","Chan2019","eight",8,"hat·á·mílíl","hatamilil","","FALSCH","?","perhaps 4⋅2′?",NA,"numerals-achu1247-1.csv","NK","?","?",NA,"achu1247","achu1247","YES"
"5",4344,"numerals-achu1247-1-eight-3","numerals-achu1247-1","Chan2019","eight",8,"lát·íwáté haq͗ a·tú·m͗i","latiwatehaqatumi","","FALSCH","?","seems to be 5+2, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA,"achu1247","achu1247","YES"
"6",4400,"numerals-adyg1241-1-fifty-1","numerals-adyg1241-1","Chan2019","fifty",50,"ʃɛnɨqʷ","seniqw","","false","?","It’s probably not atomic but I don’t know how to analyze it.",NA,"numerals-adyg1241-1.csv","NK","?","?",NA,"adyg1241","adyg1241","YES"
"7",4438,"numerals-afad1236-1-thirty-1","numerals-afad1236-1","Chan2019","thirty",30,"tàlàtíǹ","talatin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","3’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"8",4439,"numerals-afad1236-1-forty-1","numerals-afad1236-1","Chan2019","forty",40,"àrbàyíǹ","arbayin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","4’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"9",4440,"numerals-afad1236-1-fifty-1","numerals-afad1236-1","Chan2019","fifty",50,"hàmsíǹ","hamsin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","5’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"10",4441,"numerals-afad1236-1-sixty-1","numerals-afad1236-1","Chan2019","sixty",60,"sìtíǹ","sitin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","6’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"11",4442,"numerals-afad1236-1-seventy-1","numerals-afad1236-1","Chan2019","seventy",70,"sàpíǹ","sapin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","7’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"12",4443,"numerals-afad1236-1-eighty-1","numerals-afad1236-1","Chan2019","eighty",80,"tàmàníǹ","tamanin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","8’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"13",4444,"numerals-afad1236-1-ninety-1","numerals-afad1236-1","Chan2019","ninety",90,"tìsíǹ","tisin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","9’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA,"afad1236","afad1236","YES"
"14",4591,"numerals-agua1253-3-twelve-1","numerals-agua1253-3","Chan2019","twelve",12,"dawe makitʃik","dawemakitsik","","false","?","I think the form for 11 has been doubled by mistake and all the others are shifted by one field. ",NA,"numerals-agua1253-3.csv","NK","?","?",NA,"agua1253","agua1253","YES"
"15",4592,"numerals-agua1253-3-thirteen-1","numerals-agua1253-3","Chan2019","thirteen",13,"dawe ximaxa","daweximaxa","","false","?","The given form is probably meant to represent 12: [10]{foot}+2.",NA,"numerals-agua1253-3.csv","NK","?","?",NA,"agua1253","agua1253","YES"
