"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"1",136933,"numerals-abar1238-1-twothousand-1","numerals-abar1238-1","Chan2019","twothousand",2000,"ntfùkè fɛ́ɛ́","ntfukefee","( ??)","FALSE","?","composite but constituents unknown",NA,"abar1238.csv","EAT","?","?",NA
"2",137095,"numerals-abur1244-1-twothousand-1","numerals-abur1244-1","Chan2019","twothousand",2000,"òɣòɔ̀nîr","ogoonir","[5x400]","FALSE","?","check",NA,"abur1244.csv","EAT","?","?",NA
"3",137245,"numerals-agat1236-1-thousand-1","numerals-agat1236-1","Chan2019","thousand",1000,"úlàẹ̀pàlòhùìɡwó","ulaepalohuigwo",NA,"FALSE","?","insufficient data",NA,"agat1236.csv","EAT","?","?",NA
"4",137246,"numerals-agat1236-1-twothousand-1","numerals-agat1236-1","Chan2019","twothousand",2000,"úlẹhọ","uleho","( 400 x 5 )","FALSE","400⋅5(?)",NA,NA,"agat1236.csv","EAT","400⋅5(?)","400⋅5(?)",NA
"5",137844,"numerals-bada1258-1-twentyone-1","numerals-bada1258-1","Chan2019","twentyone",21,"lʊ̀mí ɓâr","lumibar",NA,"FALSE","?","same as 20",NA,"bada1258.csv","EAT","?","?",NA
"6",137845,"numerals-bada1258-1-twentytwo-1","numerals-bada1258-1","Chan2019","twentytwo",22,"lʊ̀mí ɓâr","lumibar",NA,"FALSE","?","same as 20",NA,"bada1258.csv","EAT","?","?",NA
"7",138236,"numerals-bala1301-1-twothousand-1","numerals-bala1301-1","Chan2019","twothousand",2000,"ko:nti ksibm","kontiksibm",NA,"FALSE","?","CHECK: Same form as 1000?",NA,"bala1301.csv","EAT","?","?",NA
"8",139072,"beem1239-1-1-1","beem1239-1",NA,"1",NA,"-mósi","-mósi",NA,NA,"1",NA,NA,"beem1239-1.csv","EAT","1","1","1"
"9",139073,"beem1239-1-2-1","beem1239-1",NA,"2",NA,"-óólo","-óólo",NA,NA,"2",NA,NA,"beem1239-1.csv","EAT","2","2","2"
"10",139074,"beem1239-1-3-1","beem1239-1",NA,"3",NA,"-tátu","-tátu",NA,NA,"3",NA,NA,"beem1239-1.csv","EAT","3","3","3"
"11",139075,"beem1239-1-4-1","beem1239-1",NA,"4",NA,"-ná","-ná",NA,NA,"4",NA,NA,"beem1239-1.csv","EAT","4","4","4"
"12",139076,"beem1239-1-5-1","beem1239-1",NA,"5",NA,"-táánu","-táánu",NA,NA,"5",NA,NA,"beem1239-1.csv","EAT","5","5","5"
"13",139077,"beem1239-1-6-1","beem1239-1",NA,"6",NA,"-sáámúnu","-sáámúnu",NA,NA,"6",NA,NA,"beem1239-1.csv","EAT","6","6","6"
"14",139078,"beem1239-1-7-1","beem1239-1",NA,"7",NA,"ntsáámu","ntsáámu",NA,NA,"7",NA,NA,"beem1239-1.csv","EAT","7","7","7"
"15",139079,"beem1239-1-8-1","beem1239-1",NA,"8",NA,"póomó","póomó",NA,NA,"8",NA,NA,"beem1239-1.csv","EAT","8","8","8"
"16",139080,"beem1239-1-9-1","beem1239-1",NA,"9",NA,"wá","wá",NA,NA,"9",NA,NA,"beem1239-1.csv","EAT","9","9","9"
"17",139081,"beem1239-1-10-1","beem1239-1",NA,"10",NA,"kúúmi","kúúmi",NA,NA,"10",NA,NA,"beem1239-1.csv","EAT","10","10","10"
"18",139082,"beem1239-1-11-1","beem1239-1",NA,"11",NA,"kúúmi na mósi","kúúmi na mósi",NA,NA,"10+{and}1",NA,NA,"beem1239-1.csv","EAT","10+1","10+1","10+1"
"19",139083,"beem1239-1-12-1","beem1239-1",NA,"12",NA,"kúúmi na byóólo","kúúmi na byóólo",NA,NA,"10+{and}{CL}2",NA,NA,"beem1239-1.csv","EAT","10+2","10+2","10+2"
"20",139084,"beem1239-1-13-1","beem1239-1",NA,"13",NA,"kúúmi na bitátu","kúúmi na bitátu",NA,NA,"10+{and}{CL}3",NA,NA,"beem1239-1.csv","EAT","10+3","10+3","10+3"
"21",139085,"beem1239-1-14-1","beem1239-1",NA,"14",NA,"kúúmi na biná","kúúmi na biná",NA,NA,"10+{and}{CL}4",NA,NA,"beem1239-1.csv","EAT","10+4","10+4","10+4"
"22",139086,"beem1239-1-15-1","beem1239-1",NA,"15",NA,"kúúmi na bitáánu","kúúmi na bitáánu",NA,NA,"10+{and}{CL}5",NA,NA,"beem1239-1.csv","EAT","10+5","10+5","10+5"
"23",139087,"beem1239-1-16-1","beem1239-1",NA,"16",NA,"kúúmi na bisáámúnu","kúúmi na bisáámúnu",NA,NA,"10+{and}{CL}6",NA,NA,"beem1239-1.csv","EAT","10+6","10+6","10+6"
"24",139088,"beem1239-1-17-1","beem1239-1",NA,"17",NA,"kúúmi na ntsáámu","kúúmi na ntsáámu",NA,NA,"10+{and}7",NA,NA,"beem1239-1.csv","EAT","10+7","10+7","10+7"
"25",139089,"beem1239-1-18-1","beem1239-1",NA,"18",NA,"kúúmi na póomó","kúúmi na póomó",NA,NA,"10+{and}8",NA,NA,"beem1239-1.csv","EAT","10+8","10+8","10+8"
"26",139090,"beem1239-1-19-1","beem1239-1",NA,"19",NA,"kúúmi na wá","kúúmi na wá",NA,NA,"10+{and}9",NA,NA,"beem1239-1.csv","EAT","10+9","10+9","10+9"
"27",139091,"beem1239-1-20-1","beem1239-1",NA,"20",NA,"makúúmi móólo","makúúmi móólo",NA,NA,"{CL′}10⋅{CL′}2",NA,NA,"beem1239-1.csv","EAT","10⋅2","10⋅2","abs(10*2)"
"28",139092,"beem1239-1-21-1","beem1239-1",NA,"21",NA,"makúúmi móólo na mósi","makúúmi móólo na mósi",NA,NA,"({CL′}10⋅{CL′}2)+{and}{CL′}1",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+1","(10⋅2)+1","abs(abs(10*2))+1"
"29",139093,"beem1239-1-22-1","beem1239-1",NA,"22",NA,"makúúmi móólo na byóólo","makúúmi móólo na byóólo",NA,NA,"({CL′}10⋅{CL′}2)+{and}{CL}{CL}2",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+2","(10⋅2)+2","abs(abs(10*2))+2"
"30",139094,"beem1239-1-23-1","beem1239-1",NA,"23",NA,"makúúmi móólo na bitátu","makúúmi móólo na bitátu",NA,NA,"({CL′}10⋅{CL′}2)+{and}{CL}3",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+3","(10⋅2)+3","abs(abs(10*2))+3"
"31",139095,"beem1239-1-24-1","beem1239-1",NA,"24",NA,"makúúmi móólo na biná","makúúmi móólo na biná",NA,NA,"({CL′}10⋅{CL′}2)+{and}{CL}4",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+4","(10⋅2)+4","abs(abs(10*2))+4"
"32",139096,"beem1239-1-25-1","beem1239-1",NA,"25",NA,"makúúmi móólo na bitáánu","makúúmi móólo na bitáánu",NA,NA,"({CL′}10⋅{CL′}2)+{and}{CL}5",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+5","(10⋅2)+5","abs(abs(10*2))+5"
"33",139097,"beem1239-1-26-1","beem1239-1",NA,"26",NA,"makúúmi móólo na sambánu","makúúmi móólo na sambánu",NA,NA,"({CL′}10⋅{CL′}2)+{and}6",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+6","(10⋅2)+6","abs(abs(10*2))+6"
"34",139098,"beem1239-1-27-1","beem1239-1",NA,"27",NA,"makúúmi móólo na ntsáámu","makúúmi móólo na ntsáámu",NA,NA,"({CL′}10⋅{CL′}2)+{and}7",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+7","(10⋅2)+7","abs(abs(10*2))+7"
"35",139099,"beem1239-1-28-1","beem1239-1",NA,"28",NA,"makúúmi móólo na póomó","makúúmi móólo na póomó",NA,NA,"({CL′}10⋅{CL′}2)+{and}8",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+8","(10⋅2)+8","abs(abs(10*2))+8"
"36",139100,"beem1239-1-29-1","beem1239-1",NA,"29",NA,"makúúmi móólo na wá","makúúmi móólo na wá",NA,NA,"({CL′}10⋅{CL′}2)+{and}9",NA,NA,"beem1239-1.csv","EAT","(10⋅2)+9","(10⋅2)+9","abs(abs(10*2))+9"
"37",139101,"beem1239-1-30-1","beem1239-1",NA,"30",NA,"makúúmi matátu","makúúmi matátu",NA,NA,"{CL′}10⋅{CL′}3",NA,NA,"beem1239-1.csv","EAT","10⋅3","10⋅3","abs(10*3)"
"38",139102,"beem1239-1-40-1","beem1239-1",NA,"40",NA,"makúúmi maná","makúúmi maná",NA,NA,"{CL′}10⋅{CL′}4",NA,NA,"beem1239-1.csv","EAT","10⋅4","10⋅4","abs(10*4)"
"39",139103,"beem1239-1-50-1","beem1239-1",NA,"50",NA,"makúúmi matáánu","makúúmi matáánu",NA,NA,"{CL′}10⋅{CL′}5",NA,NA,"beem1239-1.csv","EAT","10⋅5","10⋅5","abs(10*5)"
"40",139104,"beem1239-1-60-1","beem1239-1",NA,"60",NA,"makúúmi masáámúnu","makúúmi masáámúnu",NA,NA,"{CL′}10⋅{CL′}6",NA,NA,"beem1239-1.csv","EAT","10⋅6","10⋅6","abs(10*6)"
"41",139105,"beem1239-1-70-1","beem1239-1",NA,"70",NA,"makúúmi ntsáámu","makúúmi ntsáámu",NA,NA,"{CL′}10⋅{CL′}7",NA,NA,"beem1239-1.csv","EAT","10⋅7","10⋅7","abs(10*7)"
"42",139106,"beem1239-1-80-1","beem1239-1",NA,"80",NA,"makúúmi nána","makúúmi nána",NA,NA,"{CL′}10⋅{CL′}8",NA,NA,"beem1239-1.csv","EAT","10⋅8","10⋅8","abs(10*8)"
"43",139107,"beem1239-1-90-1","beem1239-1",NA,"90",NA,"makúúmi wá","makúúmi wá",NA,NA,"{CL′}10⋅{CL′}9",NA,NA,"beem1239-1.csv","EAT","10⋅9","10⋅9","abs(10*9)"
"44",139108,"beem1239-1-100-1","beem1239-1",NA,"100",NA,"nkáma","nkáma",NA,NA,"100",NA,NA,"beem1239-1.csv","EAT","100","100","100"
"45",139109,"beem1239-1-200-1","beem1239-1",NA,"200",NA,"nkáma dzóólo","nkáma dzóólo",NA,NA,"100⋅2",NA,NA,"beem1239-1.csv","EAT","100⋅2","100⋅2","abs(100*2)"
"46",139110,"beem1239-1-1000-1","beem1239-1",NA,"1000",NA,"fúundá","fúundá",NA,NA,"1000",NA,NA,"beem1239-1.csv","EAT","1000","1000","1000"
"47",139111,"beem1239-1-2000-1","beem1239-1",NA,"2000",NA,"mafúundá móólo","mafúundá móólo",NA,NA,"1000⋅2",NA,NA,"beem1239-1.csv","EAT","1000⋅2","1000⋅2","abs(1000*2)"
"48",139268,"numerals-bero1242-1-ten-1","numerals-bero1242-1","Chan2019","ten",10,"syāː-tāt","syatat","( 12- 2 )","FALSE","?","same form as 9",NA,"bero1242.csv","EAT","?","?",NA
"49",139295,"numerals-bero1242-1-hundred-1","numerals-bero1242-1","Chan2019","hundred",100,"bākūrū syāː-bātāt ná bīnaːs","bakurusyabatatnabinas",NA,"FALSE","?","overcounting: (12·({LIG}[12]-3))+{and}4",NA,"bero1242.csv","EAT","?","?",NA
"50",139843,"numerals-bond1246-2-fifty-1","numerals-bond1246-2","Chan2019","fifty",50,"cíḿ tílà","cimtila",NA,"FALSE","?","100÷2?",NA,"bond1246.csv","EAT","?","?",NA
