"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"1",1855,"numerals-hoby1242-1-twelve-2","numerals-hoby1242-1","Chan2019","twelve",12,"ʕɔːɬer-i-tʼejt","oleritejt","","FALSE","?","Duplicated row - Delete. This is a form for 11, already attested, not 12",NA,"Semitic_other West Semitic - numerals-hoby1242-1.csv","EK","?","?",NA
"2",2003,"numerals-mehr1241-1-twothousand-1","numerals-mehr1241-1","Chan2019","twothousand",2000,"mjiti jelɛːf","mjitijelef","","FALSE","?","The glossing seems to be 100{?}1000, but the math doesn't add up",NA,"Semitic_other West Semitic - numerals-mehr1241-1.csv","EK","?","?",NA
"3",4340,"numerals-achu1247-1-seven-1","numerals-achu1247-1","Chan2019","seven",7,"át·íwáté c͗ásti a·yéq͗ti","atiwatecastiayeqti","","FALSCH","?","seems to be 5+3, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA
"4",4341,"numerals-achu1247-1-seven-2","numerals-achu1247-1","Chan2019","seven",7,"Lát·íwáté c͗ásti a·tú·m͗i","latiwatecastiatumi","","FALSCH","?","seems to be 5+3, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA
"5",4342,"numerals-achu1247-1-eight-1","numerals-achu1247-1","Chan2019","eight",8,"lát·íwáté haq͗ a·yéq͗ti","latiwatehaqayeqti","","FALSCH","?","seems to be 5+2, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA
"6",4343,"numerals-achu1247-1-eight-2","numerals-achu1247-1","Chan2019","eight",8,"hat·á·mílíl","hatamilil","","FALSCH","?","perhaps 4⋅2′?",NA,"numerals-achu1247-1.csv","NK","?","?",NA
"7",4344,"numerals-achu1247-1-eight-3","numerals-achu1247-1","Chan2019","eight",8,"lát·íwáté haq͗ a·tú·m͗i","latiwatehaqatumi","","FALSCH","?","seems to be 5+2, perhaps the numerals for 7 and 8 have been swapped accidentally by either the informants or the contributor?",NA,"numerals-achu1247-1.csv","NK","?","?",NA
"8",4400,"numerals-adyg1241-1-fifty-1","numerals-adyg1241-1","Chan2019","fifty",50,"ʃɛnɨqʷ","seniqw","","false","?","It’s probably not atomic but I don’t know how to analyze it.",NA,"numerals-adyg1241-1.csv","NK","?","?",NA
"9",4438,"numerals-afad1236-1-thirty-1","numerals-afad1236-1","Chan2019","thirty",30,"tàlàtíǹ","talatin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","3’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
"10",4439,"numerals-afad1236-1-forty-1","numerals-afad1236-1","Chan2019","forty",40,"àrbàyíǹ","arbayin","< Chadic Arabic","true","?","Either a loan from Arabic or a case of codeswitching.","4’[⋅10]{PL}","numerals-afad1236-1.csv","NK","?","?",NA
