"Language_ID","ID","Parameter_ID","Value","Form","Gloss","Alternate_Gloss","Comment_Glosser"
"ndas1238-1","ndas1238-1-1-1",1,"-ootu","-ootu","{CL}1",NA,NA
"ndas1238-1","ndas1238-1-2-1",2,"-ɔɔlɛ","-ɔɔlɛ","{CL}2",NA,NA
"ndas1238-1","ndas1238-1-3-1",3,"-saatu","-saatu","3",NA,NA
"ndas1238-1","ndas1238-1-4-1",4,"-nayi","-nayi","4",NA,NA
"ndas1238-1","ndas1238-1-5-1",5,"-taani","-taani","5",NA,NA
"ndas1238-1","ndas1238-1-6-1",6,"mu-tuba","mu-tuba","{CL'}6",NA,NA
"ndas1238-1","ndas1238-1-7-1",7,"t͡saami","t͡saami","7",NA,"tsam= 5?"
"ndas1238-1","ndas1238-1-8-1",8,"mwambi","mwambi","8",NA,"mo + ambi? mo = class marker"
"ndas1238-1","ndas1238-1-9-1",9,"i-vwa","i-vwa","{CL""}9",NA,NA
"ndas1238-1","ndas1238-1-10-1",10,"i-ku","i-ku","{CL”}10",NA,NA
"ndas1238-1","ndas1238-1-11-1",11,"i-ku na -ootu","i-ku na -ootu","{CL”}10+{and}{CL}1",NA,NA
"ndas1238-1","ndas1238-1-12-1",12,"i-ku na -ɔɔlɛ","i-ku na -ɔɔlɛ","{CL”}10+{and}{CL}2",NA,NA
"ndas1238-1","ndas1238-1-13-1",13,"i-ku na -saatu","i-ku na -saatu","{CL”}10+{and}{CL}3",NA,NA
"ndas1238-1","ndas1238-1-14-1",14,"i-ku na -nayi","i-ku na -nayi","{CL”}10+{and}{CL}4",NA,NA
"ndas1238-1","ndas1238-1-15-1",15,"i-ku na -taani","i-ku na -taani","{CL”}10+{and}{CL}5",NA,NA
"ndas1238-1","ndas1238-1-16-1",16,"i-ku na mu-tuba","i-ku na mu-tuba","{CL”}10+{and}{CL}6",NA,NA
"ndas1238-1","ndas1238-1-17-1",17,"i-ku na t͡saami","i-ku na t͡saami","{CL”}10+{and}{CL}7",NA,NA
"ndas1238-1","ndas1238-1-18-1",18,"i-ku na mwambi","i-ku na mwambi","{CL”}10+{and}{CL}8",NA,NA
"ndas1238-1","ndas1238-1-19-1",19,"i-ku n(a) i-vwa","i-ku n(a) i-vwa","{CL”}10+{and}{CL}9",NA,NA
"ndas1238-1","ndas1238-1-20-1",20,"ma-ku m-ɔɔlɛ","ma-ku m-ɔɔlɛ","{CL”’}10·{CL”’}2",NA,NA
"ndas1238-1","ndas1238-1-21-1",21,"ma-ku m-ɔɔlɛ na -ootu","ma-ku m-ɔɔlɛ na -ootu","({CL”’}10·{CL”’}2)+{and}1",NA,NA
"ndas1238-1","ndas1238-1-22-1",22,"ma-ku m-ɔɔlɛ na -ɔɔlɛ","ma-ku m-ɔɔlɛ na -ɔɔlɛ","({CL”’}10·{CL”’}2)+{and}2",NA,NA
"ndas1238-1","ndas1238-1-23-1",23,"ma-ku m-ɔɔlɛ na -saatu","ma-ku m-ɔɔlɛ na -saatu","({CL’”}10·{CL”’}2)+{and}3",NA,NA
"ndas1238-1","ndas1238-1-24-1",24,"ma-ku m-ɔɔlɛ na -nayi","ma-ku m-ɔɔlɛ na -nayi","({CL”’}10·{CL”’}2)+{and}4",NA,NA
"ndas1238-1","ndas1238-1-25-1",25,"ma-ku m-ɔɔlɛ na -taani","ma-ku m-ɔɔlɛ na -taani","({CL”}10·{CL”’}2)+{and}5",NA,NA
"ndas1238-1","ndas1238-1-26-1",26,"ma-ku m-ɔɔlɛ na mu-toba","ma-ku m-ɔɔlɛ na mu-toba","({CL”}10·{CL”’}2)+{and}6",NA,NA
"ndas1238-1","ndas1238-1-27-1",27,"ma-ku m-ɔɔlɛ na t͡saami","ma-ku m-ɔɔlɛ na t͡saami","({CL”}10·{CL”’}2)+{and}7",NA,NA
"ndas1238-1","ndas1238-1-28-1",28,"ma-ku m-ɔɔlɛ na mwambi","ma-ku m-ɔɔlɛ na mwambi","({CL”}10·{CL”’}2)+{and}8",NA,NA
"ndas1238-1","ndas1238-1-29-1",29,"ma-ku m-ɔɔlɛ n(a) i-vwa","ma-ku m-ɔɔlɛ n(a) i-vwa","({CL”}10·{CL”’}2)+{and}{CL}9",NA,NA
"ndas1238-1","ndas1238-1-30-1",30,"ma-ku ma-saatu","ma-ku ma-saatu","{CL”}10·{CL”’}3",NA,NA
"ndas1238-1","ndas1238-1-40-1",40,"ma-ku ma-nayi","ma-ku ma-nayi","{CL”}10·{CL”’}4",NA,NA
"ndas1238-1","ndas1238-1-50-1",50,"ma-ku ma-taani","ma-ku ma-taani","{CL”}10·{CL”’}5",NA,NA
"ndas1238-1","ndas1238-1-60-1",60,"ma-ku mu-tuba","ma-ku mu-tuba","{CL”}10·{CL”’}6",NA,NA
"ndas1238-1","ndas1238-1-70-1",70,"ma-ku t͡saami","ma-ku t͡saami","{CL”}10·7",NA,NA
"ndas1238-1","ndas1238-1-80-1",80,"ma-ku mwambi","ma-ku mwambi","{CL”}10·8",NA,NA
"ndas1238-1","ndas1238-1-90-1",90,"ma-ku i-vwa","ma-ku i-vwa","{CL”}10·{CL}8",NA,NA
"ndas1238-1","ndas1238-1-100-1",100,"kama","kama","100",NA,NA
"ndas1238-1","ndas1238-1-200-1",200,"ma-kama m-ɔɔlɛ","ma-kama m-ɔɔlɛ","{CL”}100·{CL”}2",NA,NA
"ndas1238-1","ndas1238-1-1000-1",1000,"i-ku d͡z-a ma-kama","i-ku d͡z-a ma-kama","{CL}10·{CL”}100",NA,"( 10 x 100 )"
