Language_ID,ID,Parameter_ID,Value,Form,Gloss,,Comment_Glosser
nyan1307-1,nyan1307-1-1-1,1,émʷè,émʷè,{CL}1,,
nyan1307-1,nyan1307-1-2-1,2,ìβíɾì,ìβíɾì,{CL’}2,,
nyan1307-1,nyan1307-1-3-1,3,ìʃɑ́tù,ìʃɑ́tù,{CL’}3,,
nyan1307-1,nyan1307-1-4-1,4,iːnɑ̀,iːnɑ̀,{CL’}4,,
nyan1307-1,nyan1307-1-5-1,5,ètɑ̀ːnò,ètɑ̀ːnò,{CL}5,,
nyan1307-1,nyan1307-1-6-1,6,mùkɑ́ːɡɑ̀,mùkɑ́ːɡɑ̀,{CL”}6,,
nyan1307-1,nyan1307-1-7-1,7,múʃɑ̀ˑⁿʒù,múʃɑ̀ˑⁿʒù,{CL”}7,,
nyan1307-1,nyan1307-1-8-1,8,mùnɑ̂ːnɑ̀,mùnɑ̂ːnɑ̀,{CL”}4+4,,
nyan1307-1,nyan1307-1-9-1,9,mʷèˑⁿdɑ̀,mʷèˑⁿdɑ̀,9,,
nyan1307-1,nyan1307-1-10-1,10,èⁱkúmì,èⁱkúmì,{CL}10,,
nyan1307-1,nyan1307-1-11-1,11,ìkúmì nèːmʷè,ìkúmì nèːmʷè,{CL’}10+{and}{CL}1,,
nyan1307-1,nyan1307-1-12-1,12,ìkúmì nèⁱβìɾì,ìkúmì nèⁱβìɾì,{CL’}10+{and}{CL’}2,,
nyan1307-1,nyan1307-1-13-1,13,ìkúmì nèⁱʃɑ̀tù,ìkúmì nèⁱʃɑ̀tù,{CL’}10+{and}{CL’}3,,
nyan1307-1,nyan1307-1-14-1,14,ìkúmì néⁱnɑ̀,ìkúmì néⁱnɑ̀,{CL’}10+{and}{CL’}4,,
nyan1307-1,nyan1307-1-15-1,15,ìkúmì nèⁱtɑ̀ːnò,ìkúmì nèⁱtɑ̀ːnò,{CL’}10+{and}{CL’}5,,
nyan1307-1,nyan1307-1-16-1,16,ìkúmì nɑ̀mùkɑ̂ːɡɑ̀,ìkúmì nɑ̀mùkɑ̂ːɡɑ̀,{CL’}10+{and}{CL”}6,,
nyan1307-1,nyan1307-1-17-1,17,ìkúmì nɑ̀mùʃɑ̀ˑⁿʒù,ìkúmì nɑ̀mùʃɑ̀ˑⁿʒù,{CL’}10+{and}{CL”}7,,
nyan1307-1,nyan1307-1-18-1,18,ìkúmì nɑ̀mùnɑ̂ːnɑ̀,ìkúmì nɑ̀mùnɑ̂ːnɑ̀,{CL’}10+{and}{CL”}4+4,,
nyan1307-1,nyan1307-1-19-1,19,ìkúmì nɑ̀mʷèˑⁿdɑ̀,ìkúmì nɑ̀mʷèˑⁿdɑ̀,{CL’}10+{and}9,,
nyan1307-1,nyan1307-1-20-1,20,(mɑ̀kúmì) ɑ̀ːβìɾì,(mɑ̀kúmì) ɑ̀ːβìɾì,"{CL”’}10·{CL""'}2",,
nyan1307-1,nyan1307-1-21-1,21,ɑ̀ːβìɾí néːmʷè,ɑ̀ːβìɾí néːmʷè,([10]·{CL”’}2)+{and}{CL}1,,10 is elipted
nyan1307-1,nyan1307-1-22-1,22,ɑ̀ːβìɾí nèⁱβìɾì,ɑ̀ːβìɾí nèⁱβìɾì,([10]·{CL”’}2)+{and}{CL’}2,,
nyan1307-1,nyan1307-1-23-1,23,ɑ̀ːβìɾí nèⁱʃɑ̀tù,ɑ̀ːβìɾí nèⁱʃɑ̀tù,([10]·{CL”’}2)+{and}{CL’}3,,
nyan1307-1,nyan1307-1-24-1,24,ɑ̀ːβìɾí nèⁱnɑ̀,ɑ̀ːβìɾí nèⁱnɑ̀,([10]·{CL”’}2)+{and}{CL’}4,,
nyan1307-1,nyan1307-1-25-1,25,ɑ̀ːβìɾí nèⁱtɑ̀ːnò,ɑ̀ːβìɾí nèⁱtɑ̀ːnò,([10]·{CL”’}2)+{and}{CL’}5,,
