Language_ID;ID;Parameter_ID;Value;Form;Gloss;Alternate_Gloss;Comment_Glosser
kele1257-1;kele1257-1-1-1;1;ìótò;ìótò;1;;NA
kele1257-1;kele1257-1-2-1;2;bìbá;bìbá;{CL}2;;NA
kele1257-1;kele1257-1-3-1;3;bìlálù;bìlálù;{CL}3;;NA
kele1257-1;kele1257-1-4-1;4;bìnáyì;bìnáyì;{CL}4;;NA
kele1257-1;kele1257-1-5-1;5;bìtánù;bìtánù;{CL}5;;NA
kele1257-1;kele1257-1-6-1;6;tánàótò;tánàótò;5’+{and}1;;NA
kele1257-1;kele1257-1-7-1;7;tánànàbìbá;tánànàbìbá;5+{and}{CL}2;;NA
kele1257-1;kele1257-1-8-1;8;tánànàbìlálù;tánànàbìlálù;5’+{and}{CL}3;;NA
kele1257-1;kele1257-1-9-1;9;tánùnàbìnáyì;tánùnàbìnáyì;5’+{and}{CL}3;;NA
kele1257-1;kele1257-1-10-1;10;dyòmù;dyòmù;10;;NA
kele1257-1;kele1257-1-21-1;21;màkōmɔ̄lɛ̄nāɔ́ŋkɔ́;màkōmɔ̄lɛ̄nāɔ́ŋkɔ́;?;;insufficient data
kele1257-2;kele1257-2-1-1;1;íwòtò;íwòtò;1;;NA
kele1257-2;kele1257-2-2-1;2;bíbá;bíbá;{CL}2;;NA
kele1257-2;kele1257-2-3-1;3;bílál;bílál;{CL}3;;(ù)
kele1257-2;kele1257-2-4-1;4;bíná;bíná;{CL}4;;NA
kele1257-2;kele1257-2-5-1;5;bítà;bítà;{CL}5;;NA
kele1257-2;kele1257-2-6-1;6;bítánáwòtò;bítánáwòtò;{CL}5+{and}{CL}1;;NA
kele1257-2;kele1257-2-7-1;7;bítánábíbá;bítánábíbá;{CL}5+{and}{CL}2;;nà
kele1257-2;kele1257-2-8-1;8;mwàmbì;mwàmbì;{CL}8;;mo+ambi? mo = class marker
kele1257-2;kele1257-2-9-1;9;bítánàbínà;bítánàbínà;{CL}5’+{and}{CL}4;;nà
kele1257-2;kele1257-2-10-1;10;dyómù;dyómù;10;;NA
kele1257-2;kele1257-2-11-1;11;dyómə́nàíwòtò;dyómə́nàíwòtò;10+{and}1;;NA
kele1257-2;kele1257-2-12-1;12;dyómúnàbíbá;dyómúnàbíbá;10+{and}2;;NA
kele1257-2;kele1257-2-13-1;13;dyómúnàbílálù;dyómúnàbílálù;10+{and}3’;;NA
kele1257-2;kele1257-2-14-1;14;dyómúnàbínà;dyómúnàbínà;10+{and}4;;NA
kele1257-2;kele1257-2-15-1;15;dyómúnàbítá;dyómúnàbítá;10+{and}5;;NA
kele1257-2;kele1257-2-16-1;16;dyómúnàtâꜜnáꜛwōtō;dyómúnàtâꜜnáꜛwōtō;10+{and}+{and}1;;NA
kele1257-2;kele1257-2-17-1;17;dyómúnàbítânàbíbá;dyómúnàbítânàbíbá;10+{and}+{and}2;;NA
kele1257-2;kele1257-2-18-1;18;dyómúnàbítânàbílálù;dyómúnàbítânàbílálù;10+{and}+{and}3’;;NA
kele1257-2;kele1257-2-19-1;19;dyómúnàbítânàbínà;dyómúnàbítânàbínà;10+{and}+{and}4;;NA
kele1257-2;kele1257-2-20-1;20;mìkámímbá;mìkámímbá;{CL}10’·{CL}2;;NA
kele1257-2;kele1257-2-21-1;21;mìkámìmbánàìwòtò;mìkámìmbánàìwòtò;({CL}10’·{CL}2)+{and}1;;NA
kele1257-2;kele1257-2-30-1;30;mìkámìlálù;mìkámìlálù;{CL}10’·{CL}3’;;NA
kele1257-2;kele1257-2-40-1;40;mìkámìná;mìkámìná;{CL}10’·{CL}4;;NA
kele1257-2;kele1257-2-50-1;50;mìkámìtá;mìkámìtá;{CL}10’·{CL}5;;NA
kele1257-2;kele1257-2-60-1;60;mìkámìtánàwòtò;mìkámìtánàwòtò;{CL}10’·({CL}5+{and}1);;NA
kele1257-2;kele1257-2-70-1;70;mìkámìtánàmìmbá;mìkámìtánàmìmbá;{CL}10’·({CL}5+{and}2);;NA
kele1257-2;kele1257-2-80-1;80;mìkámìmwâmbì;mìkámìmwâmbì;{CL}10’·{CL}8;;NA
kele1257-2;kele1257-2-90-1;90;mìkámìmwâmbìnàbìnà ??;mìkámìmwâmbìnàbìnà ??;?;;incomplete form: {CL}10’·({CL}8+??)
kele1257-2;kele1257-2-100-1;100;sínɛ̀;sínɛ̀;100;;NA
kele1257-3;kele1257-3-1-1;1;íwótó;íwótó;1;;NA
kele1257-3;kele1257-3-2-1;2;bə́bà;bə́bà;{CL}2;;NA
kele1257-3;kele1257-3-3-1;3;bə́rárè;bə́rárè;{CL}3;;NA
kele1257-3;kele1257-3-4-1;4;bə́náyɛ̀;bə́náyɛ̀;{CL}4;;NA
kele1257-3;kele1257-3-5-1;5;bə́tánè;bə́tánè;{CL}5;;NA
kele1257-3;kele1257-3-6-1;6;bə́tánàyíwótó;bə́tánàyíwótó;{CL}5+{and}{CL?}1;;yi = CL?
kele1257-3;kele1257-3-7-1;7;bə́tánàbə́bà;bə́tánàbə́bà;{CL}5+{and}{CL}2;;NA
kele1257-3;kele1257-3-8-1;8;bə́tánàbə́rárè;bə́tánàbə́rárè;{CL}5+{and}{CL}3;;NA
kele1257-3;kele1257-3-9-1;9;bə́tánàbə́náyè;bítánàbínà;{CL}5+{and}{CL}4’;;NA
kele1257-3;kele1257-3-10-1;10;dʒómɛ̀;dʒómɛ̀;10;;NA
kele1257-3;kele1257-3-11-1;11;dʒómɛ̀naỳíwótó;dʒómɛ̀naỳíwótó;10+{and}{CL}1;;NA
kele1257-3;kele1257-3-12-1;12;dʒómùnàbə́bà;dʒómùnàbə́bà;10+{and}{CL}2;;NA
kele1257-3;kele1257-3-13-1;13;dʒómúnàbə́rár;dʒómúnàbə́rár;10+{and}{CL}3;;(è)
kele1257-3;kele1257-3-14-1;14;dʒómúnàbə́náyɛ̀;dʒómúnàbə́náyɛ̀;10+{and}{CL}4;;NA
kele1257-3;kele1257-3-15-1;15;dʒómúnàbə́tán;dʒómúnàbə́tán;10+{and}{CL}5;;(ə̀)
kele1257-3;kele1257-3-16-1;16;dʒómúnàtánnàyíwótò;dʒómúnàtánnàyíwótò;10+{and}{CL}5+{and}{CL}1;;NA
kele1257-3;kele1257-3-17-1;17;dʒómúnàbə́tánnàbə́bà;dʒómúnàbə́tánnàbə́bà;10+{and}{CL}5+{and}{CL}2;;NA
kele1257-3;kele1257-3-18-1;18;dʒómúnàbə́tánàbə́rárɛ̀;dʒómúnàbə́tánàbə́rárɛ̀;10+{and}{CL}5+{and}{CL}3;;NA
kele1257-3;kele1257-3-19-1;19;dʒómúnàbə́tánnàbə́náyɛ̀;dʒómúnàbə́tánnàbə́náyɛ̀;10+{and}{CL}5+{and}{CL}4;;NA
kele1257-3;kele1257-3-20-1;20;màbómábà;màbómábà;{CL}10·{CL}2;;NA
kele1257-3;kele1257-3-21-1;21;màbómábànàyíwótò;màbómábànàyíwótò;({CL}10·{CL}2)+{and}1;;NA
kele1257-3;kele1257-3-30-1;30;màbómárárɛ̀;màbómárárɛ̀;{CL}10·{CL}3;;NA
kele1257-3;kele1257-3-40-1;40;màbómánáyɛ̀;màbómánáyɛ̀;{CL}10·{CL}4;;NA
kele1257-3;kele1257-3-50-1;50;màbómátánɛ̀;màbómátánɛ̀;{CL}10·{CL}5;;NA
kele1257-3;kele1257-3-60-1;60;màbómátánnàyíwótò;màbómátánnàyíwótò;{CL}10·({CL}5+{and}{CL}1);;NA
kele1257-3;kele1257-3-70-1;70;màbómátánàbə́bà;màbómátánàbə́bà;{CL}10·({CL}5+{and}{CL}2);;NA
kele1257-3;kele1257-3-80-1;80;màbómátánàbə́ráre;màbómátánàbə́ráre;{CL}10·({CL}5+{and}{CL}3);;(è)
kele1257-3;kele1257-3-90-1;90;màbómátánàbə́náyɛ̀;màbómátánàbə́náyɛ̀;{CL}10·({CL}5+{and}{CL}4);;NA
kele1257-3;kele1257-3-100-1;100;nlónè;nlónè;100;;NA
kele1257-4;kele1257-4-1-1;1;ɔ́ŋkɔ̄;ɔ́ŋkɔ̄;1;;NA
kele1257-4;kele1257-4-2-1;2;bɔ́lɛ̄;bɔ́lɛ̄;2;;NA
kele1257-4;kele1257-4-3-1;3;hátò;hátò;3;;NA
kele1257-4;kele1257-4-4-1;4;náyì;náyì;4;;NA
kele1257-4;kele1257-4-5-1;5;(n)táyì;(n)táyì;5;;NA
kele1257-4;kele1257-4-6-1;6;(n)tóbá;(n)tóbá;6;;NA
kele1257-4;kele1257-4-7-1;7;nàyìnàhátò;nàyìnàhátò;4+{and}3;;nà
kele1257-4;kele1257-4-8-1;8;mwàmbì;mwàmbì;8;;mo+ambi? mo = class marker
kele1257-4;kele1257-4-9-1;9;(n)táyínānàyi;(n)táyínānàyi;5+{and}4;;NA
kele1257-4;kele1257-4-10-1;10;dʒōmù;dʒōmù;10;;NA
kele1257-4;kele1257-4-11-1;11;dʒōmùnàɔ́ŋkɔ̄;dʒōmùnàɔ́ŋkɔ̄;10+{and}1;;NA
kele1257-4;kele1257-4-12-1;12;dʒōmùnàbɔ́lɛ̄;dʒōmùnàbɔ́lɛ̄;10+{and}2;;NA
kele1257-4;kele1257-4-13-1;13;dʒōmùnàhátò;dʒōmùnàhátò;10+{and}3;;NA
kele1257-4;kele1257-4-14-1;14;dʒōmùnànàyì;dʒōmùnànàyì;10+{and}4;;NA
kele1257-4;kele1257-4-15-1;15;dʒōmùnàntáyì;dʒōmùnàntáyì;10+{and}5;;NA
kele1257-4;kele1257-4-16-1;16;dʒōmùnàntóbà;dʒōmùnàntóbà;10+{and}6;;NA
kele1257-4;kele1257-4-17-1;17;dʒōmùnànàyìnàhátò;dʒōmùnànàyìnàhátò;10+{and}4+{and}3;;NA
kele1257-4;kele1257-4-18-1;18;dʒōmùnàmwàmbì;dʒōmùnàmwàmbì;10+{and}8;;NA
kele1257-4;kele1257-4-19-1;19;dʒōmùnàntáyínànàyì;dʒōmùnàntáyínànàyì;10+{and}5+{and}4;;NA
kele1257-4;kele1257-4-20-1;20;màkōmɔ̄lɛ̄;màkōmɔ̄lɛ̄;{CL}10·2;;NA
kele1257-4;kele1257-4-21-1;21;màkōmɔ̄lɛ̄nāɔ́ŋkɔ́;màkōmɔ̄lɛ̄nāɔ́ŋkɔ́;({CL}10·2)+{and}1;;NA
kele1257-4;kele1257-4-30-1;30;màkōmāhátò;màkōmāhátò;{CL}10·3;;NA
kele1257-4;kele1257-4-40-1;40;màkōmānàyì;màkōmānàyì;{CL}10·4;;NA
kele1257-4;kele1257-4-50-1;50;màkōmātáyì;màkōmātáyì;{CL}10·5;;NA
kele1257-4;kele1257-4-60-1;60;màkōntōbà;màkōntōbà;{CL}10·6;;NA
kele1257-4;kele1257-4-70-1;70;màkónàyìnàhátò;màkónàyìnàhátò;{CL}10·(4+{and}3);;NA
kele1257-4;kele1257-4-80-1;80;màkómwàmbì;màkómwàmbì;{CL}10·8;;NA
