glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
baga1270,twenty,ocoo kəmarəm,ocookamaram,,FALSE,10·{CL’}2,,
baga1270,twentyone,ocoo kəmarəm dipiinaŋ,ocookamaramdipiinang,,FALSE,(10·{CL’}2)+1,,
baga1270,twentytwo,ocoo kəmarəm dimarəmaŋ,ocookamaramdimaramang,,FALSE,(10·{CL’}2)+2,,
baga1270,twentythree,ocoo kəmarəm dimasaasaŋ,ocookamaramdimasaasang,,FALSE,(10·{CL’}2)+3,,
baga1270,twentyfour,ocoo kəmarəm maaŋkəlɛɛŋaŋ,ocookamarammaangkaleengang,,FALSE,(10·{CL’}2)+4,,
baga1270,twentyfive,ocoo kəmarəm dikəcaamətaŋ,ocookamaramdikacaamatang,,FALSE,(10·{CL’}2)+5,,
baga1270,twentysix,ocoo kəmarəm dikəcaamtr tiinaŋ,ocookamaramdikacaamtrtiinang,,FALSE,(10·{CL’}2)+5+1,,
baga1270,twentyseven,ocoo kəmarəm dikəcaamtr marəmaŋ,ocookamaramdikacaamtrmaramang,,FALSE,(10·{CL’}2)+5+2,,
baga1270,twentyeight,ocoo kəmarəm dikəcaamtr masaasaŋ,ocookamaramdikacaamtrmasaasang,,FALSE,(10·{CL’}2)+5+3,,
baga1270,twentynine,ocoo kəmarəm dikəcaamtr maaŋkəlɛɛŋaŋ,ocookamaramdikacaamtrmaangkaleengang,,FALSE,(10·{CL’}2)+5+4,,
baga1270,thirty,ocoo kəmasaas,ocookamasaas,,FALSE,10·{CL’}3,,
baga1270,forty,ocoo kəmaaŋkəlɛɛŋ,ocookamaangkaleeng,,FALSE,10·{CL’}4,,
baga1270,fifty,ocoo kəcaamət,ocookacaamat,,FALSE,10·{CL’}5,,
baga1270,sixty,ocoo kəcaamtr tiin,ocookacaamtrtiin,(aŋ),FALSE,10·({CL’}5+1),,
baga1270,seventy,ocoo kəcaamtr marəm,ocookacaamtrmaram,(aŋ),FALSE,10·({CL’}5+2),,
baga1270,eighty,ocoo kəcaamtr masas,ocookacaamtrmasas,(aŋ),FALSE,10·({CL’}5+3),,
baga1270,ninety,ocoo kəcaamtr maaŋkəlɛɛŋ,ocookacaamtrmaangkaleeng,(aŋ),FALSE,10·({CL’}5+4),,
baga1270,hundred,asaar ŋiiŋ,asaarngiing,,FALSE,100·1,,
baga1270,twohundred,isaar marəm,isaarmaram,,FALSE,100·2,,
baga1270,thousand,awul ŋiiŋ,awulngiing,( from Susu ),FALSE,1000·1,,
baga1270,twothousand,iwul marəm,iwulmaram,,FALSE,1000·2,,
baga1272,one,pin,pin,,FALSE,1,,
baga1272,two,mɛrɨŋ,mering,,FALSE,2,,
baga1272,three,maːs,mas,,FALSE,3,,
baga1272,three,mãs,mas,,FALSE,4,,
baga1272,four,maŋkɨlɛ,mangkile,,FALSE,5,,
baga1272,five,kɨt͡ʃamɨt,kitsamit,,FALSE,{CL}5,,
baga1272,six,t͡ʃamɨtin,tsamitin,( 5 + 1 ),FALSE,5+{and}1’,,
baga1272,seven,t͡ʃamɨmɛrɨŋ,tsamimering,( 5 + 2 ),FALSE,5+{and}2,,
baga1272,eight,t͡ʃamɨmaːs,tsamimas,( 5 + 3 ),FALSE,5+{and}3,,
baga1272,nine,t͡ʃamɨmaŋkɨlɛ,tsamimangkile,( 5 + 4 ),FALSE,5+{and}4,,
baga1272,ten,wɨt͡ʃɔ,witso,,FALSE,10,,
baga1272,eleven,wɨt͡ʃɔ kɔ pin,witsokopin,,FALSE,10+{and}1’,,
baga1272,twelve,wɨt͡ʃɔ kɔ mɛrɨŋ,witsokomering,,FALSE,10+{and}2,,
baga1272,thirteen,wɨt͡ʃɔ kɔ maːs,witsokomas,,FALSE,10+{and}3,,
baga1272,fourteen,wɨt͡ʃɔ kɔ maŋkɨlɛ,witsokomangkile,,FALSE,10+{and}4,,
baga1272,fifteen,wɨt͡ʃɔ kɔ kɨt͡ʃamɨt,witsokokitsamit,,FALSE,10+{and}{CL}5,,
baga1272,sixteen,wɨt͡ʃɔ kɔ t͡ʃamɨtin,witsokotsamitin,,FALSE,10+{and}5+1’,,
baga1272,seventeen,wɨt͡ʃɔ kɔ t͡ʃamɨmɛrɨŋ,witsokotsamimering,,FALSE,10+{and}5+{+}2,,
baga1272,eighteen,wɨt͡ʃɔ kɔ t͡ʃamɨmaːs,witsokotsamimas,,FALSE,10+{and}5+{+}3,,
baga1272,nineteen,wɨt͡ʃɔ kɔ t͡ʃamɨmaŋkɨlɛ,witsokotsamimangkile,,FALSE,10+{and}5+{+}4,,
baga1272,twenty,wɨt͡ʃɔ mɛrɨŋ,witsomering,,FALSE,10·2,,
baga1272,twentyone,wɨt͡ʃɔ mɛrɨŋ kɔ pin,witsomeringkopin,,FALSE,(10·2)+1,,
baga1272,twentytwo,wɨt͡ʃɔ mɛrɨŋ kɔ mɛrɨŋ,witsomeringkomering,,FALSE,(10·2)+2,,
baga1272,twentythree,wɨt͡ʃɔ mɛrɨŋ kɔ maːs,witsomeringkomas,,FALSE,(10·2)+3,,
