glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
sout2778,nine,ŋǒmàhìɔ́ɔ́lú,ngomahioolu,( 5 + 4 ),FALSE,5+4’,,
sout2778,ten,tɔ́,to,,FALSE,10,,
sout2778,eleven,tɔ́-á-pìlɛ̀ɛ́,toapilee,,FALSE,10+{and}1,,
sout2778,twelve,tɔ́-á-mùúŋ,toamuung,,FALSE,10+{and}2,,
sout2778,thirteen,tɔ́-á-yàá,toayaa,,FALSE,10+{and}3,,
sout2778,fourteen,tɔ́-á-hìɔ́ɔ́lu,toahioolu,,FALSE,10+{and}4,,
sout2778,fifteen,tɔ́-á-ŋùɛ̀ɛ́nú,toangueenu,,FALSE,10+{and}5,,
sout2778,sixteen,tɔ́-á-ŋǒmpûm,toangompum,,FALSE,10+{and}5+1’,,
sout2778,seventeen,tɔ́-á-ŋǒmɛ́ú,toangomeu,,FALSE,10+{and}5+2,,
sout2778,eighteen,tɔ́-á-ŋǒmáá,toangomaa,,FALSE,10+{and}5+3,,
sout2778,nineteen,tɔ́-á-ŋǒmàhìɔ́ɔ́lú,toangomahioolu,,FALSE,10+{and}5+4,,
sout2778,twenty,bídìíŋ,bidiing,,FALSE,10’·2,,
sout2778,twentyone,bídìíŋ-á-pìlɛ́,bidiingapile,,FALSE,(10’·2)+1,,
sout2778,twentytwo,bídìíŋ-á-mùúŋ,bidiingamuung,,FALSE,(10’·2)+2,,
sout2778,twentythree,bídìíŋ-á-yàá,bidiingayaa,,FALSE,(10’·2)+3,,
sout2778,twentyfour,bídìíŋ-á-hìɔ́ɔ́lú,bidiingahioolu,,FALSE,(10’·2)+4,,
sout2778,twentyfive,bídìíŋ-á-ŋùɛ̀ɛ́nú,bidiingangueenu,,FALSE,(10’·2)+5,,
sout2778,twentysix,bídìíŋ-á-ŋǒmpûm,bidiingangompum,,FALSE,(10’·2)+5+1,,
sout2778,twentyseven,bídìíŋ-á-ŋǒmɛ́ú,bidiingangomeu,,FALSE,(10’·2)+5+2,,
sout2778,twentyeight,bídìíŋ-á-ŋǒmáá,bidiingangomaa,,FALSE,(10’·2)+5+3,,
sout2778,twentynine,bídìíŋ-á-ŋǒmàhìɔ́ɔ́lú,bidiingangomahioolu,,FALSE,(10’·2)+5+4,,
sout2778,thirty,bélé-yáá,beleyaa,,FALSE,10’·3,,
sout2778,forty,bélé-hìɔ́ɔ́lú,belehioolu,,FALSE,10’·4,,
sout2778,fifty,bélé-ŋùɛ̀ɛ́nú,belengueenu,,FALSE,10’·5,,
sout2778,sixty,bélé-ŋǒmpûm,belengompum,,FALSE,10’·(5+1’),,
sout2778,seventy,bélé-ŋǒmɛ́ú,belengomeu,,FALSE,10’·(5+2),,
sout2778,eighty,bélé-ŋǒmáá,belengomaa,,FALSE,10’·(5+3),,
sout2778,ninety,bélé-ŋǒmàhìɔ́ɔ́lú,belengomahioolu,,FALSE,10’·(5+4),,
sout2778,hundred,kɛ̀mɛ̀,keme,( 'kɛ̀mɛ 'from Soso ),FALSE,100,,
sout2778,twohundred,kɛ̀mɔ̀ɔ̀ lèdìíŋ,kemoolediing,,FALSE,100+{and}1,,
sout2778,thousand,wàá,waa,,FALSE,1000,,
sout2778,thousand,wúli,wuli,( from Soso ),FALSE,1000',,
sout2778,twothousand,wàáláŋ lèdìíŋ,waalanglediing,,FALSE,1000·2,,
timn1235,one,pín,pin,,FALSE,1,,
timn1235,two,pɨrʌ́ŋ,pirng,,FALSE,2,,
timn1235,three,pɨsas,pisas,,FALSE,3,,
timn1235,four,panlɛ,panle,,FALSE,4,,
timn1235,five,tamát̪,tamat,,FALSE,5,,
timn1235,six,dukín,dukin,( 5 + 1 ),FALSE,5’+1’,,
timn1235,seven,dɛrɨ́ŋ,dering,( 5 + 2 ),FALSE,5’+2,,
timn1235,eight,dɛsas,desas,( 5 + 3 ),FALSE,5’+3,,
timn1235,nine,dɛŋanlɛ,denganle,( 5 + 4 ),FALSE,5’+4,,
timn1235,ten,tɔfɔ́t,tofot,,FALSE,10,,
timn1235,eleven,tɔfɔ́t 'pín,tofotpin,,FALSE,10+1,,
timn1235,twelve,tɔfɔ́t pɨrʌ́ŋ,tofotpirng,,FALSE,10+2,,
timn1235,thirteen,tɔfɔ́t pɨsas,tofotpisas,,FALSE,10+3,,
timn1235,fourteen,tɔfɔ́t panlɛ,tofotpanle,,FALSE,10+4,,
timn1235,fifteen,tɔfɔ́t tamát̪,tofottamat,,FALSE,10+5,,
timn1235,sixteen,tɔfɔ́t tamt̪úru'́kín,tofottamturukin,,FALSE,10+5+1,,
timn1235,seventeen,tɔfɔ́t tamt̪ɨ́dɛ́'rɨ́ŋ,tofottamtidering,,FALSE,10+5+2,,
timn1235,eighteen,tɔfɔ́t tamt̪ɨrɛ́sas,tofottamtiresas,,FALSE,10+5+3,,
timn1235,nineteen,tɔfɔ́t tamt̪ɨrɛ́ŋanlɛ,tofottamtirenganle,,FALSE,10+5+4,,
timn1235,twenty,kɨɡbá,kigba,,FALSE,20,,
timn1235,twentyone,kɨɡbá 'wín,kigbawin,,FALSE,20+1,,
timn1235,twentytwo,kɨɡbá marʌ́ŋ,kigbamarng,,FALSE,20+2,,
timn1235,twentythree,kɨɡbá mɨsas,kigbamisas,,FALSE,20+3,,
timn1235,twentyfour,kɨɡbá manlɛ,kigbamanle,,FALSE,20+4,,
timn1235,twentyfive,kɨɡbá tamat̪,kigbatamat,,FALSE,20+5,,
timn1235,twentysix,kɨɡbá tamt̪úru'́kín,kigbatamturukin,,FALSE,20+5+1,,
timn1235,twentyseven,kɨɡbá tamt̪ɨ́dɛ́'rɨ́ŋ,kigbatamtidering,,FALSE,20+5+2,,
timn1235,twentyeight,kɨɡbá tamt̪ɨrɛ́sas,kigbatamtiresas,,FALSE,20+5+3,,
timn1235,twentynine,kɨɡbá tamt̪ɨrɛ́ŋanlɛ,kigbatamtirenganle,,FALSE,20+5+4,,
timn1235,thirty,kɨɡbá 'tɔ́fɔ́t,kigbatofot,,FALSE,20+10,,
timn1235,forty,tɨɡbá tɨ́ˈrɨ́ŋ,tigbatiring,( 20 x 2 ),FALSE,20·2,,
timn1235,fifty,tɨɡbá tɨ́ˈrɨ́ŋ 'tɔ́fɔ́t,tigbatiringtofot,,FALSE,(20·2)+10,,
timn1235,sixty,tɨɡbá tɨ́sas,tigbatisas,( 20 x 3 ),FALSE,20·3,,
timn1235,seventy,tɨɡbá tɨ́sas tɔ́fɔ́t,tigbatisastofot,,FALSE,(20·3)+10,,
timn1235,eighty,tɨɡbá tânlɛ,tigbatanle,( 20 x 4 ),FALSE,20·4,,
timn1235,ninety,tɨɡbá tânlɛ tɔ́fɔ́t,tigbatanletofot,,FALSE,(20·4)+10,,
timn1235,hundred,kɛmɛ́ kín,kemekin,,FALSE,100·1,,
timn1235,twohundred,tɛmɛ́ tɨ́'rɨ́ŋ,temetiring,,FALSE,100’·2,,
timn1235,thousand,ʌwúl 'ŋín,wulngin,,FALSE,1000·1,,
timn1235,twothousand,ɛwúl jɛrɨ́ŋ,ewuljering,,FALSE,1000·2,,
west2450,one,hantʰe,hanthe,,FALSE,1,,
west2450,two,kaaye,kaaye,,FALSE,2,,
west2450,three,kataati,kataati,,FALSE,3,,
west2450,four,kanaŋ,kanang,,FALSE,4,,
west2450,five,kasɔhi,kasohi,,FALSE,5,,
west2450,six,kasɔŋ hantʰe,kasonghanthe,( 5 + 1 ),FALSE,5+1,,
west2450,seven,kasɔŋ kaaye,kasongkaaye,( 5 + 2 ),FALSE,5+2,,
west2450,eight,kasɔŋ kataati,kasongkataati,( 5 + 3 ),FALSE,5+3,,
west2450,nine,kasɔŋ kanaŋ,kasongkanang,( 5 + 4 ),FALSE,5+4,,
west2450,ten,kɔɔhi,koohi,,FALSE,10,,
west2450,eleven,kɔɔhi e hantʰe,koohiehanthe,,FALSE,10+1,,
west2450,twelve,kɔɔhi e kaaye,koohiekaaye,,FALSE,10+2,,
west2450,thirteen,kɔɔhi e kataati,koohiekataati,,FALSE,10+3,,
west2450,fourteen,kɔɔhi e kanaŋ,koohiekanang,,FALSE,10+4,,
west2450,fifteen,kɔɔhi e kasɔhi,koohiekasohi,,FALSE,10+5,,
west2450,sixteen,kɔɔhi e kasɔŋ hantʰe,koohiekasonghanthe,,FALSE,10+5+1,,
west2450,seventeen,kɔɔhi e kasɔŋ kaaye,koohiekasongkaaye,,FALSE,10+5+2,,
west2450,eighteen,kɔɔhi e kasɔŋ kataati,koohiekasongkataati,,FALSE,10+5+3,,
west2450,nineteen,kɔɔhi e kasɔŋ kanaŋ,koohiekasongkanang,,FALSE,10+5+4,,
west2450,twenty,kɔntʰɔ kaaye,konthokaaye,,FALSE,10·2,,
west2450,twentyone,kɔntʰɔ kaye e hanʰte,konthokayeehanhte,,FALSE,(10·2)+1,,
west2450,twentytwo,kɔntʰɔ kaye e kale,konthokayeekale,,FALSE,(10·2)+2,,
west2450,twentythree,kɔntʰɔ kaye e katati,konthokayeekatati,,FALSE,(10·2)+3,,
west2450,twentyfour,kɔntʰɔ kaye e kanaŋ,konthokayeekanang,,FALSE,(10·2)+4,,
west2450,twentyfive,kɔntʰɔ kaye e kasɔhi,konthokayeekasohi,,FALSE,(10·2)+5,,
west2450,twentysix,kɔntʰɔ kaye e kasɔŋ hantʰe,konthokayeekasonghanthe,,FALSE,(10·2)+5+1,,
west2450,twentyseven,kɔntʰɔ kaye e kasɔŋ kaaye,konthokayeekasongkaaye,,FALSE,(10·2)+5+2,,
west2450,twentyeight,kɔntʰɔ kaye e kasɔŋ kataati,konthokayeekasongkataati,,FALSE,(10·2)+5+3,,
west2450,twentynine,kɔntʰɔ kaye e kasɔŋ kanaŋ,konthokayeekasongkanang,,FALSE,(10·2)+5+4,,
west2450,thirty,kɔntʰɔ kataati,konthokataati,,FALSE,10·3,,
west2450,forty,kɔntʰɔ kanaŋ,konthokanang,,FALSE,10·4,,
west2450,fifty,kɔntʰɔ kasɔhi,konthokasohi,,FALSE,10·5,,
west2450,sixty,kɔntʰɔ kasɔŋ hantʰe,konthokasonghanthe,,FALSE,10·(5+1),,
west2450,seventy,kɔntʰɔ kasɔŋ kaaye,konthokasongkaaye,,FALSE,10·(5+2),,
west2450,eighty,kɔntʰɔ kasɔŋ kataati,konthokasongkataati,,FALSE,10·(5+3),,
west2450,ninety,kɔntʰɔ kasɔŋ kanaŋ,konthokasongkanang,,FALSE,10·(5+4),,
west2450,hundred,kɛmɛ hantʰɛ,kemehanthe,,FALSE,100·1,,
west2450,twohundred,kɛmɛ kaye,kemekaye,,FALSE,100·2,,
west2450,thousand,wulu wuntʰe,wuluwunthe,,FALSE,1000·1,,
west2450,twothousand,wulu biyee,wulubiyee,,FALSE,1000·2,,
