ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor
numerals-khan1278-1-one-1;numerals-khan1278-1;Chan2019;one;1;zĩ̀ĩ̀;zii;
numerals-khan1278-1-two-1;numerals-khan1278-1;Chan2019;two;2;bàɛ̀;bae;
numerals-khan1278-1-three-1;numerals-khan1278-1;Chan2019;three;3;tàā;taa;
numerals-khan1278-1-four-1;numerals-khan1278-1;Chan2019;four;4;nìà;nia;
numerals-khan1278-1-five-1;numerals-khan1278-1;Chan2019;five;5;òʔòò;ooo;
numerals-khan1278-1-six-1;numerals-khan1278-1;Chan2019;six;6;ìnìʔĩ̀;inii;
numerals-khan1278-1-seven-1;numerals-khan1278-1;Chan2019;seven;7;ɛ̀rɛ̀-bà;ereba;( 5+2 )
numerals-khan1278-1-eight-1;numerals-khan1278-1;Chan2019;eight;8;ɛ̀rɛ̀-tàā;eretaa;( 5+3 )
numerals-khan1278-1-nine-1;numerals-khan1278-1;Chan2019;nine;9;ɛ̀rɛ̀-nìà;erenia;( 5+4 )
numerals-khan1278-1-ten-1;numerals-khan1278-1;Chan2019;ten;10;lòb;lob;
numerals-khan1278-1-eleven-1;numerals-khan1278-1;Chan2019;eleven;11;lòb lè à-zĩ̀ì;lobleazii;
numerals-khan1278-1-twelve-1;numerals-khan1278-1;Chan2019;twelve;12;lòb lè bàɛ̀;loblebae;
numerals-khan1278-1-thirteen-1;numerals-khan1278-1;Chan2019;thirteen;13;lòb lè tàā;lobletaa;
numerals-khan1278-1-fourteen-1;numerals-khan1278-1;Chan2019;fourteen;14;lòb lè nìà;loblenia;
numerals-khan1278-1-fifteen-1;numerals-khan1278-1;Chan2019;fifteen;15;lòb lè òʔòò;lobleooo;
numerals-khan1278-1-sixteen-1;numerals-khan1278-1;Chan2019;sixteen;16;lòb lè ìnìʔĩ̀;lobleinii;
numerals-khan1278-1-seventeen-1;numerals-khan1278-1;Chan2019;seventeen;17;lòb lè ɛ̀rɛ̀-bà;lobleereba;
numerals-khan1278-1-eighteen-1;numerals-khan1278-1;Chan2019;eighteen;18;lòb lè ɛ̀rɛ̀-tàā;lobleeretaa;
numerals-khan1278-1-nineteen-1;numerals-khan1278-1;Chan2019;nineteen;19;lòb lè ɛ̀rɛ̀-nìà;lobleerenia;
numerals-khan1278-1-twenty-1;numerals-khan1278-1;Chan2019;twenty;20;tūb;tub;
numerals-khan1278-1-twentyone-1;numerals-khan1278-1;Chan2019;twentyone;21;tūb lè à-zĩ̀ĩ̀;tubleazii;
numerals-khan1278-1-twentytwo-1;numerals-khan1278-1;Chan2019;twentytwo;22;tūb lè bàɛ̀;tublebae;
numerals-khan1278-1-twentythree-1;numerals-khan1278-1;Chan2019;twentythree;23;tūb lè tàā;tubletaa;
numerals-khan1278-1-twentyfour-1;numerals-khan1278-1;Chan2019;twentyfour;24;tūb lè nìà;tublenia;
numerals-khan1278-1-twentyfive-1;numerals-khan1278-1;Chan2019;twentyfive;25;tūb lè òʔòò;tubleooo;
numerals-khan1278-1-twentysix-1;numerals-khan1278-1;Chan2019;twentysix;26;tūb lè ìnìʔĩ̀;tubleinii;
numerals-khan1278-1-twentyseven-1;numerals-khan1278-1;Chan2019;twentyseven;27;tūb lè ɛ̀rɛ̀-bà;tubleereba;
numerals-khan1278-1-twentyeight-1;numerals-khan1278-1;Chan2019;twentyeight;28;tūb lè ɛ̀rɛ̀-tàā;tubleeretaa;
numerals-khan1278-1-twentynine-1;numerals-khan1278-1;Chan2019;twentynine;29;tūb lè ɛ̀rɛ̀-nìà;tubleerenia;
numerals-khan1278-1-thirty-1;numerals-khan1278-1;Chan2019;thirty;30;tūb lè lòb;tublelob;( 20 +10 )
numerals-khan1278-1-forty-1;numerals-khan1278-1;Chan2019;forty;40;bàɛ̀ tūb;baetub;( 2 x  20 )
numerals-khan1278-1-fifty-1;numerals-khan1278-1;Chan2019;fifty;50;bàɛ̀ tūb lè lòb;baetublelob;
numerals-khan1278-1-sixty-1;numerals-khan1278-1;Chan2019;sixty;60;tàā tūb;taatub;( 3 x  20 )
numerals-khan1278-1-seventy-1;numerals-khan1278-1;Chan2019;seventy;70;tàā tūb lè lòb;taatublelob;
numerals-khan1278-1-eighty-1;numerals-khan1278-1;Chan2019;eighty;80;nìà tūb;niatub;( 4 x  20 )
numerals-khan1278-1-ninety-1;numerals-khan1278-1;Chan2019;ninety;90;nìà tūb lè lòb;niatublelob;
numerals-khan1278-1-hundred-1;numerals-khan1278-1;Chan2019;hundred;100;òʔòò tūb;oootub;( 5 x  20 )
numerals-khan1278-1-twohundred-1;numerals-khan1278-1;Chan2019;twohundred;200;lòb tūb;lobtub;( 10 x  20 )
numerals-khan1278-1-fourhundred-1;numerals-khan1278-1;Chan2019;fourhundred;400;bóó;boo;
numerals-khan1278-1-thousand-1;numerals-khan1278-1;Chan2019;thousand;1000;bàɛ̀ bóó lè lòb tūb;baeboolelobtub;( 800+200 )
numerals-khan1278-1-twothousand-1;numerals-khan1278-1;Chan2019;twothousand;2000;òʔòò bóó;oooboo;( 5 x 400)
