ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
numerals-nort2774-1-one-1,numerals-nort2774-1,Chan2019,one,1,kɔi,koi,,FALSE,1,,,
numerals-nort2774-1-two-1,numerals-nort2774-1,Chan2019,two,2,sɛ,se,,FALSE,2,,,
numerals-nort2774-1-three-1,numerals-nort2774-1,Chan2019,three,3,ta,ta,,FALSE,3,,,
numerals-nort2774-1-four-1,numerals-nort2774-1,Chan2019,four,4,siɔ,sio,,FALSE,4,,,
numerals-nort2774-1-five-1,numerals-nort2774-1,Chan2019,five,5,kɔ̃,ko,,FALSE,5,,,
numerals-nort2774-1-six-1,numerals-nort2774-1,Chan2019,six,6,mana,mana,,FALSE,6,,,
numerals-nort2774-1-seven-1,numerals-nort2774-1,Chan2019,seven,7,mbara mbara,mbarambara,,FALSE,7,,,
numerals-nort2774-1-eight-1,numerals-nort2774-1,Chan2019,eight,8,miambe,miambe,,FALSE,8,,,
numerals-nort2774-1-nine-1,numerals-nort2774-1,Chan2019,nine,9,ɡumbaya,gumbaya,,FALSE,9,,,
numerals-nort2774-1-ten-1,numerals-nort2774-1,Chan2019,ten,10,sui kɔi,suikoi,,FALSE,10·1,,,
numerals-nort2774-1-eleven-1,numerals-nort2774-1,Chan2019,eleven,11,sui kɔi ndoni kɔi,suikoindonikoi,,FALSE,(10·1)+{LIG}1,,,
numerals-nort2774-1-twelve-1,numerals-nort2774-1,Chan2019,twelve,12,sui kɔi ndoni sɛ,suikoindonise,,FALSE,(10·1)+{LIG}2,,,
numerals-nort2774-1-thirteen-1,numerals-nort2774-1,Chan2019,thirteen,13,sui kɔi ndoni ta,suikoindonita,,FALSE,(10·1)+{LIG}3,,,
numerals-nort2774-1-fourteen-1,numerals-nort2774-1,Chan2019,fourteen,14,sui kɔi ndoni siɔ,suikoindonisio,,FALSE,(10·1)+{LIG}4,,,
numerals-nort2774-1-fifteen-1,numerals-nort2774-1,Chan2019,fifteen,15,sui kɔi ndoni kɔ̃,suikoindoniko,,FALSE,(10·1)+{LIG}5,,,
