,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-kara1497-1-one-1,barlowpacific-kara1497-1,Barlow2024,one,1,botie,botie,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",1
2,barlowpacific-kara1497-1-two-1,barlowpacific-kara1497-1,Barlow2024,two,2,kipainoe,kipainoe,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",2
3,barlowpacific-kara1497-1-three-1,barlowpacific-kara1497-1,Barlow2024,three,3,kipai-ia,kipaiia,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",3
4,barlowpacific-kara1497-1-four-1,barlowpacific-kara1497-1,Barlow2024,four,4,mosokoto,mosokoto,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",4
5,barlowpacific-kara1497-1-five-1,barlowpacific-kara1497-1,Barlow2024,five,5,tu-poro,tuporo,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",5
6,barlowpacific-kara1497-1-seven-1,barlowpacific-kara1497-1,Barlow2024,seven,7,diri,diri,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",7
7,barlowpacific-kara1497-1-eight-1,barlowpacific-kara1497-1,Barlow2024,eight,8,ma,ma,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",8
8,barlowpacific-kara1497-1-nine-1,barlowpacific-kara1497-1,Barlow2024,nine,9,ta-o,tao,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",9
9,barlowpacific-kara1497-1-ten-1,barlowpacific-kara1497-1,Barlow2024,ten,10,taura,taura,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",10
10,barlowpacific-kara1497-1-twenty-1,barlowpacific-kara1497-1,Barlow2024,twenty,20,magagai,magagai,,FALSE,?,"No data between 10 and 20; there is no indication of arithmetic derivations, but it is also not possible to rule out that these are merely body part terms (used in a body-part tally)",20
