,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-bumb1241-1-one-1,numerals-bumb1241-1,Chan2019,one,1,tihɪtene,tihitene,"I, II; (lit. one thing)",FALSE,1,,
2,numerals-bumb1241-1-two-1,numerals-bumb1241-1,Chan2019,two,2,mbɔhɪtɔm,mbohitom,"I, II; (lit. two things)",FALSE,2,,
3,numerals-bumb1241-1-three-1,numerals-bumb1241-1,Chan2019,three,3,wenihɪtɔm,wenihitom,"I, II; (lit. three things)",FALSE,3,,
4,numerals-bumb1241-1-four-1,numerals-bumb1241-1,Chan2019,four,4,mbɔmbɔhɪtɔm,mbombohitom,"I, II; (lit. four things)",FALSE,2[+]2,,
5,numerals-bumb1241-1-five-1,numerals-bumb1241-1,Chan2019,five,5,sɔmbrɔp iʔirine,sombropiirine,I; (lit. one palm),FALSE,5[⋅]1′,‘palm one’,
6,numerals-bumb1241-1-five-2,numerals-bumb1241-1,Chan2019,five,5,reŋger iʔirine,renggeriirine,II; (lit. one hand),FALSE,5′[⋅]1′,‘hand one’,
7,numerals-bumb1241-1-six-1,numerals-bumb1241-1,Chan2019,six,6,sɔmbrɔp iʔirine tihɪtene,sombropiirinetihitene,I; (5+1),FALSE,(5[⋅]1′)[+]1,,
8,numerals-bumb1241-1-six-2,numerals-bumb1241-1,Chan2019,six,6,reŋger iʔirine tihɪtene,renggeriirinetihitene,II; (5+1),FALSE,(5′[⋅]1′)[+]1,,
9,numerals-bumb1241-1-six-3,numerals-bumb1241-1,Chan2019,six,6,mbɔmbɔhɪtɔm mbɔhɪtɔm,mbombohitommbohitom,II; (4+2),FALSE,2[+]2[+]2,,
10,numerals-bumb1241-1-six-4,numerals-bumb1241-1,Chan2019,six,6,wenihɪtɔm wenihɪtɔm,wenihitomwenihitom,II; (3+3),FALSE,3[+]3,,
11,numerals-bumb1241-1-seven-1,numerals-bumb1241-1,Chan2019,seven,7,sɔmbrɔp iʔirine mbɔhɪtɔm,sombropiirinembohitom,I; (5+2),FALSE,(5[⋅]1′)[+]2,,
12,numerals-bumb1241-1-seven-2,numerals-bumb1241-1,Chan2019,seven,7,reŋger iʔirine mbɔhɪtɔm,renggeriirinembohitom,II; (5+2),FALSE,(5′[⋅]1′)[+]2,,
13,numerals-bumb1241-1-seven-3,numerals-bumb1241-1,Chan2019,seven,7,mbɔmbɔhɪtɔm wenihɪtɔm,mbombohitomwenihitom,II; (4+3),FALSE,2[+]2[+]3,,
14,numerals-bumb1241-1-seven-4,numerals-bumb1241-1,Chan2019,seven,7,wenihɪtɔm wenihɪtɔm tihɪtene,wenihitomwenihitomtihitene,II; (3+3+1),FALSE,3[+]3[+]1,,
15,numerals-bumb1241-1-eight-1,numerals-bumb1241-1,Chan2019,eight,8,sɔmbrɔp iʔirine wenihɪtɔm,sombropiirinewenihitom,I; (5+3),FALSE,(5[⋅]1′)[+]3,,
16,numerals-bumb1241-1-eight-2,numerals-bumb1241-1,Chan2019,eight,8,reŋger iʔirine wenihɪtɔm,renggeriirinewenihitom,II; (5+3),FALSE,(5′[⋅]1′)[+]3,,
17,numerals-bumb1241-1-eight-3,numerals-bumb1241-1,Chan2019,eight,8,mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm,mbombohitommbombohitom,II; (4+4),FALSE,2[+]2[+]2[+]2,,
18,numerals-bumb1241-1-eight-4,numerals-bumb1241-1,Chan2019,eight,8,wenihɪtɔm wenihɪtɔm mbɔhɪtɔm,wenihitomwenihitommbohitom,II; (3+3+2),FALSE,3[+]3[+]2,,
19,numerals-bumb1241-1-nine-1,numerals-bumb1241-1,Chan2019,nine,9,sɔmbrɔp iʔirine mbɔmbɔhɪtɔm,sombropiirinembombohitom,I; (5+4),FALSE,(5[⋅]1′)[+]2[+]2,,
20,numerals-bumb1241-1-nine-2,numerals-bumb1241-1,Chan2019,nine,9,reŋger iʔirine mbɔmbɔhɪtɔm,renggeriirinembombohitom,II; (5+4),FALSE,(5′[⋅]1′)[+]2[+]2,,
21,numerals-bumb1241-1-nine-3,numerals-bumb1241-1,Chan2019,nine,9,mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm tihɪtene,mbombohitommbombohitomtihitene,II; (4+4+1),FALSE,2[+]2[+]2[+]2[+]1,,
22,numerals-bumb1241-1-nine-4,numerals-bumb1241-1,Chan2019,nine,9,wenihɪtɔm wenihɪtɔm wenihɪtɔm,wenihitomwenihitomwenihitom,II; (3+3+3),FALSE,3[+]3[+]3,,
23,numerals-bumb1241-1-ten-1,numerals-bumb1241-1,Chan2019,ten,10,sɔmbrɔp iʔirine sɔmbrɔp iʔirine,sombropiirinesombropiirine,I; (5+5),FALSE,(5[⋅]1′)[+](5[⋅]1′),,
24,numerals-bumb1241-1-ten-2,numerals-bumb1241-1,Chan2019,ten,10,sɔmbres mbɔhɪtɔm,sombresmbohitom,II; (2 palms),FALSE,5⋅2,‘palm[PL?] two’,
25,numerals-bumb1241-1-ten-3,numerals-bumb1241-1,Chan2019,ten,10,reŋger iʔirine reŋger iʔirine,renggeriirinerenggeriirine,II; (5+5),FALSE,(5′[⋅]1′)[+](5′[⋅]1′),,
26,numerals-bumb1241-1-ten-4,numerals-bumb1241-1,Chan2019,ten,10,mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm mbɔhɪtɔm,mbombohitommbombohitommbohitom,II; (4+4+2),FALSE,2[+]2[+]2[+]2[+]2,,
27,numerals-bumb1241-1-ten-5,numerals-bumb1241-1,Chan2019,ten,10,mbɔmbɔhɪtɔm wenihɪtɔm wenihɪtɔm,mbombohitomwenihitomwenihitom,II; (4+3+3),FALSE,2[+]2[+]3[+]3,,
28,numerals-bumb1241-1-eleven-1,numerals-bumb1241-1,Chan2019,eleven,11,sɔmbrɔp iʔirine sɔmbrɔp iʔirine tihɪtene,sombropiirinesombropiirinetihitene,I; (5+5+1),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+]1,,
29,numerals-bumb1241-1-eleven-2,numerals-bumb1241-1,Chan2019,eleven,11,reŋger iʔirine reŋger iʔirine tihɪtene,renggeriirinerenggeriirinetihitene,II; (5+5+1),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+]1,,
30,numerals-bumb1241-1-eleven-3,numerals-bumb1241-1,Chan2019,eleven,11,reŋger iʔirine mbɔmbɔhɪtɔm mbɔhɪtɔm,renggeriirinembombohitommbohitom,II; (5+4+2),FALSE,(5′[⋅]1′)[+]2[+]2[+]2,,
31,numerals-bumb1241-1-eleven-4,numerals-bumb1241-1,Chan2019,eleven,11,mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm wenihɪtɔm,mbombohitommbombohitomwenihitom,II; (4+4+3),FALSE,2[+]2[+]2[+]2[+]3,,
32,numerals-bumb1241-1-twelve-1,numerals-bumb1241-1,Chan2019,twelve,12,sɔmbrɔp iʔirine sɔmbrɔp iʔirine mbɔhɪtɔm,sombropiirinesombropiirinembohitom,I; (5+5+2),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+]2,,
33,numerals-bumb1241-1-twelve-2,numerals-bumb1241-1,Chan2019,twelve,12,reŋger iʔirine reŋger iʔirine mbɔhɪtɔm,renggeriirinerenggeriirinembohitom,II; (5+5+2),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+]2,,
34,numerals-bumb1241-1-twelve-3,numerals-bumb1241-1,Chan2019,twelve,12,reŋger iʔirine mbɔmbɔhɪtɔm wenihɪtɔm,renggeriirinembombohitomwenihitom,II; (5+4+3),FALSE,(5′[⋅]1′)[+]2[+]2[+]3,,
35,numerals-bumb1241-1-twelve-4,numerals-bumb1241-1,Chan2019,twelve,12,mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm,mbombohitommbombohitommbombohitom,II; (4+4+4),FALSE,2[+]2[+]2[+]2[+]2[+]2,,
36,numerals-bumb1241-1-thirteen-1,numerals-bumb1241-1,Chan2019,thirteen,13,sɔmbrɔp iʔirine sɔmbrɔp iʔirine wenihɪtɔm,sombropiirinesombropiirinewenihitom,I; (5+5+3),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+]3,,
37,numerals-bumb1241-1-thirteen-2,numerals-bumb1241-1,Chan2019,thirteen,13,reŋger iʔirine reŋger iʔirine wenihɪtɔm,renggeriirinerenggeriirinewenihitom,II; (5+5+3),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+]3,,
38,numerals-bumb1241-1-thirteen-3,numerals-bumb1241-1,Chan2019,thirteen,13,reŋger iʔirine mbɔmbɔhɪtɔm mbɔmbɔhɪtɔm,renggeriirinembombohitommbombohitom,II; (5+4+4),FALSE,(5′[⋅]1′)[+]2[+]2[+]2[+]2,,
